Meet Meeting 
Thu, Jun 27, 2024

1:06 - Unidentified Speaker Uh, well.

1:28 - Eksno Oh, we were going over the code base and stuff. What do you want to go over that takes just 15 minutes?

1:35 - Jorge Lewis Yeah, the code stuff.

1:37 - Unidentified Speaker That takes 15 minutes.

1:40 - Eksno At least I'll get to introduce myself.

3:01 - Unidentified Speaker New York.

3:02 - Jorge Lewis to speak or continue typing?

3:08 - Eksno I mean, OK, I sent what I had just because, yeah, expecting this call or him to junction.

3:19 - Jorge Lewis I have been doing the relations, but the project management, that's kind of over. So I need to, we need to transition things like that. And then also just the

3:28 - Eksno I mean, I've been doing the project management, so I don't know what you mean.

3:35 - Jorge Lewis Well, maybe then it's just I feel like I'm doing too much in terms of the management of the project. What do you mean? Yeah, I'm coding a majority of the project, but this feels like I'm managing way too much.

3:49 - Eksno Can you be specific at all or just in return?

3:52 - Jorge Lewis Yeah, let's let's like, is there? All right, we can chat about it after.

4:05 - Biwas bhandari Hello. Hello. How's it going?

4:08 - Unidentified Speaker Hello, Jonas.

4:09 - Eksno Hello, Exxon. Hello.

4:11 - Eksno I'm Jonas. Yeah.

4:13 - Unidentified Speaker Jonas. Yeah.

4:14 - Eksno I'm still on my personal Google account, which makes my name Exxon.

4:20 - Unidentified Speaker Yeah.

4:20 - Eksno Whenever I click a link, Google is kind of annoying with it. It like forces you to have a default account.

4:26 - Jorge Lewis Yeah. Um, cool.

4:29 - Unidentified Speaker Yeah.

4:29 - Jorge Lewis So, so do you want to meet Jonas? Jonas is my co-founder. Uh, nice to meet you.

4:34 - Biwas bhandari Yeah, nice to meet you too.

4:36 - Jorge Lewis Yeah, you want to introduce yourself Jonas? Say a little more?

4:39 - Eksno Yeah, sure. I was a software engineer, took like, what's it called? Locational or trade school in software engineering and then went into working for a software consultant. C for one and a half years. Afterwards I founded this company with Jorge during my employment.

5:04 - Eksno I've been doing software engineering since like ninth grade, got into programming very young and I've continued with it ever since.

5:16 - Biwas bhandari My name is Vivas Vandari and I've been in coding for around 2.5 years now. I started with web development. First I went and did some Python coding, and I switched to web development. And I've been doing it for around two years now. And I've been working with TypeScript for around nine months. And currently, I switched to Python for AI and machine learning. But now I'm into Android. Yep. Did you say nine or five?

5:53 - Jorge Lewis Nine. What's your experience with LangChain in TypeScript?

6:01 - Biwas bhandari So, I worked for a start-up at first, it was called NCI, and I have already told Jorge about that through blockchain. They just query their transaction, for example, just ask what is the transaction of my Bitcoin address, this is this, and they query through natural language, and the response comes.

6:34 - Jorge Lewis Yes, so to go over the project a little bit. So this project is one of our clients projects and it's a life coaching bot. So it's supposed to help the users build habits. So mainly things like making sure they do a daily walk, making sure they're not eating too much and making sure they're watching a daily video. The app is super the chatbot that's going to help the user keep their habits, and then there's a LMS, so a learning management system, that's going to deliver a course on a daily basis to the user.

7:10 - Jorge Lewis So yeah, so for the chat part, so initially we made it with Python in the back end and then connected it through an API. But the problem with that is we noticed we had too much unnecessary separation between our web and our API. So we decided to move it all into one, which made really easily using SvelteKit. So now our backend is in TypeScript and our frontend is also in TypeScript using SvelteKit. So it's all really nice and handy, but the problem is the TypeScript, I'm not familiar with the TypeScript SDK for LangChain myself. So I had a bit of an issue, bit of a few roadblocks trying to get it set up, but I figured this was a great way to kind of get you kind of doing like a, It's pretty much like an experiment to see how well we work together and how we like to work. We'll see around that.

