Discussion on IP 
Sun, Aug 4, 2024

0:00 - Jorge Lewis You're a dick.

1:03 - Jorge Lewis Bye!

1:34 - Jorge Lewis Good evening. How are you guys?

1:36 - Unidentified Speaker Doing good.

1:44 - Jonathan Phillips Excellent, excellent.

1:46 - Jonathan Phillips How has the week been?

1:49 - Jorge Lewis Long.

1:52 - Jorge Lewis The weekend, I started travelling on the 2nd, the morning of the 2nd and it's now the evening of the 4th and I haven't slept yet. I don't know, I'm not tired yet. It's been 40 hours and we're still going good. So hopefully like 30 minutes in, I'm not just like, it just hits me. So we can hope for the best.

2:12 - Jonas Lindberg We've got two North Lakers now.

2:19 - Jonas Lindberg Jonathan's no taker on redeye.

2:24 - Jorge Lewis That's not your guy?

2:26 - Jonas Lindberg No.

2:27 - Jonas Lindberg Wait, huh? I assumed it was yours, since your name is Jonathan Phillips?

2:34 - Jonathan Phillips Yep. No, I don't know where that's from You want to remove it from the call?

2:41 - Jorge Lewis Well, I mean, we could have...

2:43 - Jonas Lindberg the fifth And then it's just like some bot that scans through like Google Meet meetings and just joins what run of the people's random usernames as meeting notes, trying to like get into internal meetings.

3:03 - Jonathan Phillips Crazy, crazy. I don't know if Colin's going to join us. He said he wasn't feeling well a few hours back. So I think we should obviously move forward without him at the moment. And if he feels a bit better, he can join us and catch up a bit later.

3:19 - Jorge Lewis Yeah, we do have our meeting, our note guy, so no problem.

3:24 - Jonathan Phillips And that's the real one. Yeah, that's the real one.

3:27 - Unidentified Speaker Yeah.

3:30 - Unidentified Speaker Cool.

3:31 - Jorge Lewis Okay. Imagine you just turn, the camera turns on and it's like this.

3:36 - Jorge Lewis It is.

3:39 - Jonathan Phillips Cool. Okay. So, discussion on IP. So, Coen raised the point.

3:53 - Jonathan Phillips I don't know what he discussed with you. I don't know what has gone on previously. So I think the best thing to do is if you guys just start from your perspective and what's in your heads, so we can just sort of roll from there.

4:06 - Jorge Lewis Yeah, so for sure. So for us, we have two. So our main goal is that we want to make really cool stuff. That's the main goal. And to do that most efficiently across multiple projects, the easiest way to do that is reusing components, right? But of course, reusing components still has overhead and there's a lot of things related to this. So what I want to do, what I want to start with is our goal, your goals and our goals. And I want to reiterate what I think is your guys' main concern. Because if we don't understand your guys' main concern, then we're going to be going in circles. So I'll start off with the main concern to check that we have that and then we can go into the goals. So if we understand it correctly, the main concern is that we're going to give, or is that we don't want to give anyone else the ability or the capability to kind of use what we make here to make them a competitor for Adapt or IntelliAgent.

5:13 - Jonathan Phillips I mean, in a nutshell, it's twofold. So one, and this has happened millions of times before, so this is why people build this into contracts. So ultimately, As a completed project, as a client, the concern is that the completed piece will be taken and touted to other competitors, our competitors, so that you say, hey, we've got a completed platform here. Do you want this? That's obviously something that does happen in the world. So that's something that is kind of protected from a client perspective. OK.

5:54 - Jonathan Phillips The other sort of thing that happens is that major components of the project, so we're not talking necessarily about the deep-seated code here and the libraries as such.

6:13 - Jonathan Phillips protection is for the client, us, not to have, again, the developer sell elements of what they've built to other customers in a commercial sense. So using them yourself to create other things isn't necessarily an issue as such. It's kind of almost boxing them up and then selling them on. I think it, does that make sense? It's not very good at explaining it. So I apologize.

6:46 - Jorge Lewis So I think, I think, I think both of them can kind of wrap around to that. You don't want anyone using what we make. Any in any way to kind of shortcut or to as a shortcut or as a complete solution to become a competitor?

6:59 - Jonathan Phillips Sure. Sure.

7:00 - Jorge Lewis So in a nutshell, yes so So I mean also example example If we were to take an example, let's say we built the UVP workshop, the whole system, we have it all done.

7:26 - Jorge Lewis And we're able to extract the graph, the architecture of the AI agents, and we change the prompts and everything. So that it's not a marketing system anymore. So there's no relation to marketing anymore. And we perhaps put that on our GitHub as an open source repository.

7:51 - Jorge Lewis Would that bother you? And if so, why?

7:55 - Jonathan Phillips Potentially that could bother us because we might want to use the code and say, hey, we're going to attack 20 of the markets using the same principle, the same platform, but in different categories, in different verticals. So that might be part of our commercial plan to take the whole platform and then to say, let's do, roll out five, 10 products from that in order to utilize the sort of infrastructure, the architecture.

8:30 - Jorge Lewis Makes sense, yeah. Okay, and then another example, so that one that I gave has good reason why you wouldn't want us putting it out there. Another example would be, and this is the one that we want to kind of focus on, are the very small components, something like the typing UI, or the typing animations that make the chatbot interfaces, and I don't I'm not a IP lawyer here, but I think those, for example, if we build it for IntelliAgent, and we build it from scratch again, that's no longer your IP, but our IP, the new one. Because number one, it's so generic, those components, and number two, it's done from scratch. So those are the two big components into determining that. So those are the main components. Jonas, do you have any other examples that we can use as good reference points.

9:27 - Jonas Lindberg I think the one that came up, the fake streaming, basically literally copying how chat GPT looks when it's typing out as a feature.

9:41 - Jorge Lewis Yeah.

9:52 - Jonathan Phillips See ya.

9:53 - Jonathan Phillips So my perspective, I don't want to be the big bad wolf or anything like that. So as far as I'm concerned, you guys are partners, we collaborate, we try and make great things, we try and have fun doing it. So it's not a case of trying to be greedy and have everything. Is just a business protection sort of conversation. My perspective may be different from Cohen's, his background is different to me and he's more technical. As far as I'm concerned you guys have got to make a living, you guys have got to build on what you're doing week by week, month by month and you don't start from scratch every new client. It doesn't work like that, and I fully understand that you'll be building things that are your intellectual property. So I think as far as the IP lawyers would be concerned, they'd say if you were building something on the client's time, then that belongs to the client. So if you were building building something for another client, even at the same time as our project, that's their IP. So what I'm saying is that everything you do isn't necessarily ours because you're building it for us. But when you're building something for us, that kind of falls within the project remit, which is kind of the IP of the project. I don't know exactly. I don't know the exact granularity and the detail that we get to where we decide where the line is. I don't know. That's open for discussion, completely open for that. And again, I'm not necessarily anal about everything that you do. I mean, to me, it's more of a big picture. I think Kieran might be a little more interested in the granularity. But I just want us to get on. I want us to all enjoy what we do. I want us to make some exciting projects together and go forth and hopefully have successful opportunities to commercialize everything we do. You guys and us, because if you're not successful, and you're working with us, then we're not successful either.

12:11 - Jorge Lewis Am I cutting out? Yeah, that's a great way to put it. I would say I totally agree. For us, it's a matter of, I think it doesn't need to be wrapped onto papers. It can be more of such. We understand that we don't want to introduce competition to you guys, number one, because we prefer you guys as clients than hopefully other guys. But of course, that's going to be in hindsight. But the idea is that, at least from a logical standpoint, other competitors, the market, we're partnered with you guys, then you guys do better and hence we do better. It's the same example that you gave.

12:53 - Jorge Lewis And in terms of granularity, I think we'll always have to respect that what we make during the duration of your project has to respect your We can go into the fine-grained details, but I think there's a mutual agreement that, on our side, don't introduce competition, and that is backed by the obvious things being under your IP. In the contract, there is a section regarding that the code does belong to you guys.

13:38 - Jorge Lewis Am I cutting out or?

13:39 - Jorge Lewis Yeah, you're cutting out.

13:40 - Jorge Lewis Let me turn off my video.

13:51 - Jonas Lindberg Yeah, maybe we should turn off the cameras. Try to speak now, Jorge.

13:58 - Jonathan Phillips Hello?

14:09 - Jonas Lindberg Is it still lagging?

14:17 - Jonas Lindberg I think it's getting better now.

14:21 - Jonas Lindberg Maybe. It's better now.

14:24 - Jonas Lindberg Cool.

14:25 - Jorge Lewis Alright, Jeff, are you still with us?

14:27 - Jonathan Phillips Yeah, we're with you.

14:27 - Jorge Lewis Alright, cool.

14:34 - Jorge Lewis So yeah, so under the contract, I don't think we've signed it with you yet. Actually, no, we have, I believe. Have we?

14:44 - Jonathan Phillips I don't think we have. No, I think because we've kind of muddled through from a proof of concept to MVP to whatever, I think we've kind of missed a few stages. And obviously you've been working with Kuhn on other things. It's not a major issue whatsoever. The way things are going at the moment, you know, I'm absolutely fine with. So I think it would be good at some point to have some documentation in place, protects both sides. It's a very positive thing, not a negative thing. So maybe we can put something together in the next week or so to just to make sure everybody's comfortable with where they stand.

15:27 - Jorge Lewis Yeah, so with QN we sent the contract over and there's a section for that for the IP stating that most of what we make belongs to QN. The copyrights, patents, all that. I think how we can move forward is just being really open about everything we do. So asking, hey, is it cool if we reuse this? We believe this and this. Sound good?

15:57 - Jonathan Phillips Yeah, I'm happy with that. I mean, obviously, I haven't seen the documentation, the IP clauses, etc. But by the sounds of it, most of it's in place. I'm not really sure, you know, over and above that, what we need to do. Obviously, I need to see it first. But if it's pretty much what we've been discussing, then yeah, on a case by case basis, let's discuss what granularity, what levels we need to potentially have a discussion over.

16:29 - Jorge Lewis I don't think I explained it very well at the start. What we want to do with reusing the code is, number one, the obvious one is reusing it for other projects, but number two is also we're really big into open source stuff. We want to be at the forefront of this AI stuff and do it with open source stuff. We've always been big into it. We'd be ideally publishing these repositories. With these code components that people can use. For example, one of the repositories could be a templates project for a chatbot. That's nothing fancy, it's very basic. Another example, Jonas, if you want to help me out, let's see. Another example is I have a Read.AI tool that I use to help scrape Read.AI or listen to Read.AI posts and determine if they're leaks or not. That's open sourced on our post, I believe, or it's going to be when I clean up the code. But just things like this, we're really big into it. The license we put that source code under, could be either under a business or a license that allows people to use it for commercial use or not. So that's also another thing we can discuss.

17:49 - Jonathan Phillips Yeah, so my perspective on that sort of thing, at that level, I don't personally have a major issue with that. Obviously, you could tweak the licenses to make it possible people to use for their own use rather than to, or even build into projects but not actually sell it on themselves. I don't know. Again, different levels of...

18:19 - Jonathan Phillips of usage. I think the major thing that, from my perspective, is we want to protect is anything that differentiates the product. So what would give somebody a shortcut into building something that will be equivalent to what we have? I mean, that's an obvious statement, but that's the kind of level that I think we're talking about.

18:40 - Jorge Lewis Yeah, yeah, that makes sense. One solution that we thought of was instead of worrying about kind of like all these granularity levels, is we have kind of a general clause where it's a non-compete. The main idea is that it's a non-compete, where whatever we publish, whatever we do with code from your guys' projects that we made during the development of your project, then we can, as long as it doesn't lead to someone competing with your guys' products.

19:19 - Jorge Lewis That's also an idea.

19:22 - Jonas Lindberg Basically that we won't engage with clients and deliver them products if they have a similar business to yours. So like right now with just the regular IP clause, if another marketing agency saw the work we did for you, they could come to us and pay us to make a similar platform or a slightly different platform. And we could cleverly avoid it, but with a non-competes clause, we'd just engage with other businesses. We could still do a lot of what the core aspects are from the other application, but we'll make sure that none of our clients are competitors of yours, if that makes sense. More so than focusing on specific code segments.

20:00 - Jonathan Phillips Absolutely, absolutely. I mean, ultimately, there's levels of trust. And that is something that you build up over time with partners, and you become close collaborators. And I think that there's got to be certain levels of trust within the relationship. And you can't necessarily document all that. So I think there's a balance there between what we document and the way that we act as as decent humans.

20:29 - Jorge Lewis Yeah, one concern, Jonas, that I'm thinking of now, that non-compete thing, is if a client, if a prospect would come to us saying, I want to build pretty much IntelliAgent, but for business development or something for another industry. That would bother JP, like you said, what if they have plans to expand into different industries using all the same tech. So that would be something to consider as well. Thanks for watching!

21:05 - Jonas Lindberg Yeah, absolutely. The one problem with that is like, I think if it comes down to something like that, it's very hard to put in a contract, even with the current one we have, where it's basically you own, like the client owns all the code. We could just cleverly make the same solution in a slightly different method. Same thing with the non-compete, we could argue it's not a compete, so I think that's where it comes more down to the trust more so than regulation.

21:36 - Jorge Lewis I should actually ask, so I've spoken to quite a few people, most like people that outsource development, like you guys are. And they post their stories on Read.AI and I ask them and I have a chat with them. And they do have IP, they have the contracts in place with IP sections. I'm gonna ask them to send it over if possible. But they always end up, it always ends up coming down to, does the development agency value your relationship more than you know, making a buck, a big buck with another client potentially. So yeah, like, like JP said, just trust is kind of what it all comes down to because with IP and cover, it's so, so gray area, whoever has more money and better lawyers, it's like, you can, you can argue your way out of there.

