Meet Meeting 
Wed, Aug 28, 2024

0:02 - Cuan Mulligan Cool.

0:08 - Cuan Mulligan This workshop builder has got me rethinking things.

0:12 - Unidentified Speaker OK.

0:18 - Cuan Mulligan So when I see some of the Chinmai and Will's interpretation of things, It's heavily influenced by English not being their native language.

0:32 - Cuan Mulligan And this is not a criticism of them. That's not what this is about at all. Hopefully, you can see the difference between us trying to prescribe to you what a workshop is versus you giving us the Lego blocks, and then we configure it to our needs.

0:53 - Cuan Mulligan And what I've been able to do with the workshop builder in terms of designing the why workshop, I feel that would have taken me weeks to try and convey to one of those guys the nuance of what I was after without me being able just to type it in. And it's not the perfect thing, but it's certainly there. And then I'm looking at this check-in session, and I'm like, Cuan doesn't need to build that. He doesn't need to build the workshop. He just needs to be able to give me the data for the workshop. So if the workshop builder has the ability to pull elements from a database, like give me milestones for user, give me achievements, give me issues, give me the course, suddenly, you've basically enabled us to build workshops with content from a data from someone doing something, which is what I think JP is going to need as well.

2:01 - Jonas Lindberg Yeah.

2:02 - Cuan Mulligan And I just sort of had this thought and I'm like going, would we be better off? And I'm, I almost need you to confirm this or pull me back from the edge. But it feels like the workshop builder becomes the product that allows us to build Adapt or IntelliAgent rather than you building it. To a point, by the way, because the workshop builder is not going to build the LMS. It's not going to generate the data. But it's doing some of the stuff. Like, if I want to do a check-in session, I should just be able to build it and pull data, as long as the data is there.

2:43 - Cuan Mulligan Does that make sense? What I'm what I'm trying to do. I don't know whether it's very well formed, but I'm just like, it just feels tantalizingly close to allowing me to do this myself, as opposed to me trying to convey to these guys what it needs to do.

3:00 - Jonas Lindberg Yeah.

3:05 - Jonas Lindberg I think this is a topic that would be better discussed with George present since he's been mostly running adapts recently. I've seen some demos of what they've been created. And from the demos, it seems to be that they've been focusing on the developing the more unique to adapt or unique to feature features. So like for the milestones, they've been focusing on the functionality behind tracking the milestones for the highest scores.

3:42 - Jonas Lindberg streaks and such, they've been focusing on the functionality behind those and not how they're represented in chat, if that makes sense. And all of that work is still working. I'd imagine that would have to be done and then incorporated into the workshop builder for you to work on to create the actual chatting experience.

4:02 - Cuan Mulligan I agree. I think there's definitely, there's still adapt stuff. I'm just wondering whether what I don't want to waste money and time on the guys building something like the actual check-in session when I reckon the workshop builder will do that.

4:21 - Jonas Lindberg Right.

4:37 - Jonas Lindberg It's hard to give a straight answer right now. I don't even know what a straight answer would be.

4:49 - Cuan Mulligan Fair enough.

4:54 - Cuan Mulligan Well, have a think about it. I'm assuming you'll have time with George in the morning before I wake up.

5:01 - Jonas Lindberg Yeah.

5:08 - Cuan Mulligan Yeah, we just need to make sure that we're doing things sensibly rather than inefficiently. So what's going on? Is the saying going to come over or not? I know there was concerns about there being front end or stuff like that. It just feels like it's sort of stalled too much progress on changes.

5:32 - Jonas Lindberg on the workshop builder?

5:34 - Cuan Mulligan Yeah.

5:37 - Jonas Lindberg Yeah, it's, I mean, in mostly today, I've just been in calls before. In the morning, I was in call with George, then got in a call with you, and JP did that workshop. Now I just hopped on to start working on the Workshop Builder. And I went for the FigJam, so you added new stuff. So read through that and added the comments. Did you? Oh, I know.

6:03 - Cuan Mulligan Where's the comments?

6:05 - Jonas Lindberg or in the bottom part of the segment's definition. Because...

6:12 - Cuan Mulligan Ah, yeah. So let's talk about that. Hasn't looked at this or hasn't given any feedback, but does it sort of make sense what I was trying to do? I just sort of...

6:19 - Unidentified Speaker Yeah.

6:21 - Cuan Mulligan I made it up.

6:23 - Jonas Lindberg Yeah, this was exactly what I was requesting to have a workshop with JP and you about. So this is a great start for at least got me thinking, especially the outcome and complete parts. As you can see on the left there, I still don't I don't have a full picture in my head of how we would structure the dynamic transitions between segments to be consistently reliably good, because the more dynamic something is, the less consistent it will be.

6:57 - Cuan Mulligan Yeah, so that's where I'm, I mean, in my head and see if this makes sense, right?

7:10 - Cuan Mulligan I start a workshop. Makes no difference what it is. Let's use Business Model Canvas, because I know it's something you've done, right?

7:18 - Jonas Lindberg Yeah.

7:20 - Cuan Mulligan And let's say we have a segment for each of the boxes. So there'd be nine segments, right?

7:26 - Jonas Lindberg Yeah.

7:26 - Cuan Mulligan As we do the first segment, whatever that is, and we start generating ideas, fundamentally, there is some stuff that we create during a segment. Now, rather than that just being part of the conversation, I think that formally comes out and becomes part of the output of a segment. So the first time you have a segment that has no output, so the agent has to just use the default examples.

7:53 - Jonas Lindberg Yeah, sorry, did I say outputs? I meant outcome and completes. Outputs I totally get.

7:58 - Cuan Mulligan Yeah, so I'm going to get there. So outcome is this subjective feeling that I have as a facilitator. It's time to move on to the next one. I have enough clarity on that thing. So for me, the outcome feels that I have enough clarity on the, maybe there's a missing thing here, which is what question are we trying to answer here?

8:29 - Cuan Mulligan And maybe that's the purpose or the context or the question to be answered. And once you have, I mean, because the thing about it, when I'm running those workshops, I have a sense of what I'm looking for as an answer before I would move on. Now, I might attack that from a multitude of angles, but I'm fundamentally trying to get them somewhere. Now, that does not mean. So OK, so I think the action prompt is how I do something. But I wonder whether this comes down here.

9:05 - Jonas Lindberg Yeah, I commented on the action prompt. Is this the famous instructions of the segment?

9:14 - Jonas Lindberg So the instructions that the agent follows during this segment.

9:23 - Cuan Mulligan Yeah, I mean, the action prompt is the prompt. It's the instructions that they take in order to do this.

9:32 - Jonas Lindberg Questions to be answered seems eerily similar to what the purpose of outputs is.

9:41 - Cuan Mulligan So the outputs would be the answers. The question is the question.

9:49 - Jonas Lindberg So, outputs is any formal outputs that need to be, ah, okay. Oh, yes, sorry.

9:56 - Unidentified Speaker Yeah.

9:56 - Cuan Mulligan And so, the outcome is achieved, the outcome is achieved when the questions to be answered are answered. The action part is how you go about getting answers to questions.

10:10 - Jonas Lindberg How are outcome and questions to be answered different then?

10:18 - Cuan Mulligan What is your name is the question to be answered. Jonas is the outcome.

10:25 - Jonas Lindberg Yeah, so the user has given their name as the outcome.

10:28 - Cuan Mulligan Yeah, so Jonas would be the output. The outcome assessment would be that question has been answered, so the outcome has been achieved. Therefore, I feel that we could move on now.

