Meet Meeting 
Sat, Jul 13, 2024

0:44 - Eksno Oh.

1:58 - Unidentified Speaker Hey, can you hear me? I can, do you, Jack? Perfect. Bye.

2:51 - Eksno Will, can you hear me? We're in the Google Meet. I sent a link in Discord.

2:56 - Eksno Will, can you hear me?

2:58 - Eksno I sent a link in Discord to the Google Meet.

3:04 - Eksno Yeah, Google Meet. Yeah, I sent a link in Discord.

3:10 - Unidentified Speaker Yeah, perfect.

3:11 - Eksno See you there.

3:27 - Will Vincent Parrone Hey, can you hear us?

3:33 - Will Vincent Parrone What part of the world are you in?

3:51 - Cuan Mulligan Yeah, well, can you double-check your microphone that seems to be a little worse than last time I I'm not sure you're using the correct microphone.

4:32 - Will Vincent Parrone Sorry about that. I, uh, my VPN reset. Cool.

4:34 - Cuan Mulligan So what do you, what's the, what's the, Jonas, what do we want to get out of this meeting? I'm happy to do whatever is needed or just talk about stuff in general.

5:00 - Eksno Generally, Will is the new Smothkit developer. He's going to be coming onto that, getting familiar with our tech stack. So basically, now we have the capacity to make all the UI, UX changes that you were requesting previously that we didn't have time to focus on at those times. And also the UI, the new piece of UI that we're developing, which is the to-do applications that's check-in item manager. So that you as an admin can add and edit check-in items that are mandatory. And also the user can add their own check-in items or to-do items throughout the day.

5:43 - Cuan Mulligan So let's take it back out 10,000 foot and see what we're trying to do here. So ultimately, this is about, and again, I'm just making this shit up as I talk now. So challenge me and see what you think is good or not good.

6:05 - Cuan Mulligan Sorry, I've just woken up, so I'm still tired.

6:13 - Cuan Mulligan The interface itself is going to be really interesting to figure out what is the right blend of traditional web pages that I navigate to push something that we push to the user, and they can click, and they can just input versus chat versus talking.

6:37 - Cuan Mulligan And when we originally did a lot of the UX and the work, like, Will, have you seen the original wireframes and stuff?

6:45 - Cuan Mulligan Okay, let me see if I can show you something. Sorry, I'm trying to find this now.

7:06 - Eksno Well, can you see if you can lower your volume a little bit? It still seems to be a little too much.

7:18 - Unidentified Speaker Got it. How about this?

7:19 - Eksno Is this better? Yeah.

7:20 - Unidentified Speaker Yeah.

7:20 - Eksno That sounds perfect to me. Okay. Thank you.

7:23 - Unidentified Speaker Okay.

7:27 - Cuan Mulligan Sorry. I'm just trying to find stuff that's not working for me.

7:48 - Cuan Mulligan That is a very interesting email.

7:52 - Cuan Mulligan What's the story behind that? I made it during early 2010s.

7:58 - Will Vincent Parrone Back in the days, I think bands like Linkin Park, Green Day. Yeah, those were the common stuff and everyone's all emo so I was... I was a part of that emo phase. I just did not change the email address. It's like a memorial to a time when I was an emo.

8:27 - Will Vincent Parrone Nice. Good story.

8:31 - Cuan Mulligan So let me... I'm getting closer to this now. Right.

8:40 - Cuan Mulligan What I'm going to show you is the legacy thinking. So you want to sign where we've come from

8:46 - Unidentified Speaker Okay.

8:49 - Cuan Mulligan So let me know when you can see that screen there.

8:58 - Unidentified Speaker Can you see that?

8:59 - Will Vincent Parrone Yep.

8:59 - Will Vincent Parrone I can see it now.

9:04 - Cuan Mulligan So we're The idea was it was going to be a website. You have this sort of sense of 10 weeks or 12 week program. Across these four pillars of eating, moving, sleeping, and mind. So it was very traditional. You'd have a daily dashboard and some weekly content. So this is what it would look like on a daily basis. You'd have this sort of where we are in the week, what's your focus for the day, some motivational content, some video, some education. And then these actions that you had to do to track your calories, your walk, your sleep, and your mind. Or update your profile stuff like that. So this update your profile was very similar to LinkedIn where it basically says your profile is 20% complete do more. So that's sort of encouraging you to complete your profile and The idea here is that you've got you sort of here's my progress of moving Over by time I can see my reports I can see my progress. So this was the the the interface, you've got sort of achievements and the badges to say, hey, you're doing really well. You're on day one of 84. So where you are in the overall program. And then this is just where you are as it was a calendar type thing. So as a high level, does that sort of make sense?

10:23 - Unidentified Speaker Yep.

10:24 - Cuan Mulligan Still making sense.

