Meet Meeting 
Fri, Aug 23, 2024

8:40 - Unidentified Speaker Hey, Jimmy.

8:43 - Cuan Mulligan I can't hear you, buddy.

8:44 - Unidentified Speaker How are you?

8:47 - Cuan Mulligan Can you hear me? I can hear you now, yeah.

8:49 - Cuan Mulligan How are things?

8:49 - Unidentified Speaker Sorry?

8:53 - Cuan Mulligan How are things?

8:54 - Cuan Mulligan Are you feeling better?

8:56 - Chinmay Pandya Yeah, yeah, I recovered last week, and I'm feeling way better. Thanks.

9:09 - Cuan Mulligan Cool. So what are the things you want to cover today?

9:13 - Chinmay Pandya Yeah, I wanted to talk about things that you also wanted to have a chat about, the daily mentoring, regarding daily mentoring. The check-in session, the long-term analyzer, and the, I think, part of milestones, if you want to cover it.

9:32 - Cuan Mulligan Well, it's more important what you want to cover and what you need. Yeah, I want to cover majorly the check-in session.

9:40 - Unidentified Speaker So.

9:40 - Chinmay Pandya Yeah.

9:47 - Unidentified Speaker OK.

9:50 - Cuan Mulligan So do you have the link tomorrow? What I'm going to do is I'm going to rebuild the conversation in Figma Jam with you now.

10:00 - Cuan Mulligan But what I need, first of all, is the mural just to have reference. Actually, no, let's do it without the mural, because then we can see based on what is real today.

10:15 - Unidentified Speaker Yeah.

10:18 - Chinmay Pandya OK.

10:26 - Cuan Mulligan Do you want me to share my screen, or do you want to follow in Figma Jam as well?

10:31 - Chinmay Pandya I think I'm fine with if you share your screen.

10:42 - Chinmay Pandya I can follow you on Figma Jam, but my internet connection is not as good. So I think I'll get disconnected in between.

10:51 - Cuan Mulligan Let me know when you can see this.

10:56 - Chinmay Pandya Yeah, I can see your screen. Go ahead.

11:18 - Cuan Mulligan We'll just use those three colors, one for the mentor, the coach, the user. All right.

11:31 - Cuan Mulligan Just give me a second. I'm gonna see if I can find the mural.

11:34 - Chinmay Pandya Do you want me to share the link? Yeah, that'd be really useful.

11:40 - Unidentified Speaker Yeah.

12:03 - Unidentified Speaker I think I have it here.

12:33 - Unidentified Speaker Yeah.

12:54 - Cuan Mulligan How do I change the... Oh, there it is, finally.

12:59 - Unidentified Speaker Okay.

14:20 - Cuan Mulligan So what are we going to do?

14:42 - Chinmay Pandya Yeah, so we can cover the conversation for the daily mentoring and then move to check-in session.

15:23 - Chinmay Pandya Will every, does every day, like each daily session, how many points would be same for every day for the agents to cover and how many would be different? If you can provide an insight on that. I don't know what you mean. I mean, does each daily session look the same?

15:51 - Cuan Mulligan I think the structure is broadly the same.

15:56 - Chinmay Pandya Because we have established some to-dos or the tasks to be performed for each day.

16:06 - Chinmay Pandya I mean, are there some things which which like there's a system where each day is the same. And then there's a system where something new happens at intervals in terms of tracking items.

16:27 - Unidentified Speaker I'm not following.

16:30 - Cuan Mulligan So let me just do this and then we can ask specific questions as we go through. How about that?

16:36 - Chinmay Pandya Yeah, sounds good.

16:40 - Unidentified Speaker Yeah. Yeah.

17:10 - Chinmay Pandya Thank you so much.

18:30 - Unidentified Speaker you.

20:36 - Unidentified Speaker It's getting warm. Gosh.

20:47 - Cuan Mulligan So let me, are you still there?

20:54 - Unidentified Speaker Yep. Okay.

20:56 - Cuan Mulligan So, um, So I would imagine the user waking up, looking at their phone, there'd be the quote of the day, which basically is aligned to the theme or the intention of the day, right?

21:16 - Cuan Mulligan Then there's like, we'll agree there'll be some type message when we know that there's, you know, so basically, This would basically be displayed on user reading the quote. So good morning, Carl. Welcome to day 10. Today, we're going to focus on the killer skill of forming new habits. Now, the day number and what they're focusing on comes from the LMS.

