level,title,type,description,source_id,community,degree,human_readable_id,id,size,graph_embedding,entity_type,top_level_node_id,x,y
0,PROJECT GUTENBERG,ORGANIZATION,"Project Gutenberg is a digital library that offers free access to a large collection of electronic works, primarily consisting of public domain texts. It aims to promote free access to these works and is synonymous with the free distribution of electronic works in formats readable by a wide variety of computers, including obsolete, old, middle-aged, and new computers. The collection includes notable works such as ""A Christmas Carol."" Project Gutenberg exists because of the efforts of hundreds of volunteers and donations from people in all walks of life, and it distributes these electronic works without copyright restrictions in the United States.","1be1132bc37156f3c13686fb1aba8d65,2a1c4af9f9c41823c64e689c2b4b45e9,38853a19a9f53b37c6dec725d881647b,d32b4992f5d1dcf627250d5809f6d78e,f80de7a23de0088b7dbc1aa1a09e2d6e",1,14,0,b45241d70f0e43fca764df95b2b81f77,14,,,b45241d70f0e43fca764df95b2b81f77,0,0
0,CHARLES DICKENS,PERSON,"Charles Dickens is the author of ""A Christmas Carol""",f80de7a23de0088b7dbc1aa1a09e2d6e,0,1,1,4119fd06010c494caa07f439b333f4c5,1,,,4119fd06010c494caa07f439b333f4c5,0,0
0,ARTHUR RACKHAM,PERSON,"Arthur Rackham is the illustrator of ""A Christmas Carol""",f80de7a23de0088b7dbc1aa1a09e2d6e,0,1,2,d3835bf3dda84ead99deadbeac5d0d7d,1,,,d3835bf3dda84ead99deadbeac5d0d7d,0,0
0,PHILADELPHIA,GEO,"Philadelphia is one of the cities where the original publication of ""A Christmas Carol"" was released",f80de7a23de0088b7dbc1aa1a09e2d6e,0,1,3,077d2820ae1845bcbb1803379a3d1eae,1,,,077d2820ae1845bcbb1803379a3d1eae,0,0
0,NEW YORK,GEO,"New York is one of the cities where the original publication of ""A Christmas Carol"" was released",f80de7a23de0088b7dbc1aa1a09e2d6e,0,1,4,3671ea0dd4e84c1a9b02c5ab2c8f4bac,1,,,3671ea0dd4e84c1a9b02c5ab2c8f4bac,0,0
0,J. B. LIPPINCOTT COMPANY,ORGANIZATION,"J. B. Lippincott Company is the publisher of the original 1915 edition of ""A Christmas Carol""",f80de7a23de0088b7dbc1aa1a09e2d6e,0,1,5,19a7f254a5d64566ab5cc15472df02de,1,,,19a7f254a5d64566ab5cc15472df02de,0,0
0,A CHRISTMAS CAROL,EVENT,"""A Christmas Carol"" is a novella by Charles Dickens, first published in 1843, and has been reprinted multiple times.","d32b4992f5d1dcf627250d5809f6d78e,f80de7a23de0088b7dbc1aa1a09e2d6e",0,7,6,e7ffaee9d31d4d3c96e04f911d0a8f9e,7,,,e7ffaee9d31d4d3c96e04f911d0a8f9e,0,0
0,BOB CRATCHIT,PERSON,"Bob Cratchit is a character in ""A Christmas Carol"" by Charles Dickens. He is the humble and obedient clerk of Ebenezer Scrooge, working hard to support his family despite earning a modest income of fifteen 'Bob' a week. Bob lives in a modest four-roomed house and is the loving and caring father of the Cratchit family, which includes his son, Tiny Tim. Despite his employer's harsh attitude, Bob enjoys Christmas and maintains a positive spirit. He is depicted as a poor man who, despite his struggles, remains devoted to his family. Bob is known for his kindness, as seen when he takes Tiny Tim beside him at the table and proposes a toast. Throughout the story, Bob's dedication and hard work are recognized by Scrooge, who eventually promises him a raise and assistance for his struggling family, even planning to send a large turkey to the Cratchit household.","2c2dc4d6383dc21e5c198e42cbb99426,31162003185eeb0ce0f4b4f2031e01c7,49d69adfdaf6f3f17e1e03fc4c6f561f,5c23d6ea344fb1e7d1da42af94e77372,6241708a162f42e9a6df0486b17dfc40,aacc244b408aedd1b59271b08a207bf8,d1ffbd0a1d292732b8530b80890ce309,d32b4992f5d1dcf627250d5809f6d78e,d4e73f42abc059b1a9108741c4d88216,f80de7a23de0088b7dbc1aa1a09e2d6e",3,26,7,f7e11b0e297a44a896dc67928368f600,26,,,f7e11b0e297a44a896dc67928368f600,0,0
0,PETER CRATCHIT,PERSON,"Peter Cratchit is a character in ""A Christmas Carol"" and the eldest son of Bob and Mrs. Cratchit. He is described as wearing a monstrous shirt-collar and is eager to show off his attire. Peter is one of Bob Cratchit's children who is considering a job opportunity. Additionally, he helps with household tasks like mashing potatoes.","5c23d6ea344fb1e7d1da42af94e77372,d4e73f42abc059b1a9108741c4d88216,f80de7a23de0088b7dbc1aa1a09e2d6e",3,4,8,1fd3fa8bb5a2408790042ab9573779ee,4,,,1fd3fa8bb5a2408790042ab9573779ee,0,0
0,TIM CRATCHIT,PERSON,"Tim Cratchit, also known as Tiny Tim, is a character in ""A Christmas Carol,"" and the youngest son of Bob Cratchit",f80de7a23de0088b7dbc1aa1a09e2d6e,,0,9,27f9fbe6ad8c4a8b9acee0d3596ed57c,0,,,27f9fbe6ad8c4a8b9acee0d3596ed57c,0,0
0,MR. FEZZIWIG,PERSON,"Mr. Fezziwig is a character in ""A Christmas Carol,"" known for being a kind-hearted, jovial old merchant",f80de7a23de0088b7dbc1aa1a09e2d6e,,0,10,e1fd0e904a53409aada44442f23a51cb,0,,,e1fd0e904a53409aada44442f23a51cb,0,0
0,FRED,PERSON,"Fred is a character in ""A Christmas Carol,"" and the nephew of Ebenezer Scrooge. He welcomes Scrooge warmly to dinner and hosts a game, expressing admiration and merriment towards his uncle. Fred laughs heartily and discusses Scrooge's attitude towards Christmas and his wealth, showcasing his cheerful and kind-hearted nature.","82c0a321727c344d224f3b8eecb7414f,830dc983cda4e0f65be2cd7bda53af2d,aacc244b408aedd1b59271b08a207bf8,c5d03b00e276c74a61703fc395d9986e,f80de7a23de0088b7dbc1aa1a09e2d6e",9,6,11,de988724cfdf45cebfba3b13c43ceede,6,,,de988724cfdf45cebfba3b13c43ceede,0,0
0,GHOST OF CHRISTMAS PAST,PERSON,"The Ghost of Christmas Past is a character in ""A Christmas Carol."" This supernatural entity is one of the spirits that visits Ebenezer Scrooge, showing him scenes from his own past. The Ghost of Christmas Past reveals various moments from Scrooge's earlier life, including his interactions with a young girl, to help him reflect on his actions and choices.","049179e7a263fe875bc7d96cb467d2df,a5542daff1f84544382712afa48d5013,c71d3978e7161b729eb972b930f85473,e1c29aeda4d9b63f6e9026ca40c75eef,f80de7a23de0088b7dbc1aa1a09e2d6e",7,1,12,96aad7cb4b7d40e9b7e13b94a67af206,1,,,96aad7cb4b7d40e9b7e13b94a67af206,0,0
0,GHOST OF CHRISTMAS PRESENT,PERSON,"The Ghost of Christmas Present is a character in ""A Christmas Carol,"" known for being kind, generous, and hearty. This jolly giant is one of the spirits that visits Scrooge, showing him the current state of the world and the impact of his actions. As a specific manifestation of the Spirit, the Ghost of Christmas Present reveals the current joys and hardships of Christmas, including scenes of people celebrating the holiday. Notably, the spirit visits Bob Cratchit's home and blesses it, further emphasizing its kind and benevolent nature. Through these supernatural encounters, the Ghost of Christmas Present aims to enlighten Scrooge about the present realities and the consequences of his behavior.","166b41d31c21bdff77c782c019c33814,2c2dc4d6383dc21e5c198e42cbb99426,5c23d6ea344fb1e7d1da42af94e77372,c71d3978e7161b729eb972b930f85473,d1ffbd0a1d292732b8530b80890ce309,e1c29aeda4d9b63f6e9026ca40c75eef,e92f3fa91714308781a63c896cfeb313,f80de7a23de0088b7dbc1aa1a09e2d6e",7,7,13,c9632a35146940c2a86167c7726d35e9,7,,,c9632a35146940c2a86167c7726d35e9,0,0
0,GHOST OF CHRISTMAS YET TO COME,PERSON,"The Ghost of Christmas Yet to Come is a solemn Phantom and a character in ""A Christmas Carol."" This spirit is one of the entities that visits Scrooge, showing him a grim and foreboding future if he does not change his ways. The Ghost of Christmas Yet to Come reveals shadows of things which may happen, presenting Scrooge with visions of the future to encourage him to alter his current path.","45b24611b322e5db19f24f40131624e6,c71d3978e7161b729eb972b930f85473,db82f001863c7ecf263a682718181aba,f80de7a23de0088b7dbc1aa1a09e2d6e",7,1,14,9646481f66ce4fd2b08c2eddda42fc82,1,,,9646481f66ce4fd2b08c2eddda42fc82,0,0
0,GHOST OF JACOB MARLEY,PERSON,"The Ghost of Jacob Marley is a character in ""A Christmas Carol,"" and the spectre of Scrooge's former business partner",f80de7a23de0088b7dbc1aa1a09e2d6e,,0,15,d91a266f766b4737a06b0fda588ba40b,0,,,d91a266f766b4737a06b0fda588ba40b,0,0
0,JOE,PERSON,"Joe is a character in ""A Christmas Carol,"" known as a marine-store dealer and receiver of stolen goods. He is an old man who appraises and buys items from others. Additionally, Joe is involved in conversations about bed-curtains, further highlighting his role in the story.","830dc983cda4e0f65be2cd7bda53af2d,a50b8481d67f48139b84139edc701a3c,f80de7a23de0088b7dbc1aa1a09e2d6e",2,2,16,bc0e3f075a4c4ebbb7c7b152b65a5625,2,,,bc0e3f075a4c4ebbb7c7b152b65a5625,0,0
0,EBENEZER SCROOGE,PERSON,"Ebenezer Scrooge is a character in ""A Christmas Carol,"" known for being a grasping, covetous old man and the surviving partner of the firm of Scrooge and Marley. He is deeply troubled by the apparition of the Ghost, with whom he interacts during the story. Scrooge is also mentioned in a financial context, highlighting his association with money and business. Additionally, his name appears on a neglected grave that he sees in a vision, symbolizing the lonely and unfulfilled life he leads.","a5a36092f82dc70e6af7cc096f793c31,b9bf87a171faa989022625f59a0d6cab,bfd1f26b372f645db46a2f726cc2145a,db82f001863c7ecf263a682718181aba,f80de7a23de0088b7dbc1aa1a09e2d6e",7,6,17,254770028d7a4fa9877da4ba0ad5ad21,6,,,254770028d7a4fa9877da4ba0ad5ad21,0,0
0,MR. TOPPER,PERSON,"Mr. Topper is a character in ""A Christmas Carol,"" known as a bachelor",f80de7a23de0088b7dbc1aa1a09e2d6e,,0,18,4a67211867e5464ba45126315a122a8a,0,,,4a67211867e5464ba45126315a122a8a,0,0
0,DICK WILKINS,PERSON,"Dick Wilkins is a character in ""A Christmas Carol."" He is a fellow apprentice of Ebenezer Scrooge and was very much attached to him.","913ae1c38936586e72223ab050f55270,f80de7a23de0088b7dbc1aa1a09e2d6e",8,2,19,04dbbb2283b845baaeac0eaf0c34c9da,2,,,04dbbb2283b845baaeac0eaf0c34c9da,0,0
0,BELLE,PERSON,"BELLE is a character in ""A Christmas Carol,"" known as a comely matron and an old sweetheart of Scrooge's. She is also the wife of a man who knows Scrooge and mentions him in conversation.","ae4387f9ec8ef5335c4fbf6fd3f7d9b4,f80de7a23de0088b7dbc1aa1a09e2d6e",4,2,20,1943f245ee4243bdbfbd2fd619ae824a,2,,,1943f245ee4243bdbfbd2fd619ae824a,0,0
0,CAROLINE,PERSON,"Caroline is a character in ""A Christmas Carol,"" and the wife of one of Scrooge's debtors. She is a woman who feels a mix of hope and relief upon hearing about the death of a merciless creditor.","31162003185eeb0ce0f4b4f2031e01c7,5e7ec9ebf31abc571127892d260fbe42,f80de7a23de0088b7dbc1aa1a09e2d6e",6,3,21,273daeec8cad41e6b3e450447db58ee7,3,,,273daeec8cad41e6b3e450447db58ee7,0,0
0,MRS. CRATCHIT,PERSON,"Mrs. Cratchit is a character in ""A Christmas Carol"" and the wife of Bob Cratchit. She holds a negative opinion of Scrooge and is engaged in sewing and caring for her family. Despite their limited means, she is resourceful and makes the best of what they have. She is described as being dressed out but poorly, often wearing a twice-turned gown. Mrs. Cratchit is actively involved in preparing the family meal, including making the gravy and pudding for the family dinner. She also speaks about her children, Peter and Tiny Tim, highlighting her role as a dedicated and loving mother within the Cratchit family.","2c2dc4d6383dc21e5c198e42cbb99426,31162003185eeb0ce0f4b4f2031e01c7,49d69adfdaf6f3f17e1e03fc4c6f561f,5c23d6ea344fb1e7d1da42af94e77372,d4e73f42abc059b1a9108741c4d88216,db82f001863c7ecf263a682718181aba,f80de7a23de0088b7dbc1aa1a09e2d6e",3,16,22,e69dc259edb944ea9ea41264b9fcfe59,16,,,e69dc259edb944ea9ea41264b9fcfe59,0,0
0,BELINDA CRATCHIT,PERSON,"Belinda Cratchit is a character in ""A Christmas Carol"" and the second daughter of Bob and Mrs. Cratchit. She assists her mother with household chores and is described as being brave in ribbons.","5c23d6ea344fb1e7d1da42af94e77372,f80de7a23de0088b7dbc1aa1a09e2d6e",3,2,23,e2f5735c7d714423a2c4f61ca2644626,2,,,e2f5735c7d714423a2c4f61ca2644626,0,0
0,MARTHA CRATCHIT,PERSON,"Martha Cratchit is a character in ""A Christmas Carol"" and the eldest daughter of Bob and Mrs. Cratchit. She works as an apprentice at a milliner's, which often causes her to arrive late to family gatherings. Despite her busy schedule, she is warmly welcomed by her family, reflecting the close-knit and loving nature of the Cratchit household.","5c23d6ea344fb1e7d1da42af94e77372,d4e73f42abc059b1a9108741c4d88216,f80de7a23de0088b7dbc1aa1a09e2d6e",3,4,24,deece7e64b2a4628850d4bb6e394a9c3,4,,,deece7e64b2a4628850d4bb6e394a9c3,0,0
0,MRS. DILBER,PERSON,"Mrs. Dilber is a character in ""A Christmas Carol,"" known as a laundress. She is a woman who brought items to Joe for appraisal and sale, and she enters Old Joe's shop with a heavy bundle.","41d84d1d139c9c96c200cd2e537dcd0e,a50b8481d67f48139b84139edc701a3c,f80de7a23de0088b7dbc1aa1a09e2d6e",2,6,25,e657b5121ff8456b9a610cfaead8e0cb,6,,,e657b5121ff8456b9a610cfaead8e0cb,0,0
0,FAN,PERSON,"Fan is a character in ""A Christmas Carol,"" and the younger sister of Scrooge. She is known for bringing Scrooge home from school.","94a3a88e86bbbaa5704fa5cbcc1dd498,f80de7a23de0088b7dbc1aa1a09e2d6e",7,1,26,bf4e255cdac94ccc83a56435a5e4b075,1,,,bf4e255cdac94ccc83a56435a5e4b075,0,0
0,MRS. FEZZIWIG,PERSON,"Mrs. Fezziwig is a character in ""A Christmas Carol,"" known for being the worthy partner and wife of Old Fezziwig. She is equally enthusiastic and skilled at dancing, often participating in the festivities with a substantial smile. Mrs. Fezziwig is celebrated for her joyful spirit and her role in dancing alongside Old Fezziwig, contributing to the lively and cheerful atmosphere.","830dc983cda4e0f65be2cd7bda53af2d,913ae1c38936586e72223ab050f55270,a5542daff1f84544382712afa48d5013,f80de7a23de0088b7dbc1aa1a09e2d6e",8,3,27,3b040bcc19f14e04880ae52881a89c1c,3,,,3b040bcc19f14e04880ae52881a89c1c,0,0
0,JANET BLENKINSHIP,PERSON,"Janet Blenkinship is one of the producers of the Project Gutenberg eBook of ""A Christmas Carol""",f80de7a23de0088b7dbc1aa1a09e2d6e,1,1,28,3d6b216c14354332b1bf1927ba168986,1,,,3d6b216c14354332b1bf1927ba168986,0,0
