Meet Meeting 
Mon, Jun 17, 2024

0:37 - Unidentified Speaker Hello.

0:39 - Conference Room (Sonia Calvo) - Speaker 1 Hey, man. How are you?

0:41 - Conference Room (Sonia Calvo) - Speaker 4 Good, good. And you guys?

0:42 - Conference Room (Sonia Calvo) - Speaker 1 Yeah, good, man. You're looking very tropical. Where are you? Still in Vietnam?

0:47 - Conference Room (Sonia Calvo) - Speaker 4 No, I'm in Thailand right now.

0:49 - Conference Room (Sonia Calvo) - Speaker 1 Oh, you're back in Thailand now. Nice. Yeah, yeah. A good working space. You're looking a little bit slimmer. Obviously, the sickness has helped your weight problem.

1:02 - Jorge Lewis No, I think it's the business.

1:09 - Jorge Lewis I know stress is also a good weight loss.

1:15 - Conference Room (Sonia Calvo) - Speaker 1 It's not a good long-term strategy.

1:19 - Jorge Lewis I need to gain weight. I've lost like, I think, three kilos of muscle. I mean, some fat, of course, but...

1:24 - Conference Room (Sonia Calvo) - Speaker 1 Wow, that's a lot.

1:29 - Conference Room (Sonia Calvo) - Speaker 1 Cool. So what do you want to talk about? Milestones.

1:39 - Jorge Lewis Yeah, milestones. So again, also just a refresher for the things we haven't been working, because I've been going so deep into the AI stuff that I've kind of forgotten a lot of the other things.

1:49 - Unidentified Speaker Sure.

1:51 - Jorge Lewis OK, so reminders, nudges, attainment badges. Attainment badges, same as milestones, right?

1:58 - Conference Room (Sonia Calvo) - Speaker 1 Yes, it is, yeah. So for example, let's say you're 10 in, and you've just hit 40 kilometers of walking. Now, so walking would be distance-based. But what we might want to do is translate that into, as soon as you've walked 42 kilometers, hey, you've just done your first marathon. Or you've just walked from London to Scotland, or stuff like that. So we'd want to put some emotive descriptor around it, as opposed to just the facts. You've done another mile. You've done another mile.

2:42 - Jorge Lewis I can't hear Sonia very much. Oh, Sonia, nice to meet you, by the way.

2:45 - Conference Room (Sonia Calvo) - Speaker 2 Hi.

2:47 - Conference Room (Sonia Calvo) - Speaker 1 And then there's my sister, Lassie, as well. Hi, how are you?

2:50 - Conference Room (Sonia Calvo) - Speaker 4 Hi, Lassie, nice to meet you.

2:51 - Conference Room (Sonia Calvo) - Speaker 3 You too.

2:51 - Conference Room (Sonia Calvo) - Speaker 1 We're just all in London at the moment.

2:59 - Conference Room (Sonia Calvo) - Speaker 1 You guys are going to be fucking barred from cutting my cheese.

3:02 - Conference Room (Sonia Calvo) - Speaker 2 He's very particular about how cheese is cut.

3:05 - Conference Room (Sonia Calvo) - Speaker 1 It's a shape, and you're supposed to cut it a certain way, and then they cut, they deform. Look at the deformity.

3:14 - Jorge Lewis My parents are the other way around. My dad does that.

3:19 - Conference Room (Sonia Calvo) - Speaker 1 You cut off triangles like that.

3:25 - Conference Room (Sonia Calvo) - Speaker 2 Triangles.

3:26 - Conference Room (Sonia Calvo) - Speaker 1 It's all about triangles. Well, you get a better knife than this for a start. You take it off.

3:35 - Jorge Lewis So for the milestone or yeah, so milestones and rewards are the same thing. So for those, there's, is that going to be dynamic? Or is it going to be hard coded for the milestones?

3:48 - Conference Room (Sonia Calvo) - Speaker 2 Like, what's that mean?

3:51 - Conference Room (Sonia Calvo) - Speaker 1 So hard coded would be we would have explicit one. So when they hit 10, 15, 20, 35, 45, 50, 600, will remember that.

4:02 - Jorge Lewis Remember that we can also, I mean, we can also AI generate like massive list of like maybe a thousand hard-coded ones like thing then we can review we can make sure that we can review that things like oh you ran from the distance you walked was the distance between Spain right so there's that or we can have the AI and AI models determine okay this is a this can be considered a good milestone but I don't trust the validity of that one to be honest I think that was more effort than it's worth making it give good milestones I think under the hood I don't think it really matters.

4:42 - Conference Room (Sonia Calvo) - Speaker 1 I think the customer is going to see this experience.

4:44 - Jorge Lewis It should just feel it should feel personal. It should feel not just the data should be have some meaning behind it. Just those two things right. Yeah.

4:52 - Unidentified Speaker Yeah.

4:53 - Conference Room (Sonia Calvo) - Speaker 3 I think everyone would be pretty impressed by themselves if they think they bought a marathon in a week. Yeah.

4:58 - Conference Room (Sonia Calvo) - Speaker 2 You know, it's a nice thing to say. Accumulative is like, this is what you've done.

