Hasnain / Jorge - Pair Programming 
Thu, Aug 8, 2024

0:03 - Jorge Lewis Hey there, hi, how are you?

0:07 - Hasnain sayyed Good, good, good. What about you?

0:09 - Hasnain sayyed Yeah, all good.

0:12 - Hasnain sayyed Have you looked at the Figma file that I have created for brain project?

0:18 - Jorge Lewis I did, I did, I did. I made some, so I went down a rabbit hole yesterday of just learning some stuff. Can you give me an idea of what's the flow for this ADAPT simulation, what kind of thing we have to work with?

0:50 - Jorge Lewis Yeah, exactly. So, so that's what we'll get into. So we'll kind of today in this, in this hour, I think probably we'll do an hour and a half. We'll kind of figure out what do we, what are the requirements? What do we require the system to accomplish? Um, and then we'll go into kind of making it.

1:03 - Hasnain sayyed Okay. So are we creating in Figma or in like the code stuff?

1:08 - Jorge Lewis So we'll start with Figma and then we'll go into the code. Okay. It's only a span, maybe 10 minutes in the, in the Figma.

1:15 - Hasnain sayyed Okay.

1:17 - Jorge Lewis We can take a quick look at your graph from yesterday. These are all of my thoughts from yesterday. I was just doing a lot of learning.

1:38 - Jorge Lewis So there's gonna be a big issue, which I put a message yesterday, but people didn't understand is that we're doing so much data. So every day, if you look at, I did some math here, every day it's 85,600 words. So that's not too much in terms of like, that's around 430 kilobytes, that's fine. But when you, put that into a vector database, it's about one gigabyte, that many words. And when you put in a knowledge graph, then it scales much, it's much harder to scale. So there's gonna be a big, there's gonna be that issue, it's gonna be too big. Like of course we can use really powerful servers and stuff, but it just can't scale. This is one gigabyte a day over, like for a knowledge graph, since it's more, it's harder, or it's a bigger, data structure, it's going to be much bigger. So like over 10 days, when you connect multiple nodes, like it's just, uh, I think it'll get out of hand. So we need to figure out that.

2:44 - Hasnain sayyed Yeah. Data is the main concern, like how we keep updated and you know, uh, how can we manage that as well? Because the data is changing each and every day. So we have to, yeah.

2:57 - Jorge Lewis Yeah. So, so I put a, I put a note here, an idea to have a longterm and a short term system where We have our long-term system that gets updated maybe once a day or once every so often. And then we have a short-term system which is very basic, like just simple rag maybe. The long-term can be a knowledge graph and the new one can be a vector database.

3:20 - Jorge Lewis Anyways, yeah, so I did take a look at yours. Although some of the, I really like this pros and cons list, by the way. I didn't see this until after this morning. I was looking at the graph and then I saw that.

3:34 - Jorge Lewis But for the graph, I didn't totally understand all of the items.

3:38 - Hasnain sayyed Yeah, yeah. So let me get you. Will I explain like what's my idea behind?

3:46 - Jorge Lewis We can we can try to do that another time since I would like to do the the adapt evaluation system So after the adapt thing if I still have time then we can do that.

3:54 - Unidentified Speaker Okay?

3:54 - Jorge Lewis All right, cool. Yeah, so let's let's get into so I'll go to Adapt project and I'll make a new design file a new fig gem board Or actually I'll go to the go to the adapt spec page the main one and then make a new page and All right, so I'll make a new page. All right, can you see the new page?

4:40 - Jorge Lewis Yes, I can.

4:43 - Hasnain sayyed Yeah, simulation, I can see.

4:48 - Jorge Lewis So what does this need to accomplish? Let's see. So we need it to generate synthetic conversations so that admins can How up to date are you on your DAD projects?

5:32 - Hasnain sayyed Like I know the graph working like the check-in the chatting and Onboarding, yeah, the last onboarding I know a little bit.

5:46 - Jorge Lewis Okay.

5:49 - Jorge Lewis Yeah, pretty much same. Okay, so pretty much, do you understand the vision of ADAPT, the goal?

5:58 - Hasnain sayyed Yeah, so it's kind of 10 weeks framework. It will ask the goal of the user, like whether he wants to lose the weight or what's the motivation he wants within these 10 weeks. And during that, it will get the similar exercises. It will get the data, like the daily check-ins. And based on that, a performance review will be given to the user.

6:26 - Unidentified Speaker Yeah.

6:27 - Jorge Lewis So that's the main part of the app. Sorry, that's the start of the app.

6:38 - Jorge Lewis The main part of the app, though, is after that, where we understand his goal and why he's trying to achieve it, and then we're going to help him do that. Because understanding his goal and helping him understand his goal is good, but now the main point of the app is to help him achieve it. All the features you can see on the page one. We have the reminders and nudges, the daily check-ins, the day-to-day mentoring, and the milestones. So these are the four main systems that are going to be used throughout the core app. So reminders and nudges, okay. Actually, this is a, follow me over.

7:25 - Jorge Lewis Okay, here, here. So this is the mentor.

7:30 - Jorge Lewis Mentor has three things to do.

7:37 - Jorge Lewis Hold up.

7:46 - Jorge Lewis Okay, I'll explain it like this. The core app has a mentor. The main agent that the user will be interacting with is the mentor. Sometimes when there's a dip in performance and the mentor gets notified by perhaps an analyst agent saying, hey, the user has been lacking on this. And then the mentor will say, okay, user, do you want to start a coaching session? And that's the coach's job. The coach's job is to go really in detail about why is the user lacking and not making progress towards their goals. What is stopping them? Do they have to update their goal? Do they have to agree on a new system, like some new practices they should do. Anyways, the mentor, his job is just facilitating everyday conversation. One of the main things that you guys were working on before was a daily check-in, right? So this is when you know about the day-to-day mentoring. All this is really is just the Everything other than the daily check-in, I think. It's kind of giving the mentor the ability to help the user and coach the user with simple things. So this will be mostly using data sources related to health, fitness, sleep, all those things so that he can provide advice. So I think this is mostly a very simple chatbot, the mentor. And then he has tools which can make him do a daily check-in.

9:16 - Jorge Lewis Although this LMS feature, by the way, so initially Kuhn wanted to have an LMS, a learning management system. He wanted to, it was like kind of pretty separate to this whole app so that the, there's an LMS, the user watches a video every day and the mentor can ask the user, Hey, have you watched the video? Uh, but I don't know where Kuhn is on that right now. I think he's changed his mind a little bit since now this is becoming like a, the term he uses is a, um, is a health vault, I think, or health bank, something like that.

9:50 - Jorge Lewis Are you familiar with the term? He just made it up, but he's been using that word a bit in the chat.

10:01 - Hasnain sayyed Which word?

10:03 - Jorge Lewis Health bank, I think.

10:08 - Hasnain sayyed No, I haven't heard that.

10:09 - Jorge Lewis All right.

10:13 - Hasnain sayyed But I know this LMS content like it will be recommending video based on the user past history.

10:22 - Jorge Lewis Not recommending but just so there's there's one video every day for the user so the user picks a course I think there's gonna be multiple courses and they pick a course every day there's a new video that they have to watch. But I don't know if that's the case anymore. I don't know if Kuon has changed it or how he's been regarding that. We'll have to get updated on that.

10:46 - Jorge Lewis The rest of the system, reminders, milestones, these two are just very simple. What the mentor can do is remind the user.

11:01 - Jorge Lewis through notifications, saying, for example, hey, your bedtime is in three hours, you shouldn't drink coffee, for example.

11:12 - Jorge Lewis And the milestones are pretty much a way to motivate the user. So it's the mentor, when the user checks in, the user says, hey, the mentor can ask during the daily check-in, Have you done your walk today? And the user says, yes, I walked 10 kilometers. And the milestone should be kind of automatic, saying there's just a condition for each milestone. So for example, one milestone can be user walked 1,000 kilometers, for example, over a number of days. So we present to the user saying, hey, you've reached a new milestone. You've walked 1,000 kilometers. That's like walking from France to Italy.

11:56 - Jorge Lewis Yeah, one key aspect of making it very visual, the milestone. So not just, oh, you walked a thousand kilometers, like that doesn't mean anything. But instead of telling them they walked from France to Italy, that's like, oh, wow.

12:07 - Unidentified Speaker So.

12:11 - Jorge Lewis Oh, yeah, I hope that gives a good idea on the system, so.

12:17 - Jorge Lewis So what the system needs to accomplish is generate synthetic conversations so that admins can use them to improve the system through the prompts and adding reviews. The reviews is just a few-shot prompting. Are you familiar with them?

12:31 - Jorge Lewis Yeah.

12:31 - Jorge Lewis Have you seen them before?

12:33 - Jorge Lewis Yeah.

12:35 - Jorge Lewis So it's just a few-shot prompting.

12:39 - Jorge Lewis So what we need to do, one complication is that we probably don't, well, hmm. Okay, no. So what this is going to entail is we need to create a, what do we call it? A synthetic user.

13:06 - Jorge Lewis So someone needs the ability.

13:11 - Jorge Lewis Admin needs the capability to create new synthetic users.

13:25 - Jorge Lewis I got an idea what you are trying to say.

13:26 - Hasnain sayyed So synthetic user is basically a topic based thing, for example, based on different scenarios, the synthetic agent, you know, we can embed the few short and the prompts dynamically to that topic only. And the admin has the capability to create multiple synthetic agents. Is that what you are trying to point?

14:08 - Jorge Lewis Okay, so I don't think so.

14:10 - Hasnain sayyed I mean, you know, the URL for the project Like I just want to know what capabilities the synthetic user will have. Just simple.

14:27 - Jorge Lewis Okay. So the synthetic user is all the synthetic users job or the synthetic user is really just the fake user, right? Does that make sense?

14:37 - Jorge Lewis Oh yeah. Makes sense.

