Meet Meeting 
Mon, Jul 29, 2024

1:51 - Jonathan Phillips you Good morning, afternoon, or evening. Hello.

2:06 - Jonathan Phillips Can you hear me? Yes, I can hear you.

2:12 - Jonas Lindberg Now I should hear you.

2:17 - Jorge Lewis I'm going to keep my camera off because the bandwidth ain't the best where I am right now.

2:28 - Unidentified Speaker Great to see you.

2:29 - Jorge Lewis I'm doing great. How about you? Yeah, very good.

2:32 - Unidentified Speaker Very good.

2:34 - Jorge Lewis Nice. Great. So how have things been with making that new UVP document coming along?

2:44 - Jonathan Phillips Yeah, I've not finished it yet. I didn't do anything over the weekend with it. So I've still got a little bit to do. But hopefully, I will have it today, hopefully. What I want to do is make it detailed and specific enough so we wouldn't be going backwards and forwards too many times, rather than give you a brief overview and then try and build it. I thought if I can build it first and then you can try and take it apart, it might be a bit quicker.

3:12 - Unidentified Speaker Yeah.

3:14 - Jorge Lewis One thing that is super useful for us, and Jonas has mentioned this to you guys previously, is just examples do us tons of good because Like, like that's how humans learn naturally. Right. So giving us a couple of examples of how these things look in person, not only we can learn, but also there might be a chance for us to create some, uh, to train these, I mean, to train the actual agents on it. Um, one of the, one of the trickiest part that I can foresee this, um, the whole system being is, well, the whole thing in essence is trying to put you in this and the system. The hardest part of that is having what you guys did with Jonas, where you guys were kind of drilling questions and saying, really, really trying to get behind why he's doing what he's doing right now. That is hard to get into an LLM. To have it reflect and have it really ask deep questions, trying to guide the user is something that's be quite hard. There's been a lot of research papers published on exactly this, like reflection and planning for LLMs, so hopefully those work out for us.

4:20 - Jonathan Phillips So from my perspective, I'm very different to Koen, so my philosophies and the way I work, we're very different. Obviously we get on very well, we're colleagues, we get on well, but my perspective is different. So I'm not as say not as worried is maybe not the right term, but I've already replicated LLMs doing what I want. So I'm relatively relaxed in that there is technology there, not exactly what we want, the technology is already there to let them do it, so to speak. It might not be accurate, it might not be as clean but it exists so in my mind it's not going to be difficult to do it it's going to be tricky to train it so I think the training is the hard thing because ultimately we will get a response from the agent every single time that's not an issue but is it the response we want and is it leading to the outcome that we want so I I am not as worried about um detail at the moment I'm more worried about the word is not the right term I'll stop using that I'm more sort of like excited because that's probably a better term about putting putting the framework together and then working hard to train it and get it right so that that's my perspective um in in marketing it's very much I'll use the term common sense. Marketing is common sense. You need a framework, you need a model, a system, but it's common sense. And a lot of it is communication. So it is exactly what we're trying to do, a conversation between the AI and the human. And it's just a case of having a conversation and getting an outcome. It's really not rocket science, this.

6:14 - Jonathan Phillips There's also, in a lot of cases, no right answer, which is really good for us because there won't be a user at the end. It's not a mathematical equation. The user's saying, hang on a minute, you've got it wrong. So there will be instances where they say, this doesn't feel right, or I don't think this is the best answer, but there's no right or wrong answer, which is really good, which is a great starting place.

6:35 - Jorge Lewis That's one of the things with AI actually, like for example, Tesla, they will never, like they need 99.99999 for their systems to be considered correct. For us, it's like a much, much more gray area.

