Meet Meeting 
Tue, Aug 27, 2024

0:02 - Cuan Mulligan Hey, man.

0:08 - Cuan Mulligan Can you hear me? Yeah, I can hear you now. Cool.

0:15 - Cuan Mulligan I have far too many windows open, and I've got no idea where anything is anymore. So give me a moment.

0:25 - Cuan Mulligan I've been going down rabbit holes on note-taking apps and voice-to-text apps. Because JP, for example, he doesn't type anything anymore, and he hasn't for years.

0:39 - Cuan Mulligan So actually, that's a really good point.

0:43 - Cuan Mulligan Give me a second. Where the heck is my thing?

0:52 - Cuan Mulligan Pricing Obsidian.

0:55 - Cuan Mulligan Nope, that's not it.

0:58 - Cuan Mulligan Don't need that. Sorry, give me two seconds. I'm just trying to find where all my stuff has gone. Yeah, no problem. It's not that one.

1:10 - Cuan Mulligan It's not that one. Yeah, it's not that one.

1:19 - Unidentified Speaker Fuck's sake.

1:23 - Cuan Mulligan Sorry, I've just, it's...

1:29 - Cuan Mulligan I cannot find, I bloody, no, that's not it. Is that it?

1:49 - Cuan Mulligan No, so put that in a different window.

1:54 - Cuan Mulligan This works.

2:00 - Cuan Mulligan I just had it, and I don't know where it is. Sorry, I've got far too many windows, and I cannot find the...

2:08 - Jonas Lindberg Yeah, no problem. I'm just going through some stuff in the meantime.

2:17 - Unidentified Speaker Bye.

2:50 - Cuan Mulligan Hmm.

2:55 - Cuan Mulligan I think I have, I can search tabs. Oops.

3:02 - Cuan Mulligan Yeah, so OTT.

3:06 - Cuan Mulligan Okay, found it. All right. Okay, first of all, where are you? You are here. Sorry, I just want to track. I'm going to try and do a, I'm going to record a new meeting and I'm going to see how this does it.

3:29 - Cuan Mulligan Otter, otter.ai, because one of the things it has is an AI agent that's listening to the chat, and you can start asking it to track decisions that are made throughout the meeting. So as I'm running a meeting, I can start referring back to saying, oh, right, by the way, we've made all these, just want to clarify, these are the decisions we've made. And so it can be a companion for me. So usually myself and Arif would need to co-run a meeting, I'm hypothesizing that that might allow us to run meetings in parallel.

4:01 - Cuan Mulligan Yeah.

4:03 - Cuan Mulligan Right. OK. So let me, I now have what I need. OK. So does it make sense what I'm explaining? That it now seems to be really polite at the end of a step, and then the start of the next step is a duplication of the previous message.

4:26 - Jonas Lindberg Yeah, did you just get that issue right now? Because that's what I think I kind of solved.

4:31 - Cuan Mulligan Okay, let me, can you see my screen?

4:34 - Jonas Lindberg Yeah, it's coming up.

4:36 - Cuan Mulligan Okay, so let me let me clear this down.

4:46 - Jonas Lindberg Oh, yeah, this example. Yeah, I think I commented on it in Discord. I think it's just a result of the step coming up being the playback step, which the instructions in the playback step is to repeat the conclusion you arrived at. And when the conclusion has arrived at in one confirmed sentence, it doesn't really have much else about that to say.

5:13 - Cuan Mulligan OK.

5:19 - Cuan Mulligan But for example, in the initial goal, it's actually summarizing. It's doing step three, and then step three happens. Let me show it to you. So if I say, what's your name? Cuan.

5:36 - Unidentified Speaker Whatever.

5:38 - Cuan Mulligan I'm done making mistakes. It doesn't really bother me anymore.

5:50 - Cuan Mulligan I need help losing weight. I've become too fat.

6:02 - Cuan Mulligan I'm also using a lot of text-to-speech tools now. I'm using one called Super Whisper. That's quite powerful.

6:09 - Cuan Mulligan Super Whisper?

6:10 - Cuan Mulligan Yeah. It's very, very clever.

6:11 - Unidentified Speaker OK.

6:13 - Jonas Lindberg Is it based off the OpenAI Whisper?

6:15 - Cuan Mulligan Yeah. OK.

6:19 - Cuan Mulligan I'm just concerned as I get older that it's going to cause all sorts of complications. So I think if I lose weight now, it'll be good for me.

6:29 - Jonas Lindberg Wow. That's fast.

6:31 - Cuan Mulligan Yeah. And you can give it prompts so that it can change the text format. So if you want to put it into an email, spit that out into the proper template. So by addressing this goal, you'll OK, it's fixed that. It's not summarized it. It's gone straight into playback, which is good.

6:50 - Unidentified Speaker Nice.

6:53 - Cuan Mulligan So I did my job?

6:55 - Cuan Mulligan For now. And then I'll give you another glass ceiling in a few minutes.

7:00 - Unidentified Speaker Thanks.

7:03 - Cuan Mulligan I'm looking forward to it.

7:05 - Cuan Mulligan So this took myself and JP probably an hour to see if it was something wrong with the prompts. And then we decided to stop. The phase I think we're in now, as much as possible, I think we need to work with you, almost hand in glove. So we're going to do something. It'll start to break. And then we need your guidance to say, ah, that's a side effect of the way it's coded, rather than it being an error. Exactly what you've just done here, as opposed to it being a prompt. So I don't actually think this was a prompt issue. So we've now got step. Also, it's really good, because it's I don't want to say yes yet, because there's no step four and it'll crash. So what I'm going to do now is, so we've played it back. So we've confirmed what the initial goal is, right?

8:00 - Cuan Mulligan Now I want to do the visualizing step one.

8:23 - Cuan Mulligan Also had quite a few alternate strategies for the how you provide prompts. Because he said, it's almost the more prescriptive you are, the more it will go wrong. It's a balance. Okay, let's see if I can get to this stage.

8:59 - Cuan Mulligan So this is where I was getting confused earlier on as well. If I can, once I get to this, I need to do one more step just to the future score.

9:20 - Cuan Mulligan A tiny feature request, if at all possible.

9:27 - Cuan Mulligan Could we change the icon, just different colors, one red and one beige, just between the chat interface and the admin interface? It just makes it super easy finding it in the top which one I need to click on, because they're identical, so I get confused. Because everything is optimized around testing.

9:51 - Jonas Lindberg I mean, that logo was a logo I just generated with cloud or no, but what was, yeah, I generated it using Gemini for that. I just make a local with me. Yeah, it's perfect.

