Meet Meeting 
Mon, Aug 26, 2024

1:34 - Jonas Lindberg Morning, mate.

1:39 - Unidentified Speaker How are you?

1:40 - Cuan Mulligan Oh, you're on mute. I can't hear you.

2:05 - Jonas Lindberg Can you hear me now? I can, DJ.

2:07 - Cuan Mulligan We have a really good vote of you. Cool.

2:25 - Cuan Mulligan exciting and frustrating because it like we get to go and then it does it's it where the biggest challenge I have using it is where there's no error in the function and yet it's not working but then it's wrong so there's nowhere I can't point at you I don't know where to go and tweak it so that's why I sort of went and created another Meeting and I stripped back all the chats and started to build it up incrementally to see if I could find out where it triggered and It just it's it.

3:01 - Jonas Lindberg Yeah, it doesn't make sense to me anymore why it's breaking Yeah, one thing I've been noticing while testing is that the advanced step hasn't been executing correctly, so I've made that a bit more reliable, just pushed that recently. I've also added a lot of debugging, so it's now showing the steps on the frontend, which made me realize another bug which I fixed. Oh, cool. I've run through your getting to know your why workshop for like 10 minutes now. It's almost addictive. It's been running very well. The only parts that I've had a problem with is parts I think that have to do with the prompt engineering or if not having enough context about the next step where it's like continuing to ask me about what's my true goal is even though I just gave it what I think the true goal is and I'm just saying the same exact question again. Exactly.

3:55 - Cuan Mulligan So would that be prompt engineering?

4:00 - Jonas Lindberg I think so. When I said, I think, I told it straight up, I think we're going in circles here. What is your interpretation of what I told you? Then it told me its interpretation and moved on. So when I complained, it moved on to the next step. But without complaining, I think it would continue to go in circles and circles. I think if it had the context that visualizing the goal as the next step, it would have gone, oh, we should probably move on. But it didn't have that context. Yeah, there's one area.

4:32 - Cuan Mulligan So I'm trying to get it through the happy path. So I'd just say weight loss. And then it goes, how will it feel to have achieved that? And then when it starts asking me the score, it's asking me the score about my feelings, not the weight loss goal. And I've tried to call that the initial goal, but it doesn't seem to have, like, I don't know whether, is there anything in the prompt engineering where I can lock in a variable, for want of a better word, to say, when the user, when you clarify this, like if I look at, let me share my screen, it might be easier.

5:12 - Unidentified Speaker Yeah, go on.

5:19 - Cuan Mulligan So This is where I think it started to break where I started putting code in here if else To try to make sure that it through these scenarios. I don't know if that's a bad a bad idea to put things like that in there and I Don't know whether to put in like sort of giving an overview of the scenarios and then giving instructions per scenarios whether it's better practice to merge those into a If it's this, do that. If it's that, do this. I don't know the best prompt to write.

5:51 - Unidentified Speaker And if I...

5:52 - Jorge Lewis If it works, it works.

5:54 - Jorge Lewis Sorry?

5:55 - Jorge Lewis If it works, it works.

5:58 - Jonas Lindberg Yeah, that's the problem right now. It doesn't work perfectly, right?

6:02 - Cuan Mulligan So this is another version called the Y2 workshop where I basically made sure every step is just doing one thing. Yeah. And so... Saying hello initial goal and then playback right then ask why and I want to stop there And I couldn't even get it to run through this. So let me ref let me trash this and restart Yeah, now you can see the sketch is included. Yeah also interestingly If I have the why the other workshop running and i've given it my name This version thinks i've already it already knows who I am That's quite weird, since we haven't coded in any memory, apart from,

6:49 - Jonas Lindberg you know, like when the events, which is the messages, when you delete the messages.

6:55 - Jonas Lindberg Oh yeah, you want the agent to speak first, right? The facilitator to like, oh, I started.

7:02 - Cuan Mulligan It'd be good. Interesting. You see here where it says, hello, Cuan. So I've done here, and this is just my learning, in the facilitator, People's names are always in sentence case, and it never picks it up.

7:16 - Jonas Lindberg Yeah, you said always use lowercase for the word about, but I've noticed it uses only lowercase ever. It's not using the proper casing. In my entire conversation, it's just lowercase. I think Ritter always used lowercase and just ran with it and ignored the other parts. Okay.

7:42 - Cuan Mulligan So when using the word adapt, ensure, I'll leave that, ensure that ensure you use it in their workplace. Try that. Do I need to restart the chat now or will it?

8:02 - Jonas Lindberg No, it should be updated, but what may happen is it sees its previous message and emulates how it's been speaking before. Okay. So no.

8:20 - Unidentified Speaker Yeah, now it's fixed.

8:23 - Jonas Lindberg Let's say kuhn is still lowercase, though.

8:25 - Jonas Lindberg Yeah.

8:26 - Jonas Lindberg I think that's because you typed it in lowercase, so it's memorized. You typed it in lowercase. OK. Yeah. That's got to do with prompt engineering more so than implementation group hearts.

8:51 - Cuan Mulligan So I don't know why it's done that, because according to this, if I go here, initial goal.

9:02 - Cuan Mulligan So they shared the goal. They should be in step three now, and still in step two.

9:14 - Cuan Mulligan So I've said here, ask the user a question to establish what the issue is. That they have, what issue they have, what is it that they feel ADAPT can help with?

9:35 - Cuan Mulligan And so it seems to be going deeper. And I'm not entirely sure why.

9:41 - Jonas Lindberg Yeah, maybe you need to specify that it doesn't need to go deeper, because the LLM kind of has its own line towards, like, diet needs more information.

9:51 - Jonas Lindberg if it doesn't feel like it has enough information. OK.

9:53 - Cuan Mulligan And then the other one is, when I was looking at this, and I was, you know, there's a lot of steps here. I'm on step 8. And I'm trying to debug step 8. It can take me 15 minutes to get down to step 8. Is there a way? And again, because you need the context of the other ones, you can't just do a workshop with just step 8. Is there a way that we can?

10:24 - Cuan Mulligan I don't know, lock in a chat?

10:29 - Jonas Lindberg Like save checkpoints almost? Yeah, and go back to that point.

10:33 - Cuan Mulligan Is that possible? Because that's going to make testing much faster.

10:36 - Jonas Lindberg Yeah, it's possible, but yeah.

10:39 - Cuan Mulligan Like I'm thinking for JP's workshop, which is going to have multiple participants behaving in all sorts of different ways, this is going to be way more complex.

10:48 - Jonas Lindberg Yeah, some kind of load checkpoint function that will go back in history instead of deleting the entire shot, deleting back to that point or something.

10:58 - Cuan Mulligan Yeah, some version control or something to say, right? Say the chat here or breakpoint in the chat. That would be amazing.

11:06 - Unidentified Speaker Yeah, what do you think, Jorge?

11:12 - Jorge Lewis Yeah, we've mentioned it a couple of times before for IntelliAgent, so yeah.

11:28 - Jonas Lindberg Nope.

11:29 - Cuan Mulligan I need to lose weight.

12:05 - Cuan Mulligan So I was trying to create a format here by having a purpose, a how, and an example in the prompt. To be honest, it's not proving to be any more useful than the structured text I gave in the other example. I see no material benefit.

12:25 - Cuan Mulligan So if I go back to here and trash this and start again.

12:31 - Jonas Lindberg I think there's improvement to be done in the facilitator prompts too, to properly separate the different sections, because now it's kind of just injected in the middle of a sentence. So if you're doing like several paragraphs, it may not understand that that portion is like the purpose if it's very long.

12:50 - Cuan Mulligan So this purpose here, for example, step two being very big, Yeah.

12:55 - Jonas Lindberg Where, where, where would the problem down to the facilitator?

13:01 - Jonas Lindberg You can see hair. Your objective is to purpose until the desired outcome. So until the desired outcome may just be taking in like the last sentence and not be sensible. So I think this section is in the outcome. What's in this box.

13:21 - Jonas Lindberg Yeah, but as you can see down there, it's kind of in the structure of a sentence, but in the steps, the purpose is often multiple paragraphs, so it doesn't really fit into a sentence structure. So I'd imagine, I wonder if I update there, will it come live to you? Let me see.

13:49 - Cuan Mulligan like to review the full purpose and coach the user until the desired outcome has been received.

14:07 - Jonas Lindberg Are you finding your why or your why to? No.

14:14 - Cuan Mulligan You see this formatting that you have here with the larger text. I'm assuming that has absolutely no bearing on the agent at all. It does actually.

14:21 - Jonas Lindberg The agent works in markdown, so the larger text has importance.

14:28 - Jonas Lindberg It highlights what it should focus on. But OK, can you see my updates live now if you scroll down to the facilitator prompt?

14:41 - Unidentified Speaker States.

14:45 - Jonas Lindberg No, it doesn't seem like it's coming in. Try to reload the page, maybe.

15:00 - Unidentified Speaker Oh, there, yeah.

15:02 - Jonas Lindberg So you could do something like your objective and this stuff.

15:21 - Unidentified Speaker All right.

15:29 - Cuan Mulligan And the way you're breaking this down and what you're using to write this, is this just your gut instinct or?

15:37 - Jonas Lindberg Yeah, it's just gut instinct.

15:49 - Unidentified Speaker Are you back in Hong Kong, Jorge?

