Meet Meeting 
Fri, Jul 5, 2024

0:42 - Jorge Lewis you I wonder if there's any echoes. It might be using my headset's mic.

1:14 - Jorge Lewis Oh, I'm not connected.

1:46 - Unidentified Speaker Hello?

1:47 - Jorge Lewis I think it's worse.

1:51 - Unidentified Speaker Worse?

1:52 - Eksno Yeah.

1:54 - Eksno I switched to this instead of the webcam.

1:59 - Jorge Lewis Like, now there's an actual echo.

2:01 - Unidentified Speaker Hello?

2:02 - Jorge Lewis I think I was getting used to the... Now I don't hear it. I mean, might as well. I need the light anyways.

2:14 - Jorge Lewis Is ready to join. I'm going to go get some sparkling water.

2:29 - Unidentified Speaker Joined.

2:33 - Unidentified Speaker Hi, JP. Hi, very good. Very good.

2:36 - Jonathan Phillips Let me get the camera on.

2:39 - Unidentified Speaker You have 20?

2:41 - Unidentified Speaker Good morning.

2:52 - Jorge Lewis Jorge is getting a sparkling water. What time is it there with you? 7pm. Good day today?

3:13 - Eksno Yeah, just gotta turn down the volume on the headset a bit.

3:24 - Eksno There should be better now. Yeah, much better.

3:34 - Unidentified Speaker Nice.

3:42 - Eksno Yeah, so you've been testing the application of it.

3:45 - Unidentified Speaker Yeah, yeah.

3:49 - Jonathan Phillips I put the feedback on the thread, and obviously I've gone back in now to let you know whether it was a good or a bad response.

4:00 - Jonathan Phillips So when I'm doing that, If the response that I'm making is about maybe three parts of the conversation, do I just basically make it in one and then just say it's about maybe the next two responses as well? Or do you want me to do everything individually?

4:22 - Eksno When reviewing a response, the most important field that you fill in will be the ideal response where you For example, there's a question asked in one of them, and then the next comment by the agent is another question.

4:47 - Jonathan Phillips response is no response because it should wait for me to...

4:53 - Eksno That is an implementation issue currently. That's saying two questions at once. The thing more that you'd be reviewing is the behavior where... Let me see.

5:08 - Eksno Yeah, where it ignored that you were watching the footy later. Yeah, that's an ideal scenario to make an example, for example, that could be like, hey, you should be paying attention or asking more about what the user is doing if you want the bot to be more engaged. Yeah, cool, cool.

5:30 - Jonathan Phillips No, it's good. It's good to see it taking shape.

5:37 - Jonathan Phillips Do you feel it's coming along quite well?

5:45 - Unidentified Speaker Yeah.

5:46 - Eksno Uh, Jorge, you're ready. My wifi is really, really slow.

5:51 - Jorge Lewis Yeah.

5:53 - Eksno Oh, uh, maybe it's a bit faster now.

6:09 - Eksno Um, I can just connect from the website on the phone. That's better. That's the password.

6:27 - Unidentified Speaker Excellent.

6:41 - Unidentified Speaker All right, I'm back.

6:43 - Jorge Lewis Yes, I was asking if JP is supposed to be joining us, right? Yeah, I believe so. I think it's not in his calendar, so he might have.

6:57 - Jonathan Phillips I've let him know he's just away from his desk, I imagine.

7:02 - Jonathan Phillips Yeah.

7:09 - Jonathan Phillips So the progress is going okay as far as where you think your schedule is on the technology side?

7:19 - Jorge Lewis Yep, we're a little tiny bit more than halfway through now. Things are looking good. We're going to start working on the LMS side of things. We're going to be able to do that in parallel with the rest of the AI features. So no problem in that part. So we just have to spend the rest of the five weeks or four, let's say four, the rest of the four weeks getting the features built in, all the capabilities for the bot. Cool. What LMSing?

7:46 - Jonathan Phillips Are you building your own LMS or are you plugging something in?

7:48 - Jorge Lewis We're using bits and bobs from other places.

7:54 - Unidentified Speaker What do you mean? We're using different tools.

7:58 - Jorge Lewis Like, an LMS is a combination of things like a content delivery system. Yeah, but we're creating the LMS itself.

8:06 - Unidentified Speaker Yeah? Yeah.

8:07 - Eksno The bits and bobs are programming language, CMS, and yeah.

8:14 - Unidentified Speaker Yeah, you...

8:25 - Jorge Lewis Goodwin is here.

8:33 - Unidentified Speaker Hello, hello.

8:34 - Jonathan Phillips Afternoon.

8:35 - Cuan Mulligan Hey, folks.

8:37 - Cuan Mulligan How's it going?

8:39 - Cuan Mulligan Yeah, good, man. Good.

8:45 - Unidentified Speaker Great. Yes.

8:46 - Jorge Lewis Let's get into it then. We were just talking a little bit about that.

8:53 - Unidentified Speaker About what? Oh, adapt. Oh, adapt.

8:57 - Cuan Mulligan Sorry, I didn't hear that word. It was like we were talking about something, and I was like, oh, that's nice.

9:05 - Unidentified Speaker Cool.

9:05 - Cuan Mulligan So how do you guys, what would work best for you guys to run this? I know, Jorge, I took you through a little bit of the high level yesterday. Jonas, you haven't seen anything.

9:17 - Cuan Mulligan I'm happy to run stuff, happy to sit back, observe, whatever. You guys let me know how best you want to run this.

9:24 - Jorge Lewis Yeah, I mean, we're quite flexible. I imagine you have a lot more experience doing these type of things than us. So if you want to maybe guide us and we can see how to go from there. Apart from that, we could go into one of the diagramming platforms along with Google Docs and go from there, just listing the things we're looking to build and then format it afterwards, just putting things on paper first. And then we're going to construct your format.

9:52 - Cuan Mulligan So I think what we want to do, and JP, keep me honest, correct me when I'm wrong here. The point of this is we want to prove and be able to demonstrate something that people haven't seen before fundamentally in the space of marketing. And so in order to tease apart what those generic components are at a simplistic level. And obviously, there's loads of deep devil in the detail. We've taken the purpose of a, or the scope of a brand purpose workshop. And so a brand purpose is like an internal mission statement. It's an alignment as to why we exist as a company, what we want to do. So if we adapt our brand purpose and our mission statement, I've become one of the same thing. But a brand purpose isn't necessarily expressed externally. But in our case, it is. And it's, we want to prevent and reverse diseases that rob people of life. That's why ADAPT exists as a company.

10:57 - Cuan Mulligan Anything you'd build on that so far, JP, or is that sort of broadly right? That's probably it, yeah. Without getting into too much specifics.

11:07 - Jonathan Phillips It's just trying to tease out a statement of why the company exists.

11:18 - Cuan Mulligan Yeah, makes sense.

11:19 - Cuan Mulligan To do that, we're just going to step through the mechanism by which a brand purpose gets created in terms of the logical steps. And then once we agree on the structure, let's discuss how AI plays a part on that. I think it's useful to ignore AI, first of all, in order to understand the flow, and then We'll talk about what a potential interface might look like and how AI plays a part in achieving the outcome. Does that broadly make sense for J&J?

11:57 - Unidentified Speaker Cool.

11:58 - Cuan Mulligan So let me share my screen.

12:05 - Cuan Mulligan Can you see that, guys, now?

12:10 - Cuan Mulligan Yeah. Cool.

