Meet Meeting 
Wed, Jul 17, 2024

0:23 - Jonas Lindberg Let's see if there are any questions. In your microphone.

0:51 - Jonas Lindberg Yeah, turn your mute on.

0:56 - Jonas Lindberg I think.

0:59 - Cuan Mulligan Hey, can you hear me?

1:01 - Cuan Mulligan Yeah, I can hear you. Can you hear me?

1:03 - Cuan Mulligan Yeah, yeah, yeah. Yeah, good.

1:05 - Jonas Lindberg Yeah, perfect.

1:06 - Cuan Mulligan I'm just telling JP to come in. I think he was waiting for the invitation.

1:11 - Jonas Lindberg Oh, OK.

1:15 - Cuan Mulligan Hey Nazif, I don't know if we've met yet. Hey, how are you doing? I am living the dream, I'm living the dream.

1:28 - Jonas Lindberg Yeah, so yeah, this is Nazif. He's been with us for the longest time now. He's helped us out on I've got a few projects now, mainly a large part of the web of IT now, especially in the start, and also has helped develop a contract management, sorry, contract lifecycle management platform called Up. You think it's helpful?

1:58 - Nazif Barassounon Cool.

2:01 - Jonas Lindberg How's it going, JP?

2:02 - Jonathan Phillips Very good, thank you.

2:03 - Jonathan Phillips Very good. Everyone good?

2:06 - Nazif Barassounon Yeah. I like the meeting, a lot of faces. A lot of faces, fantastic.

2:13 - Jonas Lindberg Yes, so for this meeting, since Will will be taking on the lead role in the project, he will be facilitating the meeting.

2:24 - Jonas Lindberg Would you like to get started, Will?

2:28 - Will Vincent Parrone Yes, is everyone okay to start?

2:35 - Will Vincent Parrone Okay, that sounds like a thumbs up for everyone. So, hi, I'm Will and I'm one of the developers here in Tino. I'm going to be working with IntelliAgent, as Jonas had told me how to pronounce it. And for this meeting, we're going to be talking about the vision and primarily the potential backlogs of IntelliAgent. What we want after this meeting is we're going to be taking a few days to create, to refine the backlog based from your feedback and create estimations for IntelliAgent. So those are our agendas. Are those okay with you guys? Q1, Jonathan, Biwas, and Mr. Nazif?

3:38 - Will Vincent Parrone Okay. Sounds good. So let's start. I'll start by asking you, Mr. Tiwan and Jonathan, what is the vision behind Intelligent? So what's the core idea behind it?

3:59 - Cuan Mulligan Can I just, before we answer that, I just want to set some context in terms of the different roles and responsibilities that we have on our side. So IntelliAgent, JP is the main stakeholder. He's the one with the vision. He's the champion. Myself and Arif, who are running ADAPT, are working with JP on different things in the background. And so we're helping advise him. But ultimately JP is the visionary behind this. Where I sort of sometimes play, and JP can sort of keep me honest as I say this, is sort of the, sometimes the translation of the vision into something that's tactically, tactile or tactical that we can then go and build. I also taking like the things from ADAPT and going, oh, hold on a second. If we did this to your vision, we could get that for free from Adapt. Would that work? Yeah? Cool. So that's sort of the role that I'm playing, is how do we repurpose and reuse everything from Adapt and see these as completely separate products as opposed to really seeing one being an extension of the other?

5:07 - Cuan Mulligan So one question I have is, are these actually separate code bases? Are they the same code base? But that's still something to have in the back of our heads when we go into this. But I just wanted to set that context so it's useful as you hear myself and JP speak. I'll shut up now.

5:24 - Jonas Lindberg I think your audio cut out.

5:31 - Will Vincent Parrone Sorry, sorry. Thank you for that, Q1. Maybe for the technical questions related to the code base, we can answer them later.

