Meet Meeting 
Fri, Jul 12, 2024

0:05 - Cuan Mulligan Hey, how's it going?

0:06 - Eksno Morning, guys.

0:13 - Cuan Mulligan Hi there. Hey, Hasnain, how are you? Yeah, I'm all good. How about you?

0:18 - Eksno Hey, how's it going? Just got my headset connected.

0:21 - Cuan Mulligan Yeah, my ears are a bit funny. I feel like I'm underwater. I don't know why, and I can't pop them.

0:28 - Cuan Mulligan Yeah, my audio, you sound very weird to me, but I'm sure, I know it's my ears rather than that.

0:36 - Cuan Mulligan Both of us?

0:38 - Cuan Mulligan Yeah, yeah, no, it's me, it's completely me. It's my ears that are toast. I don't know what's going on with them. Cool, so let me see if you see, have you seen this document? Is it Hasnain, is that how I say it properly, Hasnain?

0:58 - Cuan Mulligan Yeah, yeah, right.

0:59 - Cuan Mulligan Perfect. Cool. All right. Let me see.

1:05 - Cuan Mulligan Can you see that?

1:10 - Cuan Mulligan Yes.

1:11 - Cuan Mulligan So have you seen this image before, this process flow?

1:19 - Hasnain sayyed Yes, I think.

1:22 - Cuan Mulligan So the idea is that during the day, there's the mentor, which is being a bit more directive and telling people, like, watch this, do this. It's very telling them what to do, almost. And then there's this coaching session, which I think is what we're talking about today and something you're going to be working on. And again, because this is all What we believe, obviously, when we start having users, that will clarify an awful lot of our understanding in terms of what it is. But a coaching session is a dedicated time. It could be somewhere between 30 and 60 minutes to go into something, because it's not something where all of these, if you ask the question, when you get the answer, is not that important, as long as you get the answer at some point during the day. So it's a very asynchronous communication. Where the coaching session is deeper, and it could get quite emotional. So you want to make sure that completes, or you need the time to do it justice. Now, with all of this communication up here and sending out the communication, text, I think, is totally fine, asking for something, something to come in back. My concern is that a coaching session feels very unnatural to be texting. It wouldn't be something that people would naturally do. They would normally talk. So one of the concerns or the questions I have is, how do we do both the user and the bot agent speaking? Now, I don't think it needs to be visual. I don't think we need an avatar. And I'll give you a demo of an avatar. But I don't think we need that at the early stage. But we definitely need to probably do voice. So there's two of them. Let me show you this.

3:17 - Cuan Mulligan Have you used character.ai before?

3:21 - Cuan Mulligan No, actually not. OK. So I'm just going to sign in. I thought I'd already signed in.

3:32 - Cuan Mulligan OK. I think it's this one here.

3:37 - Cuan Mulligan So I could say.

3:50 - Cuan Mulligan So you can see that it's doing text and voice. It's quite good. There is all of these different.

4:02 - Cuan Mulligan Yeah, voices.

4:06 - Cuan Mulligan Interesting. She hasn't changed.

4:07 - Eksno I'm not sure if it's only me, but I couldn't hear a voice. Kudu has now. No, I can't hear the voice.

4:20 - Cuan Mulligan Oh, interesting.

4:28 - Eksno For me, the mute stream button is grayed out. So I'm guessing there's no audio on the stream for some reason.

4:35 - Cuan Mulligan Oh, but again, it's coming out over my speaker. So I would have assumed my microphone picks it up.

4:40 - Eksno Oh, OK.

4:44 - Eksno I think computers are pretty good at filtering out audio. It's playing itself now. Wow. Why you can't hear me for example.

4:52 - Cuan Mulligan Okay. So anyway, so that, that is car to the AI voices. Uh, so this is, um, I don't know if you're going to be able to, um, so this is a demo of a startup that I was speaking to. Um, she's a pretty impressive young Irish girl and she's doing some really cool stuff. So can you.

5:20 - Hasnain sayyed Can you guys hear us?

5:22 - Eksno No. No.

5:26 - Eksno Are you able to allow the audio to go through the screen on Google Meets? Turn it on when you're streaming or something?

5:34 - Eksno How do I do that?

5:37 - Eksno I haven't done it before. Usually I'm screen sharing code, not audio.

5:42 - Unidentified Speaker Google Meets.

5:43 - Eksno Share.

5:54 - Cuan Mulligan How bizarre. I had no idea that it wouldn't.

5:58 - Eksno Click present now. You will see three options to present. Click an option that says Chrome tab. Select from which tab you want to share. Oh, so you have to share the specific Chrome tab instead of the entire screen, it looks like,

6:11 - Eksno Ah. OK.

6:13 - Cuan Mulligan I'm going to try it one more time.

6:26 - Eksno Yeah, now the mute button isn't great.

6:28 - Speaker 0 Hi, this is the Sunset Hotel reception. How may I help you?

6:31 - Hasnain sayyed Can you guys hear that?

6:34 - Eksno Oh, yes.

6:35 - Cuan Mulligan I'm sorry. I'm not sure what you're asking. Could you please provide me with more information about your request? Would you like to make a reservation or do you have a question about the hotel?

6:44 - Cuan Mulligan What's your biggest room size?

6:48 - Cuan Mulligan Let me check that for you. Our largest room is a suite that can accommodate up to four people. It comes with a separate living room and bedroom area and it's perfect for families or groups of friends. Would you like to book a suite or do you have any more questions about our rooms?

7:03 - Cuan Mulligan So you can see they provide an API that we would just send the text to, and it does that. I've got to change tabs now for a second. So if that's their current model, there's a new model coming out in about three weeks, which I'm going to show to you now.

7:24 - Eksno Can you see that?

7:27 - Hasnain sayyed It's starting.

7:30 - Cuan Mulligan Oh, yeah. Now it's visible.

7:32 - Cuan Mulligan So this here, this is her on the left, and this is the model on the right.

7:42 - Cuan Mulligan So you can still see quite that it's still a computer model. These are the two founders on the left. The one on the right is actually a generated model. It's not real. You can sort of see some of the detail in the hair quite isn't there. The eyes are not 100% the same. But compared to the previous version that you just saw, pretty bloody impressive.

8:04 - Unidentified Speaker Yeah.

8:04 - Cuan Mulligan Um, and the big issue with all of these things is lip sync. Lip sync is the number one issue with any of these things. And they're really getting quite close to it. Um, so these guys are really interested in, in having companies use their product and the coaching feels like something that will be really appropriate. Um, but I think we'll look at that at a point in time. So if I just go back to.

8:32 - Cuan Mulligan Where is it? Oh, there we go. So if I do here live coach, it goes like this. Good morning. How can I help you today? Can you hear that?

8:47 - Unidentified Speaker Yeah.

8:48 - Cuan Mulligan Yes, I am struggling getting to, even typing this feels weird. I'd much rather talk to it.

9:04 - Cuan Mulligan And what it does is it times to put the text, and then it was doing that before. I'm sorry to hear that you're struggling with getting to the gym. It can be difficult to maintain a workout routine, especially if you're feeling unmotivated or pressed for time. Something that might help is to set specific. Sorry?

9:26 - Eksno It sounds almost angry. I'm sorry to hear that you're struggling.

