30 Minute call with Nasim, AI consultancy owner 
Mon, Jul 8, 2024

0:22 - Jorge Lewis Thank you very much.

1:53 - Nazim Girach Hello, hello.

1:54 - Nazim Girach Hello. Hi. Hey, how are you, man? Do I call you Jorge or something else?

2:02 - Nazim Girach Jorge. Jorge works. I met a Spanish guy with the same name. It was Jorge or something like that.

2:09 - Jorge Lewis Yeah, yeah. My name when I was born was supposed to be Jorge. Jorge. But since I live in an English-speaking place, it's usually Jorge.

2:17 - Nazim Girach Got it. Thank you. So you're from Europe?

2:21 - Jorge Lewis So my mom's from Mexico, my dad's from the US. But I grew up in Egypt and in Hong Kong.

2:28 - Nazim Girach Interesting. So what are you up to? Travelling for your wedding?

2:35 - Jorge Lewis Yeah, I got back last night. My clothes are everywhere. But I'm leaving again on Tuesday.

2:44 - Jorge Lewis Yeah, brother's wedding in the US. I wasn't planning on going to the US, but just brother's wedding, so can't miss that. But for me, I'm mostly traveling. I like to stay in one place for like three months at a time. Just came back from Thailand. Next step is probably China or Japan.

3:04 - Nazim Girach Oh, interesting. So you're like other so-called digital nomads. You keep going to different places and keep working parallelly.

3:13 - Jorge Lewis Yeah, yeah. It's great. I love it. Sorry?

3:18 - Jorge Lewis What are you working on?

3:20 - Jorge Lewis I have been working... So our most recent project is a life coach, Chapo. It's aimed at helping people keep habits. Yeah, so we've been working on that.

3:35 - Jorge Lewis But now, I'm more kind of just taking a step back and doing things like hiring and looking to get some more client acquisition going. Yeah, just more high-level things.

3:45 - Nazim Girach So, you're targeting smaller businesses or you're working with, let's say, medium-larger enterprises?

3:51 - Jorge Lewis No, we're working with startups. For example, our three clients right now are just entrepreneurs. They're people with full-time jobs that they either quit or are working right now. And they just decided, you know what? I've got all this experience. Let's build an app that solves this problem that I've been facing.

4:12 - Nazim Girach So, yeah. So, you're focused on AI or you're taking work as general?

4:19 - Jorge Lewis Yeah. Initially just work as general, but now that we have two projects to AI projects that we're working on I feel like I mean, it's something that we enjoy as well So if we're able to kind of go in that direction more than happy to it's kind of where we're going And we've we've seen the demand for it.

4:35 - Nazim Girach So I don't think it's much question really There's a lot of people wanting to build different things in AI. At the same time, I think enterprises also are putting aside budgets for investing in AI. So that's where I think, currently for myself, we are also focusing more on, so I started out, I'm a business owner. Startup warehouse automation company called Clockers. We did our 2 million in sales last year when I quit. And after that, again, I come from a computer science background and I really, when I saw GPT-4, I was like, hey, this is something that will shoot off and I need to change my domain. So I switched off, I quit my earlier startup, started working with my brother for a fashion AI company. We We did about six months of time building it. What we were doing is we were trying to get data from Instagram, Facebook, news channels, fashion shows, processing it in different ways and making like a data bank. And then using that plus company's historical data, we were trying to project how much each particular new design would sell in each store. So, we spent 6 on that, we built a POC, got good feedback, made an MVP, went to the companies for partnership or sales, realized there was no product market fit, we needed to spend more time inside the company, inside the fashion industry to get more understanding of the fashion working sense and then we improvise the product. And given how fast the tech was moving, I wanted to build more things and get my hands dirty. So we tried to keep that aside and there were a lot of people coming to us for projects with AI. So yeah, I started taking up projects on AI. So I worked with a couple of people from UAE, a couple of people from the US. Now I have a major client, Matthew Cassioli from Australia. So right now that's what we're doing. We're trying to target consultants and And people who have already projects in their hands from a lot of enterprises. And we like the back office where we build all the projects inside Azure cloud, AWS cloud, using Lanchain and other data extract. So that's what we have been doing.

6:49 - Jorge Lewis So these clients that you guys are working with, they were referred to you by consultants or if I understood correctly?

