Meet Meeting 
Fri, Jul 5, 2024

0:04 - Jorge Lewis This sure isn't, you know.

0:09 - Unidentified Speaker Cool.

0:17 - Eksno Is he going to be joining for the next meeting or just this spring?

0:22 - Jorge Lewis Probably just at least two and then at least one of me and you and then ideally in May.

0:51 - Cuan Mulligan JP's coming back in I Think we were going we're wrapping up anyways Well, no, we're not gonna do like 20 minutes now on figuring out what's next Yeah.

1:06 - Jorge Lewis Okay. I mean, we could do that as well, but ideally Cuan was here, but yeah, I mean, it's reported, so.

1:12 - Cuan Mulligan Well, I can't do Monday. You're not around unless like, what are you going to, if we don't, if we wait till Wednesday to have the conversation, that's just like, it just feels like we're super slow.

1:24 - Jorge Lewis Tomorrow I would have time around, uh, around 12 PM VST.

1:33 - Cuan Mulligan I don't know what that is in the UK.

1:36 - Jorge Lewis Oh, that's your, that's your time.

1:37 - Jorge Lewis BSTSU.

1:39 - Jorge Lewis Oh, British Standard Time.

1:42 - Eksno 12 PM or AM?

1:43 - Eksno 12 PM.

1:45 - Eksno Military time. What's that in military? The 12 is always confusing.

1:48 - Eksno Is it 12 or 24? Noon. Okay.

1:52 - Jorge Lewis Um, I have, I have a couple, I think I have two interviews booked and that's all, but I can move them to what I learned.

2:09 - Cuan Mulligan So let's just get first aligned at a high level, um, in terms of, uh, let me just do this. I'm going to just start doing this now.

2:24 - Cuan Mulligan So you can see my screen.

2:34 - Jorge Lewis Um, so I do have another meeting to get to. So yeah, it was 20 minutes. Keep it sharp.

2:48 - Cuan Mulligan Um, well, you can drop and I'll work with Jonas.

2:51 - Jorge Lewis Okay. That works.

2:52 - Unidentified Speaker Yeah.

2:54 - Jorge Lewis All right. Cool. Um, I'm going to check if read AI leaves, because I do want to do the recording. So nice seeing you, Kevin. Hopefully, I'll see you tomorrow sometime, or at least really soon. Yeah, no worries.

3:03 - Cuan Mulligan Have a good day, guys. Cool. So when I'm testing it, let me delete this, and I'll just show you what I'm doing.

3:21 - Cuan Mulligan So I might go, I just walked five kilometers. Let's just say that happens there.

3:31 - Cuan Mulligan And I'm still learning, by the way, how to test this.

3:40 - Cuan Mulligan So great. Let me update your check-in with the five kilometer walk. I don't understand why it said AI missing name. I don't know why it said give me a moment. And then why?

3:55 - Cuan Mulligan So this is the congratulations on the back of that. But I don't understand why it said give me a moment. And then let's get your check-in updated. Did you consume any calories? If so, how many? So I would then go into Admin, go to Chats, go to Kuhn Mulligan. And I would say that's a bad response.

4:20 - Cuan Mulligan I would say, while I have you here, how many calories have you had today? I don't need to do the what was wrong. It doesn't work.

4:46 - Cuan Mulligan Go back, delete.

4:53 - Cuan Mulligan I just walked five kilometers.

4:59 - Cuan Mulligan So why is it doing this? Give me a moment. Do you know that?

5:11 - Eksno The message you reviewed was the one Andrew gave me a moment ago. There are two different parts here, the collector and the coach, and then one back to the collector. You reviewed the final message, which you can see it, actually listen to the review you said, while I have you here, how many calories have you had today? The reason it's saying me a moment is probably just due to bad prompting. Currently, it's thinking of itself as an assistant that's interacting with tools for you instead of a coach that just happens to be able to have the same data. It's talking as if it's a tool rather than a person.

5:49 - Cuan Mulligan Yeah, so if I looked here, I just wrote 5k that says user human. These are all AIs. It thinks these two are human.

5:58 - Eksno And this is human, but the type is just for internal debugging. You don't have to think about the type. The name is the more important one.

6:08 - Cuan Mulligan Why, if I'm type human, why is this type human? This should always be type AI.

6:15 - Eksno like internal data structure that we use and giving it the type of human is a trick when working with multi-agents.

6:27 - Eksno It's just for our own testing. You don't have to care about the type. That's just for us to verify things are working correctly. The most important thing is the name.

6:37 - Cuan Mulligan I do get these errors all the time popping up to do with a listener indicated asynchronous response by returning true.

6:47 - Eksno I'm not sure what that error is, but just generally in web development, you'll just have console errors all the time. Like if you open Google Docs, there will probably be console errors.

7:06 - Eksno I don't know.

7:07 - Unidentified Speaker Okay.

7:08 - Eksno I say, yeah. I want to see if the give me a moment is some unique message or if it's part of the original message.

7:15 - Cuan Mulligan Sorry, say that again. Your audio is a bit difficult to hear.

7:17 - Eksno Let me try to change it. You may be.

7:24 - Eksno Tell me if you can hear an echo, Jorge, in the background now. Is my audio better?

7:28 - Eksno Yeah, that's much better. OK.

7:34 - Eksno In the review interface, could you check if give me a moment is actually a unique message, or if it's just a new paragraph in the same message?

7:43 - Cuan Mulligan It's giving me three updates here, which is...

7:47 - Eksno Oh, there seems like there's a lot of delay in the microphone. You responded to what I said like 20 seconds after.

7:55 - Eksno What do you want me to do here? Give me a moment to click bad response.

8:15 - Eksno Yeah, you can see that that's actually one message. So it's just bad prompting. You could remove the give me a moment, then Control-A, Control-C into the improved response, and it may improve.

8:27 - Eksno Yeah.

8:44 - Eksno I wouldn't include that I have recorded your 5km walk for you if you wanted to not say stuff like that. Just, great job, Cuan. Could be enough.

