Meet Meeting 
Mon, Jul 1, 2024

0:00 - Eksno Yeah, I can.

0:01 - Eksno You cannot.

0:03 - Eksno I noticed during that archival, literally if I'm facing towards you. Yeah, I can hear my echo when I look towards you. I went back and just turned around when I was talking during the call earlier, because then it wouldn't echo. It's like a cardioid mic or something.

0:26 - Eksno So no echo.

0:28 - Eksno Very tiny in the background.

0:33 - Eksno Maybe if you moved one chair to the right, there wouldn't be any.

0:38 - Jorge Lewis I can go to that table. Okay.

1:00 - Jorge Lewis Yeah.

2:08 - Eksno Yeah, very good.

2:15 - Jonathan Phillips Very good.

2:15 - Jonathan Phillips What time is it over with you?

2:18 - Jorge Lewis Is it just on nine?

2:19 - Jonathan Phillips Have a good day.

2:44 - Jorge Lewis Is anyone else joining?

3:00 - Jonathan Phillips I'm just going to get my volume up here. I'm not quite hearing you.

3:06 - Jorge Lewis Sorry, go again.

3:10 - Jorge Lewis Is it my mic?

3:13 - Eksno Your mic is fine.

3:14 - Jorge Lewis OK. I was just asking if anyone else is tagging along today.

3:20 - Jonathan Phillips I've asked Kieran if he wants to join us, but he's got a busy day, I think, at the office. Let me just have a check.

3:31 - Jorge Lewis It is recorded, so I could send it to them as well.

3:34 - Jonathan Phillips Cool.

3:39 - Jonathan Phillips Right, I mean basically nothing sophisticated, just wanted to give an overview of what I see the project being as a whole, just so that you can start to position in your minds what you need to do, sort of what the end goal is. And what we're trying to achieve because it's probably a mistake if I keep everything in my head and then expect you to know it. So that's not going to work very well. So hopefully this will just give you a quick overview of what the concept is. I prepared sort of like four or five quick slides and they are just basically mock-ups of the way I think things could be done. And again, I have no prescribed idea. This is just a complete sort of sandbox for discussion. I have an idea and a vision of what I think we can achieve. But obviously, I'm very happy to take your knowledge and the direction that you think it could go in as well.

4:42 - Jonathan Phillips Great. Sounds good.

4:44 - Jonathan Phillips Right. So if I just show you these slides, Well, I've got so many windows up here. Let's try this one.

4:58 - Jorge Lewis I can see it.

5:11 - Jonathan Phillips Right, so if I...

5:17 - Jonathan Phillips I'm going to stop something because I'm doing the whole window there. Let's try it again. Technology failure. All right, so.

5:42 - Jonathan Phillips The way I see things, we're targeting small businesses and people who aren't very marketing or business savvy. So we want something that's very, very simplistic. If we can get everything onto one screen, I think all the better. This doesn't account for the likes of the admin screens and the backend stuff. This is just purely usability-wise. So originally I thought maybe we could have the journey of the framework on the left-hand side, a chat area, guides and supports, and obviously any output together. But it does kind of crush everything a little bit together. So what I thought was that we could then move over to something slightly different. Which has a toggle feature at the bottom on the left hand side.

6:43 - Jonathan Phillips So basically we can have the chat area expanded, it's possible to have a better discussion and then when you want to look back on where you are in the frameworks you can toggle.

6:57 - Jorge Lewis Can you just go back and forth between one and two?

7:00 - Jonathan Phillips Yes, sure. So So as far as the toggling goes, the toggling will be more like this. So it wouldn't go to a new window on the left. It would pretty much take up the chat area. So you can have a look at where you are, and then you go back to the chat area again, rather than have another column, so to speak.

7:20 - Jorge Lewis Yeah, I just have a suggestion. This is all pretty, I mean, this is not really important information, but this is just a suggestion for Laying Down the Road, since we're just kind of throwing things out there. An idea is having the left, like having it as a column on the left, where only the letters of story are shown. And then if they hover over it, then it expands into saying what they're doing, or like an arrow button where they can toggle it.

7:47 - Jonathan Phillips Absolutely, absolutely. Again, this is just an idea so that you can get in your head what we're trying to achieve. So as far as the cosmetics, the base functionality, again, it's not been thought through that clearly. So again, when we're talking about multiple agents, so that the user knows where they are, we could have something where they have a little avatar, so they know in the chat window who they're actually talking to. And it also personalizes the whole journey so that they feel like they're actually talking to a person rather than just the machine itself.

8:24 - Eksno I think I recognize that avatar.

8:27 - Jonathan Phillips I think you do.

8:30 - Jonathan Phillips So the last one here, again, on the left-hand side, the chat area, but on the right-hand side, more detail on the two sections, the top section. So this would just be guides and supports on the particular area you're on with the framework. It might include a couple of templates or a spreadsheet you might need to download. And again, this would be stored here. You'd have the opportunity to download or view depending on what it was you're looking at. It might just be a guide, an A4 page of thinking, so to speak. So you have a read of it and it gets you thinking, and then you can actually discuss with the chatbot how to actually take that forward. The output at the bottom right Again, it's just a, we're gonna have so much sort of output as far as bits and pieces, we have a scrollable window, and then the cumulative plan, and again, we won't call it a marketing plan, we'll call it something else, but just for sort of a positioning at the moment, we have a plan that everything comes into, so at any point, you are building this one document at the bottom, And then that is your output, so to speak. And again, if you manipulate any of the documents, it will then change your output at the end.

9:52 - Jorge Lewis Is the cumulative marketing plan, is it literally just all of the pieces put together or are they combined in a sneaky way?

10:04 - Jonathan Phillips Again, open to suggestion for both. If we can combine it with some lead in and lead out for each one, all the better. We just want to make it easy to use. But again, we are sort of wanting to decrease the amount of functionality that will extend the development period. So we have a list of brilliant things we'd like to do, but the reality is it makes sense to have something that works and then build on that as we go along, I think.

10:33 - Jorge Lewis Yeah. Okay. One big thing that I want to make sure We go through and then also you separately on your own time is how we're going to be better than the other competitors because I, we still don't know if it's a smoke and fog and mirrors for the other companies, but what they're showing is quite promising. Like marketing. Have you had the chance to try them out or are they? Yeah.

