Adapt Feature Discussion - Milestones 
Mon, Aug 19, 2024

0:19 - Unidentified Speaker Silence.

0:34 - Unidentified Speaker Silence.

0:45 - Cuan Mulligan Hello.

0:46 - Jorge Lewis Hey, how are you?

0:48 - Jorge Lewis Good, good. And yourself?

0:51 - Cuan Mulligan Yeah, ready to go home.

0:52 - Cuan Mulligan Nice. How long have you been in Spain?

0:57 - Cuan Mulligan Nearly a month now.

1:01 - Jorge Lewis Have you learned any Spanish at least? Any more Spanish?

1:03 - Cuan Mulligan No.

1:08 - Cuan Mulligan I got a holiday that way. I don't need to think.

1:12 - Jorge Lewis Just a gringo in Spain.

1:17 - Cuan Mulligan So want to talk about streaks and milestones, yeah?

1:20 - Cuan Mulligan Yep, yep.

1:24 - Cuan Mulligan Did you guys get a chance to read my text that I put in this morning? And does that make sense, the difference between a streak and a milestone? And a streak has two qualities, two aspects. I don't want to use the word quality.

1:39 - Jorge Lewis Let me.

1:47 - Cuan Mulligan I can say it again now if it saves time.

1:51 - Jorge Lewis From what I understood, a streak is just the user inputting data that's good quality or of a certain standard to the user.

2:02 - Cuan Mulligan Well, it's not the standard of the data, it's the quality of the habit formed, shall we say. So for example, I was having a big debate with my sister yesterday because she was over here as well.

2:15 - Cuan Mulligan If you think about, do you know Duolingo? It's a sort of learn to speak languages app. So they have a thing where if you do something for a certain number of days, let's say like 60 learning the language, you also get these things called gems and you can spend gems to give yourself a break. Let's say like I'm going on holidays for 10 days without losing your streak. And I'm like, In habit formation, if you don't do it for 10 days, that's a proper problem, certainly in the program. Maybe in the later stages, we can look at that. But the streak is about doing something every day.

2:56 - Cuan Mulligan Now, if you are supposed to walk an hour a day and you walk for one minute a day, that's also not useful because you've just walked one minute a day. If you're supposed to be eating 1,200 calories and you eat 4,000, you can record the data But it's not good data. It's not a good habit. If you're on the carb restriction, if you're supposed to be eating zero carbs and you're eating loads of carbs and you're recording it, is that useful? So I don't have an answer, by the way. The streak is the consistent doing of an activity plus the recording about that activity or habit. And that habit's actually useful. Or good, whatever word we want to use.

