Spec overview pt 1 
Mon, Jun 3, 2024

0:25 - Jorge Lewis And is he for you?

1:28 - Nazif Barassounon Hello, can you hear me?

1:42 - Nazif Barassounon Are you there, Nazir?

1:44 - Jorge Lewis Hello. Can you hear me?

1:46 - Jorge Lewis I can hear you, I guess.

1:52 - Jorge Lewis Hello.

1:55 - Nazif Barassounon How are you doing?

2:02 - Jorge Lewis It's on my side.

2:06 - Jorge Lewis Okay, now?

2:08 - Nazif Barassounon How are you doing?

2:09 - Jorge Lewis There we go, yeah.

2:10 - Jorge Lewis I love how you've been talking for.

2:45 - Nazif Barassounon Did you return to Thailand?

2:50 - Jorge Lewis No, I'm in Thailand. Gonna go see Jonas later at the office. Here is very, I don't know about in Benin, but in a lot of places here, like in Thailand and in Vietnam, they have a lot of what they call co-working spaces. They're pretty much like cafes, but you can like, you pay to go there and it's like an office, you know?

3:11 - Unidentified Speaker Yeah.

3:13 - Nazif Barassounon There are places here for co-working too, but it's not well spread.

3:21 - Jorge Lewis The ones here, but it's like, you have to really weigh it out because it's a hundred bucks a month for like unlimited access. So if it's more productive there, then it's worth a hundred bucks.

3:38 - Nazif Barassounon It also helps socialize, you know, not being alone all day.

3:44 - Jorge Lewis Yeah, exactly. This was, this is my first time staying in an apartment by myself. And I like it, but it's like, if I worked here, like I did before in the apartment with Jonas, I would, I would go crazy.

3:56 - Nazif Barassounon Yeah.

3:56 - Jorge Lewis It helps with socializing, yeah.

4:05 - Nazif Barassounon On my end, I have no choice but to only be in my apartment. And people here... Yeah, I moved.

4:16 - Nazif Barassounon That's how it is.

4:18 - Nazif Barassounon Very good. There's a lot of space and it's quieter.

4:22 - Unidentified Speaker Nice.

4:27 - Nazif Barassounon And here in my country, people don't know much about working from home. And they think that I'm a scammer, you know, like Nigerian scammer.

4:43 - Jorge Lewis No, I know how you feel, because it's like when I first started, I was like, oh, I do software. And they're like, oh, yeah, it's always very, the misconceptions are very strong for what we do.

4:55 - Jorge Lewis In America, too?

4:57 - Jorge Lewis When I was in Hong Kong, because I was quite young, and I was starting a business. Oh, you're starting a side hustle. It's just people have very strong misconceptions all the time.

5:10 - Jorge Lewis And they don't take it as real work.

5:13 - Jorge Lewis Yeah, it's not their fault. It's just life.

5:17 - Nazif Barassounon Yeah.

5:24 - Jorge Lewis Yeah, Jonas and I are, so he's staying at another apartment. The plan is to just work at the same place because we got tired of each other.

5:37 - Jorge Lewis I called it though, spending the entire 24 hours with someone is just, you just end up disliking them. So now we go to the office and we're happy, but at the apartment, we were just like, it was just too tiring. So our goal is to like, just go to the coworking space and work there together. And it'll be nice because in person, like we're working in person is a lot better. The communication and just things are just nice. Yeah, that's right. I think I need to add Jared. I don't think he gets notifications. That's my guess.

6:59 - Jorge Lewis Are you into investing and stuff like that?

7:05 - Nazif Barassounon On bitcoins or something like that. Yeah Bitcoin or stocks Yeah, but I'm not really I don't know much about it Okay, but like you're investing into it I Think it would be nice But I need to learn more about it hmm like crypto or or

7:37 - Jorge Lewis like stocks?

7:40 - Nazif Barassounon I know more about scriptos, but stock, I don't.

7:47 - Jorge Lewis Yeah, for stocks, it's like, you mean know more about the companies, right? Or more technical?

7:59 - Nazif Barassounon The technical side, you know, how the money flows, how to choose stocks and what should I look for when choosing a stock.

