Meet Meeting 
Mon, Aug 5, 2024

1:40 - Jonas Lindberg How are you doing?

1:48 - Jonas Lindberg Yeah, very well. Thank you very well.

1:52 - Jonas Lindberg Yeah, nice.

1:54 - Jonas Lindberg Yeah, so this is kind of like more free meeting. I want to to go over the workshop that I've planned, the mission and vision statement workshop. And also just want to get your feedback on my kind of setup, on how I've set up the workshop, maybe since you're like in marketing and all of that. And it's like a vision and mission statement that's pretty close to marketing. So I think you could probably have some valuable insights for me too, but outside of the typical client-project manager relationship. Sure, sure.

2:32 - Jonas Lindberg Yeah.

2:33 - Jonas Lindberg So let me just share the link with you to the Figma. So I'm hoping to run the workshop kind of through a Figma that we've kind of pre-assigned a bit. In it I've held up a few things like the purpose, our roles and responsibilities, some things that we need to fill out like the key stakeholders that should be present in the meeting and kind of the outline of the meeting.

3:08 - Jonas Lindberg Are you able to access the link I sent you?

3:16 - Jonathan Phillips Why did that come through?

3:17 - Jonas Lindberg I sent it in the chat there.

3:31 - Jonas Lindberg I think your mic might have changed to one that was worse. Your audio was good, and then it suddenly turned a bit more like robots-ish.

3:43 - Jonathan Phillips Not coming through very well, is it?

3:46 - Jonas Lindberg No, it wasn't good earlier. I'm figuring that the microphone changed when you put in the earbuds.

3:52 - Jonathan Phillips And you can't hear very well now.

3:55 - Unidentified Speaker I can hear you.

3:55 - Jonas Lindberg I can understand you. But it was better earlier.

3:58 - Jonathan Phillips Let me try. Is that any better?

4:06 - Jonas Lindberg Yeah, the audio is better now.

4:09 - Jonathan Phillips OK. I can't hear you now, but I know you can hear me. That's good.

4:13 - Jonathan Phillips Oh, you can't hear me?

4:15 - Jonathan Phillips No, it's just easier with headphones. But I'll manage. Don't worry. I've got the link up now.

4:21 - Unidentified Speaker Yeah, nice.

4:23 - Jonas Lindberg So there's two pages. One's the planning the workshop, which is more the one I wanted to go through with you. And then the actual D-workshop, which I'm still building a bit out. Yeah, I want to basically go through the stages outlined in planning the workshop there. Yes, sure. So yeah, just to to go through this. The purpose of the workshop is aligning on a mission statement and a vision statement. The reason I use aligning there more so than creating or defining is because all the key stakeholders that have a part in the project should be aligned and agree on division and division specialist. The mission is more so how you got the idea in the first place, the reason why you thought of this project at the core, while the vision is where you want to get to, where you imagine the project being in the future. Then once we have those two key parts down, the mission, where we start from, and the vision, where you want to end up, we can start much better building a roadmap and filling out the in-between. To a point where the development should hopefully be a lot more holistic. Everyone should know where we are in the project, what parts they are taking part in, instead of just following tasks that get listed down or handed to them in the backlog. Sure. Makes sense.

5:57 - Unidentified Speaker Yeah.

5:59 - Jonas Lindberg So for our roles in this meeting, I will not be leading the meeting. It will be you, the product owner, that is going to lead this meeting because this meeting is to your benefit for you to help everyone align on a project vision that you can guard and make sure all the features align with moving forward. It should also help benefit us when planning out features and such because then we'll be working from a standpoint where everyone knows the vision in the future so we can better prioritize what is essential compared to what's like just nice to have or things that can be added on later. Sure, sure.

6:37 - Jonathan Phillips No, it makes all sense.

6:39 - Jonas Lindberg Yeah, we can probably just start with the key stakeholders. So these are the people that should be present during the meeting, everyone that has a stake in IntelliAgent. So of course, JP, you're a part of it. Then, yeah, if you could help me just, is there anyone I don't know about that has equity or investment or anything in the IntelliAgent?

7:06 - Jonathan Phillips I mean, no, the only other person obviously is Coen who's heavily involved. So I think involving Coen, he has a number of skills that I think complement what we're trying to achieve. So I'm more than happy for Coen to be involved. Not obviously all the time, but I think any key decisions, especially with him going through the ADAPT process, which you've already started and you've learned a lot already. I think that's quite valuable because then we're not going over the same ground.

7:37 - Unidentified Speaker Yeah, absolutely.

7:39 - Jonas Lindberg Yeah, so outside of us developers and us in Startino, just you and Koen Da? I think so.

7:47 - Unidentified Speaker OK. Yeah.

7:50 - Jonas Lindberg So you can take a little moment to read through the purpose I've written here if you want to. Yeah.

8:05 - Unidentified Speaker Yeah, it all makes sense. Yeah.

8:09 - Jonas Lindberg So then there's the outline here. The reason I filled it up here is, of course, because you'll be the one running the meeting. So you'll have to know where it's supposed to go, how we're supposed to go through it. So in the beginning, of course, introduce what the meeting is about, basically going through what purpose of this. And clarifying that it's a collaborative session, you're not going to just be telling everyone what the vision is. It should be a collaborative session where at one point everyone will fill in what's their idea of the vision is and we'll compare afterwards, combine it into a final mission. A vision statement, then in the end, move on to a document that's using a proper, I don't remember the name of it. I'm going to add it in, but it's a vision statement document that has a lot of items we can fill in and make sure everything's aligned.

9:04 - Jonathan Phillips No, it makes perfect sense.

9:07 - Jonas Lindberg Yeah.

9:11 - Jonas Lindberg So yeah, you can see our product owner will invite everyone to write a statement around their motivation. Yeah, also the motivation to work on the product, compare and compile into a final vision statement.

9:23 - Jonas Lindberg One thing that will happen before here is you'll describe your mission statement.

9:35 - Jonas Lindberg So this will basically just be telling your story of how you conceive the idea of intelligence to give everyone the perspective of like where fundamentally this platform, this product is coming from So it could be like saying like, so I was sitting in my office looking out the window and I saw a plane, which made, yeah. Just how you came to think of the product because that's- It's helpful. I fully understand.

10:05 - Jonas Lindberg So hoping we can run this. I want to get on the ground running, get the meeting done as soon as possible and everything. So I'm just finishing up the workshop tab. You can see I have just quick context right now, which is outlining a bit the purpose, what the mission statement is. I don't think, yeah. Can you see the pages top left and then click on the workshop?

10:36 - Unidentified Speaker Yep, I'm in now. Yeah.

10:38 - Jonas Lindberg Yeah, so this will be the one that we will be showing everyone when you're running the workshop. Outline some quick context what the two different things are.

10:53 - Jonas Lindberg how it'll, yeah, we will be defining where we're starting from and where we want to get and how it'll like help fill in everything between like kind of what I've filled you in on right now. Sure. Then moving on to the idea of the project, this will be you describing the mission statement, how you like came up with the idea of it, what problem you saw with the industry. Then hopefully everyone will create their own sticky notes describing their interpretation of your idea.

11:29 - Jonas Lindberg Next up, I haven't created this slide yet, but it'll be the vision. So you'll explain your vision of the platform Intelligent. Then in a quite similar vein, everyone will fill in their motivation for working on the project, what they imagine it to be, what excites them about it. Then after that, we'll all collaborate. Of course, you'll be owning it, you'll be reading it, and combining it into a final proper vision statement that will then move on to documents using the little pre-made documents that I haven't added yet.

