Meet Meeting 
Wed, Jun 19, 2024

0:01 - Cuan Mulligan Hello?

0:04 - Cuan Mulligan Can you hear me?

0:11 - Cuan Mulligan Can't hear you.

0:32 - Cuan Mulligan There he is.

0:35 - Cuan Mulligan Can you hear me, JP?

0:36 - Cuan Mulligan Yeah, I can hear you.

0:37 - Cuan Mulligan How about now? I just can't help. Jorge, can we hear you?

0:43 - Cuan Mulligan Can you hear me now?

0:45 - Cuan Mulligan Yeah, but your audio is massively delayed to your video.

0:48 - Jorge Lewis Let me refresh my page.

0:56 - Jonathan Phillips I'm watching a bad lip-sync film.

1:00 - Jonathan Phillips How about now?

1:01 - Unidentified Speaker Perfect. Cool.

1:07 - Cuan Mulligan So, yeah, I just felt it was useful if the three of us can get aligned on where we are with things. There's obviously, you know, there's stuff going on our side that you're not aware of There's stuff going on your side that we're not aware of And I just want to make sure that we're aligned and having more conversations.

1:27 - Cuan Mulligan Obviously, you know, we're, by nature, impatient. We're super excited about what's coming, and we want to start getting using it and selling it, and also managing our own expectations about what this actually can really do versus what we think it can do. There was a question I had from Arif this morning, which was, you know, is there a way that we could prioritize IntelliAgent to rather than adapt in order to move IntelliAgent along further, quicker, because that probably is something that could start to sell sooner. But from my understanding, and this is more of a question is, they're sort of one of the same thing. And then if they are sort of one of the same thing, and the only thing that's different is the training, Should we just merge them into a single project rather than you having two different stakeholders? And actually what's variable is the training, not the, I mean, yeah, when we get into the LMS stuff, I don't know, actually, maybe your solution, JP, will need an LMS type thing as well.

2:33 - Jonathan Phillips Yeah, I think we've got a blank canvas at the moment, and I think we can work out a way of working together would be cool. I mean, I don't know, technically, is it the same structure we're looking at?

2:51 - Jorge Lewis So in terms of merging the projects, are we talking as in code-wise? So in terms of the code, it's probably better to keep them separate just because there is overlap. Can you guys hear me?

3:05 - Jorge Lewis Yeah.

3:05 - Unidentified Speaker Yeah.

3:07 - Jorge Lewis Oh, Jonas is here.

3:12 - Jorge Lewis Hey, Jonas. Hey, Jonas.

3:14 - Cuan Mulligan Hey.

3:17 - Cuan Mulligan Yeah, I mean, the way I sort of see this, I think there's a unified code base, but then there's an instance. So for example, if I do the GCSE instance, it's just a new instance of the code base that I would train to be a GCSE bot as opposed to a health coaching bot or JP.

3:36 - Jorge Lewis Not really, there's a lot more moving parts than that. We could commoditize it, we could make it in a way so...

3:47 - Cuan Mulligan It's amazing how much these programs stop at really, really brilliant words and sentences.

3:58 - Cuan Mulligan Yeah, he's there.

4:04 - Cuan Mulligan We've lost you.

4:12 - Cuan Mulligan Are you both in the same country still, or are you different countries now?

4:19 - Cuan Mulligan You've got no mutes, you've lost power.

4:24 - Cuan Mulligan Hello?

4:27 - Cuan Mulligan Yeah, you're back.

4:31 - Jorge Lewis Someone's ringing. No clue who that was.

