Will / Jorge - Pair Programming 
Wed, Aug 7, 2024

0:04 - Jorge Lewis So yeah, so let's do the, what do I wanna work on today? The signup stuff?

0:09 - Will Vincent Parrone Yeah, so wait, let me just finish this up. I'm just gonna be removing this.

0:25 - Will Vincent Parrone Yeah, so just a rundown on my code. So basically, this is a really simple prototype right now that I'm working on. In the sign-in, what was discussed is that we're going to be using passwordless kind of authentication.

0:48 - Will Vincent Parrone assume that we're going to be using OTP. So the way I did it is I created basically the status.

0:58 - Jorge Lewis But have you discussed? So for each feature, we've kind of concluded that we should be discussing with the client for each small feature to make sure all these small things are clarified. Right.

1:11 - Will Vincent Parrone All right. We discussed this with Q1, I think.

1:18 - Will Vincent Parrone days ago before we even finished the scope. Basically, what Q1 wants here is that it's going to be passwordless and not done along with the chatbot, like a separate UI for the sign-in.

1:38 - Jorge Lewis I don't want to interrupt the pair programming session, but just so that we make sure we don't work on something that we won't use. There's two sections to the user authentication with Adapt. The first one is the anonymous authentication where there's no required credentials or input from the user. And the second is a sign up page where after they've completed the workshop, they can sign up. Right? So far so good?

2:14 - Will Vincent Parrone Yep.

2:18 - Jorge Lewis And then you're telling me that you guys said you're going to use single SSO for the signup page. Yeah.

2:27 - Will Vincent Parrone Yeah?

2:31 - Unidentified Speaker Yeah.

2:37 - Jorge Lewis Okay.

2:37 - Jorge Lewis But what about, so has he said we, so are we not going to use Google authentication or Facebook authentication or?

2:47 - Will Vincent Parrone Actually, we haven't discussed this.

2:49 - Jorge Lewis Because Superbase gives those to us, and it's surprisingly easy to integrate. I think we should be- Okay, okay. Yeah, wait, I'll- No, no, I gotcha, I gotcha.

3:01 - Jorge Lewis Okay, okay.

3:02 - Jorge Lewis So let's, let's, um...

3:09 - Jorge Lewis Let's...

3:11 - Jorge Lewis See...

3:13 - Jorge Lewis Let's ask him, then.

3:18 - Jorge Lewis So, ask him in AdaptDev at Kuen and say, hey, I'm working on the sign-up thing or the user authentication now. What do you want to include? So, the options are this, this, and this. Make sure to include kind of how the user experience is for each. So, for a Google sign-on, or Google sign up, what that means is that they can sign in, they click, maybe you can send some examples, kind of, you click the Google sign up, sign up with Google, it takes, it opens the pop up of Google and they click their Google account and it's in. Explain that to him, because I don't know, he probably knows, but I think it's good to illustrate with examples. Because like for example, JP probably won't know, so we want to kind of pretend Kuin doesn't know any technical things, but he does.

4:18 - Will Vincent Parrone I'm messaging him right now.

4:28 - Jorge Lewis Have you done any OAuth authentication with Superbase?

4:34 - Will Vincent Parrone To be honest, no.

4:41 - Will Vincent Parrone I think the authentication that I did was on Firebase.

4:48 - Jorge Lewis No, it's fine, bro. Don't worry. I don't need know-it-alls. I need fast learn.

4:56 - Jorge Lewis OK. And on Firebase, was that single sign-on or was that using Google or?

5:07 - Will Vincent Parrone I did an option wherein I tried Google Authentication, and then what I'm slightly more familiar with is using the email and password to sign in.

5:27 - Will Vincent Parrone Hello? Sorry?

5:27 - Jorge Lewis Yeah, me too.

5:31 - Jorge Lewis Ok.

5:32 - Jorge Lewis Yeah, I've only done email and password and then I think anonymous as well. There's actually a project we, I've only done email and anonymous as well. We have a project, we have a project, IT, you know, actually, are you aware, like, do you know ITNO?

6:00 - Will Vincent Parrone Artino, I saw it. Yeah, yeah, yeah, yeah. When I searched Artino, Artino came up.

6:09 - Will Vincent Parrone Right there?

6:10 - Will Vincent Parrone Hello, hello. My mic is not picking up, but I saw Artino one time, I think, in the messages while searching for something.

6:23 - Jorge Lewis Yeah, so I, yeah, yeah.

6:30 - Jorge Lewis Aetino is our AI project we worked on before. It was kind of a multi-agent builder kind of thing and it was actually a great idea. We were on the right track, definitely.

6:42 - Will Vincent Parrone I would like to stop you first. I think I'm hearing Jonas in Gather.

6:48 - Jorge Lewis It was just, yeah. Unfortunately, we couldn't finish it. But actually, fortunately, yeah.

6:56 - Jorge Lewis Okay. Oh, he's here, yeah.

7:03 - Jorge Lewis I'm a me and Google me. You you Alright, alright. I'm back. He's gone.

10:26 - Will Vincent Parrone Yeah, alright. Okay, okay. Wait. I'll be... I'll just finish messaging Kuan's sign-in with one-time email. Password userwillsprofile and set the Half of our programming one-on-one is just basically consulting with other people.

15:25 - Jorge Lewis Hopefully people stop joining us now.

15:34 - Will Vincent Parrone You were saying something?

15:35 - Jorge Lewis No, no. Go on.

15:41 - Will Vincent Parrone Anyways, so maybe we can put this on hold. I still have one issue that I'm working on, though, related to the anonymous sign-ins that I might need some help with.

15:57 - Will Vincent Parrone Maybe that's something I can do other than the sign-up page while clarifying some things with Q1.

16:03 - Jorge Lewis Yeah, I mean, what would be good is if you send a video, a little short video, Google, for example. You don't have to make one, but just searching online.

16:29 - Jorge Lewis So we can see the user flow.

16:35 - Will Vincent Parrone Yeah, anyways, sorry. There was some noise out there.

16:55 - Will Vincent Parrone Google search a video on how the user flow works, right? I think it's going to be a bit easier. Yeah.

17:04 - Will Vincent Parrone Yeah, I'll just search on YouTube right now.

17:10 - Jorge Lewis Yeah, I'm trying to find one as well.

17:37 - Jorge Lewis I think I found a good example. Could you also edit your message to mention that we can include multiple of the options.

17:56 - Will Vincent Parrone Yeah, thank you. Including this right now, yes, we can have multiple options.

18:14 - Will Vincent Parrone Oh, there we go.

18:20 - Will Vincent Parrone Where did you find this? Just Google Images?

18:24 - Jorge Lewis Yeah, I just searched Google OAuth example. Oh, nice.

18:30 - Will Vincent Parrone Yeah, I think with the exception of Google Auth and Meta Auth, everything's self-explanatory already.

18:40 - Jorge Lewis Yeah. Okay, so, but what I actually think is we're going to put yourself in his shoes. We ask him, hey, do you want this or this or this or do you want all of them? He's going to say, why would I, why would I not? Yeah, exactly. Why would he not say all of them for him? It costs the same. Um, since for us, like realistically the time to implement more than one should maybe take one or two more hours. Um, which should be a positive, um, ROI for us since the client gets to be really happy and, um, and we can reuse that code. So, sorry, sorry. Not reuse his code. Um, create it from scratch.

19:24 - Will Vincent Parrone Our meetings aren't going to be read by him anyways, it's okay. We can...

19:30 - Jorge Lewis Code like this isn't his IP actually, or the client's IP, because it's so generic that it's used in every single SaaS project, so it's not exactly his IP. So we can reuse the code.

19:47 - Will Vincent Parrone Yeah, I think only the workshops might be a little bit... On the gray area of what's good and what's not.

19:56 - Jorge Lewis Yeah, for sure.

19:58 - Will Vincent Parrone Yeah. Okay.

20:01 - Will Vincent Parrone While we're waiting, go on.

20:04 - Jorge Lewis We can get into making all the authentication options, I think.

20:09 - Will Vincent Parrone Okay. Wait.

20:13 - Jorge Lewis If you can share your whole screen and we can, because you're using the documentation on a browser here.

20:22 - Unidentified Speaker Mm-hmm.

20:23 - Jorge Lewis Yeah, so you can share your whole screen. I can follow along with the docs that you're looking at.

20:29 - Jorge Lewis OK.

20:32 - Will Vincent Parrone Wait, let me just clean up my tabs.

20:39 - Will Vincent Parrone There we go, all nice and clean. Mm-hmm.

20:51 - Will Vincent Parrone Stop presenting.

20:58 - Will Vincent Parrone OK. Let's test this on superbase. Superbase hot documentation.

21:18 - Will Vincent Parrone Wait.

21:20 - Will Vincent Parrone If we're going to be including multiple ways to sign in, then here in the architecture, the sign-in page should have multiple pages, right? Like sign-in. There's going to be a sign-in page. And then if, let's say, the user opts for an OTP, well, I'm going to be creating another OTP page.

21:46 - Jorge Lewis Yeah. Let me share with you the code of the other project of Aetina where we did the Google authentication. We did Google and GitHub authentication for that project.

21:56 - Will Vincent Parrone Oh, okay.

22:02 - Jorge Lewis Do you have access to the Aetina repository?

22:07 - Will Vincent Parrone I think I have access already to... Wait, I'm just going to be yanking this.

22:17 - Will Vincent Parrone Oh yeah, I think I have access to this 13 repositories already. All right, perfect. Let me double check. I might be wrong.

22:28 - Jorge Lewis I sent you a link as well if you need it.

22:36 - Jorge Lewis And Discord, sorry.

22:42 - Will Vincent Parrone Ah, here we go.

22:46 - Will Vincent Parrone Repositories, Aitino.

22:50 - Will Vincent Parrone Here we go. This is a public? Okay.

22:53 - Jorge Lewis Oh, it's public. Do you have access to... Oh, actually, no, you just need to read it, yeah?

23:03 - Jorge Lewis So, yeah, I don't know...

23:11 - Jorge Lewis My God, stop.

23:14 - Will Vincent Parrone Ah, here we go.

23:19 - Will Vincent Parrone I will data form form that register.

23:34 - Jorge Lewis How about this? Um, so it's this, this off, it takes a lot of learning. And I think the pair programming sessions while sometimes you probably do want to do learning together. I think a more efficient, especially since we're just starting off with these sessions, is by actually writing some code. So I think what we can do is we can work on the, remember that to-do toggle, or that done toggle that I told you about on Peres, the Read.AI project? Could we work on that instead?

23:59 - Will Vincent Parrone Oh yeah, wait, wait, wait.

24:02 - Will Vincent Parrone Let me pull it then. Repositories.

24:09 - Will Vincent Parrone Read.AI tool.

24:15 - Will Vincent Parrone Yeah, are you okay with extending it, like, 15 minutes, given the, you know?

24:19 - Jorge Lewis Yeah, yeah, for sure. I should be able to. I just have a couple meetings with some people, but it should be good, if you want.

24:30 - Will Vincent Parrone Okay.

24:33 - Will Vincent Parrone Reddit, tool, tmux, new, s, reddit, tool, tntm, install, And then, no package manage, oh yeah, right, right, cduel.

25:04 - Will Vincent Parrone Oh, wait, are we using, what are we using here?

25:14 - Will Vincent Parrone In order for me to test this app properly, I have to do some CSRF.

25:29 - Will Vincent Parrone Show config false.

25:42 - Will Vincent Parrone Run dev. Nope.

25:46 - Will Vincent Parrone Run dev.

25:49 - Jorge Lewis Very annoyed of you.

25:54 - Will Vincent Parrone Huh.

25:55 - Will Vincent Parrone Unexpected token starting dev server. Okay, got it.

26:03 - Will Vincent Parrone And then we're gonna do something in Nginx.

26:07 - Will Vincent Parrone Huh.

26:09 - Will Vincent Parrone Starting dev server.

26:18 - Will Vincent Parrone New GitHub copilot was found.

26:23 - Will Vincent Parrone Okay, I'll just quit everything.

26:25 - Unidentified Speaker Yep.

26:29 - Will Vincent Parrone Clear, clear.

26:34 - Will Vincent Parrone What's wrong again?

26:46 - Will Vincent Parrone svelte.config.js, delete it.

26:52 - Will Vincent Parrone Here we go.

26:57 - Will Vincent Parrone And then something within the nginx file, sudo vim etc nginx. It's still wrong.

27:09 - Will Vincent Parrone Is there no show config? I might have I might have CSRFs.

27:31 - Will Vincent Parrone Oh, check origin.

27:33 - Jorge Lewis What's the CSRF? I've never seen it before.

27:37 - Will Vincent Parrone It's basically the course, it's course related because I'm not using localhost.

27:45 - Jorge Lewis to run.

27:49 - Will Vincent Parrone I'm basically hosting this in another server, in a Vultr cloud server. That's why I can use it from any device as long as I remember the password.

28:08 - Will Vincent Parrone Which I actually am starting to forget now. What's the name again? Checkorigin.

28:15 - Will Vincent Parrone Check origin. There we go.

28:24 - Will Vincent Parrone And I know this is going to work now because I am a god. So it's available.

28:36 - Jorge Lewis Default. Now I have to.

28:38 - Jorge Lewis This is Windows, so.

28:46 - Jorge Lewis Bro, RIP. I'm prompt. You should be using at least PowerShell.

28:53 - Will Vincent Parrone Really?

28:55 - Jorge Lewis Yeah, I prefer using PowerShell, but also WSL works. Like, do you have WSL?

29:04 - Will Vincent Parrone Actually...

29:08 - Will Vincent Parrone Yeah. Yeah, I do. I haven't really used it though.

29:20 - Will Vincent Parrone 5, 1, I just got used to 7, ordinary shell commands. 5.

29:31 - Jorge Lewis But your vulture is Linux.

29:36 - Will Vincent Parrone Yeah, wait, wait, wait. Sorry. Let me try to center my thoughts first. I was really focused on doing the ng-stuff. What was the question again?

29:49 - Jorge Lewis Why don't you use WSM?

29:51 - Will Vincent Parrone Oh, right. It's because I keep on forgetting to initialize them, to like start them.

30:03 - Unidentified Speaker Gotcha.

30:06 - Jorge Lewis I mean, I don't, I can't imagine working with commando prompts, but I mean, if you're used to it, then it works.

30:14 - Will Vincent Parrone Yeah, that's. Actually, that's what's been changing with me recently. My whole mentality is if it works, it works, but I am slightly learning that maybe that's a wrong way of doing things.

30:28 - Jorge Lewis It seems like a balance. For me, when I tried switching to NeoVim, or a better example is I tried switching to Linux, to NixOS, but it's more sexy, it's more flashy. It's like, oh, I use Linux, I use NixOS. I use Vim, by the way, but it just doesn't work for me. What works for me is Windows, because of what I do. It's all very dependent on what you do.

30:58 - Jorge Lewis That's fair.

31:00 - Jorge Lewis For me, I can work so much more efficiently with...

31:06 - Jorge Lewis That happens to me all the time as well. I keep opening those random Windows apps.

31:11 - Will Vincent Parrone Yeah, I also... This is why I'm really gonna change this to... I'm gonna change this to Linux probably tomorrow.

31:26 - Will Vincent Parrone This is a bit...

31:34 - Will Vincent Parrone Annoying to... Yeah, maybe like for most people, for me, I should start on trying new things more often.

