Discussion for Stori with everyone 
Mon, May 20, 2024

0:42 - Unidentified Speaker Bye!

0:44 - Jorge Lewis Like I didn't like when I searched what do you mean by that like that was a great one, but I need to breathe I What part of the world are you in now?

1:54 - Cuan Mulligan So this is talking about the marketing project.

2:09 - Cuan Mulligan I think we've been going super, super, super deep in this on our own research and trying to understand it. I think, Jamie, I'm probably going to hand over to you to sort of give your thoughts and considerations of where you are right now. And this is more You know, Jorge, when we were speaking last week, you were sort of really challenging and asking good questions like, what's the purpose of the POC? Who's it going to go to? Like, is there a hard-coded version? Like, is there a super dirty version to prove the concept? And what are we actually, what problem are we trying to fix? We want to try and explore what is the right scope of something and Is there work I want to talk about, like how do we train bots and could we train individual bots and then migrate that to a multimodal bot in the future? That's another topic I'll come back to. And then JP, I think you've got some sort of questions in terms of the knowledge and aspirations around multimodal stuff.

3:05 - Unidentified Speaker Yeah.

3:07 - Jonathan Phillips First of all, my connection is pretty ropey at the moment, so I may have to reboot my machine because it looks like it's my problem. Anyway, I'll keep on going anyway in the meantime. Right, so multi-agent AI systems, that's really the core, that's the differentiator that we see. I think ChatGPT are going to release a new version very soon which incorporates this as a framework. Obviously there are existing frameworks available so it's something that everyone's going to have.

3:41 - Jonathan Phillips opportunity to use very soon, whether you have experience or no experience. So it's not going to be a differentiator in itself, because it's going to be ubiquitous. Everybody's going to be using it. We need to know, really, how quickly we can move through. I don't think it's the proof of concept, necessarily, as in, will this methodology work? We know it will work. And as time goes on, it's going to get better and better. So it is the future. We need to work out how quickly we can get on sort of riding the wave so to speak and have something tangible and something real that first and foremost we can go out to partners and prospects potentially with something credible to say hey look this is it working in reality rather than the concept. Even if it's very small scale, it's fine at the moment. We just need something to say, this is what we do, this is what we can do, this is our vision. And for them to go, wow, that's something that is next level. And it's that next level we need to get to so that we can then improve what we want to do but we need that initial sort of wow factor to show people without smoke and mirrors without saying this is a demo that we put together that looks like it works but it doesn't really in reality we need something sort of tangible so it's the ability for several bots to talk and interact successfully that's really where we want to get to sort of first base.

5:36 - Jonathan Phillips But it's very like like too much Yeah, so sorry, my sort of benchmark is that when they talk to each other, they don't just physically talk to each other, they make sense. I think that's the level we need to get to, so sorry. The things you're talking about is my base level. So where you get sensible conversation that's intelligent and reduced errors, critical problems, et cetera. So at least we can prove that in theory, We can take it and work further with it and make it even better, but at the initial stage, it works. And I think that's where we need to get to.

6:28 - Cuan Mulligan And I think there's a couple of different attributes here. So there is the So you have a bot, and then what I'm referring to, maybe there's a better word and you guys can correct me, but there's a tuition of that bot. So that's just a raw capability. So how do we teach it, train it, write a prompt with the personality and a standard that what good looks like for a particular slice of a problem statement? So for example, let's say a bot, I'm gonna do something very stupid. It was an expert in spelling. So it's constantly monitoring the conversation, and it knows the difference between American lingo and slang and English, right? And it goes, oh, look, sorry, just want to point out, you shouldn't, it's not this, it's that, right? It's a very, very narrow job. That is focused on doing something. So we would need to have the robot that we then write, I think it's prompts or stuff, to tell that what it looks like and what is good. And so we would, as an expert, set the standard for that. And that could be brand values, it could be content ideation, it could be anything. So we need the ability to train the bot or tell the bot what good looks like, The second dimension is the interplay between bots, taking feedback in real time, and then enhancing. I think that's the multimodal aspect of what we're talking about. So one question I've had is, while you guys are building out the multimodal capability and the backend interface for adapters and stuff like that, is there stuff, like could we get a single bot and just start proving it good at doing a job. And so we can start training it so that when you give us the multimodal capability, we can transpose all of that learning over and the prompts. The reason being at the moment is it feels quite sequential. The market's moving so quickly that we want to start getting our understanding of what does it mean to train a bot, what data do we need, what's the right way to prompt, all that sort of stuff. That's going to take time. And can we get ahead of it with a single bot, completely parking the multimodal aspect for now, and then once you give us the multimodal, we should be able to move all those bots together. In theory, that was what was in my head, but you might go, doesn't work that way, but maybe it does.

9:03 - Unidentified Speaker What's the difference between multi-agency?

9:33 - Arif Harbott Let's say we're going to have, for argument's sake, there's five people in a marketing team. There's a planner, strategist, writer, whatever it is, right? You've got five people. Now, we will have to load the prompts for all five of those. So let's say we're going to be completely individual. They were never going to talk to each other. We would have to undertake the task of saying, right, planning bot, you're going to do this. Creative bot, you're going to do this. And they would never talk to each other ever. Now, what we're saying is we're moving into a world where they can talk to each other now, and we know that's a little bit more complicated. So can we kind of get five prototypes where we can start coding them up and then in the background while you're linking them.

10:17 - Arif Harbott I think that's what you're trying to say, Cuan. So there's step one is each bot has to have its own sphere of knowledge. Step two is can they talk to each other? Now, maybe they can never talk to each other. Unlikely, right? Because the tech is moving so fast. But maybe when we link them up, it actually makes no sense and we keep all five separate and you have to engage with them separately. We don't know. But we're just trying to say, is there a way for us to get ahead of this? So we can start doing things now as opposed to it takes three months to build the tech and then we've got to code up these five bots anyway. Is that right, Kurt? Have I summarized that correctly? Pretty much.

10:51 - Cuan Mulligan We know that a bot speaking to another bot is one area, but the other one is, can we start training a bot to be good at a particular job so that when you give us the second capability, we can just take that learning and move it over rather than starting from scratch?

12:12 - Eksno Yeah, so you're talking about multi-agents as a hypothetical. So I'm wondering if you've seen our previous project, Aetino, RF, is that correct?

12:25 - Arif Harbott Yeah, yeah, I'm pretty sure I've seen it.

12:32 - Eksno multi-agents are a proven technology, they're already working, they're just not put to any practical use yet, so no one's using them for like a real purpose, it's mostly just scientists and researchers that are just testing them out, and we're

12:48 - Cuan Mulligan trying to use it for more commercial So you know, up until this point, whenever we've said multimodal, I think we mean multi-agent.

13:28 - Cuan Mulligan Ideally, the ultimate version of this is that the workshop is like this.

13:35 - Cuan Mulligan So that is vision, text, speech.

13:38 - Jorge Lewis It's a combination of all three.

13:45 - Jonathan Phillips So the picture of the Holy Grail is that we have this scenario here where your business owner, let's say, logs into his laptop and everybody's there spatially looking like a human, aren't humans obviously, and talk to each other as well as the person who's the user. So it's genuinely looking like a real team working interactively. And they may talk to each other and look at each other and say, hey, do you remember the meeting we had this morning? We talked about this, which clearly didn't exist. But it then relays back to the user that a meeting happened, and this is the output. So ultimately, that's the holy grail, and we're not there yet. But it won't take long. It won't take too long with the way that things are moving. But we need to get to the initial stages so that we're in place to put this into position, obviously, when we can do it.

14:34 - Cuan Mulligan So on the multimodal stuff, The voice versions I've seen, there's a little bit of a lag. It's not quite as dynamic as text. So should we focus on a text-based solution today to understand the multi-agent dance, for want of a better word? And then in the future, once the voice comes into play and it's good enough, we could just move that in. Because the learning of how something... Because voice is just... All they're doing is poking the text. They're not actually changing the text. So maybe we just focus on a text-based version initially.

15:12 - Cuan Mulligan Jonas, I have your hand up now.

15:16 - Eksno Yeah, so with like multi-modal, so audio, video, and like pictures, those are more going to be results from text. So for example, a team can, let's say a marketing team can collaborate to create a new marketing campaign. Then you can have one market or one designer, for example, that's an expert at generating prompts for image generation. So that designer basically can generate images for marketing campaigns. If you're generating videos, you can have one that's good at creating a script, which they then pass on to be converted to audio. And then the bots can create a marketing video, for example, or just marketing images. And it's not going to be the medium they communicate for. It's going to be medium that they produce, if that makes sense.

