Tracking UI confusion 
Tue, Jun 4, 2024

0:08 - Jorge Lewis How are you?

0:13 - Cuan Mulligan Yeah, it's up early. Probably bit frustrated with that call.

0:21 - Cuan Mulligan So I'm trying to go through this now. I'm just trying to write it up now. Give me a second.

0:29 - Cuan Mulligan I'll give it a head set.

0:33 - Cuan Mulligan There's a profile to check.

0:45 - Cuan Mulligan Just to do, go to there, just reduce all this down.

0:57 - Cuan Mulligan And then, Do, so let's say this is last to tell item status, tracker, so distance, time, calories, okay.

1:37 - Cuan Mulligan So, what are you working on?

1:39 - Cuan Mulligan I'm trying to do a conversation so that we can move beyond just us having back and forward words. Okay. Because it's not, the text doesn't work as a backwards and forwards conversation. I don't know if you can see my screen.

2:04 - Cuan Mulligan I should put this in a different color. So the blue box is the profile of a user that has a number of tracking items, let's say walk distance or fan calories.

2:26 - Cuan Mulligan When this is fully built, later on, the user may have put some in or may not put some in. So it will be variable from day to day whether the user has, one, done the activity, or, B, then filled in the data. Because they could go to the website and just fill it in. Or they could just proactively say, hey, I've just done my walk to the bot, and the bot will fill it in. So there's a nature of proactiveness. But let's say they haven't done anything.

2:56 - Cuan Mulligan They've not filled any of them in. Now, if they've not filled them in, we don't know whether they've done them or whether they have done them, but just didn't fill it in. So there's those two steps. Yeah. Okay. Yeah. So what you're saying, Yonah, so the user presses the button to start, the bot needs to go to the profile to check the tracker status. In this case, in this scenario, there's all three of them. The bot would then say, Hey, um, so this is just one example. So did you do your walk today? It's the first question. And they go, no. OK. So then I go, right, OK. So then there will be some form of a coaching chat. I'm just going to make it sort of overly simple here for now, coaching chat. OK. So then there is the response around the coaching, blah, blah, blah. That finishes. OK.

3:52 - Cuan Mulligan What can we do? What can you do today to ensure you get to do your walk tomorrow? I have put it in my calendar to do at 11 AM. OK, great. I will check in with you. Shall I?

4:24 - Cuan Mulligan Check in with you beforehand to give you a gentle reminder. Sure, as an example. All right, now I'm not saying this is, I'm just giving you an example of a conversation. I don't think all of these features are gonna be there for this Friday, but for this case then, What I would expect is, is, I'm just going to move this down here. Put these into Amber.

5:10 - Cuan Mulligan Reminder, which is basically, pre-walk, 10.30 AM, something like that. That'll be a reminder that they do the next day. There you go. Cool. OK, great. How many? I just want to check to check how many calories did you eat today? I'm going to keep it simple. And they said about 1,700. Nice.

5:49 - Cuan Mulligan Well done for keeping within your targets. I will update your profile.

6:01 - Cuan Mulligan I go over here and that now has 1,700.

6:08 - Cuan Mulligan So that's the sort of engagement, the bell has added that in. If you were just saying, Right, I press the button to start. The bot goes, what I heard you say was this. Did you do your walk? So you basically just go, let's get rid of all of this.

6:28 - Cuan Mulligan There'd be none of that. So it goes, check the tracker status. Please update your profile.

6:40 - Cuan Mulligan because of missing data, user then goes, user goes to UI and fills in.

