Discussing Graph Design Pt 2 
Fri, Jun 28, 2024

0:02 - Jorge Lewis Disabling echo.

0:08 - Jorge Lewis No, I mean like within Google Meets, maybe, I don't know.

0:12 - Jorge Lewis We had an issue one time with like the... Welcome back.

0:35 - Jorge Lewis Vivas is also going to join this meeting?

0:38 - Jorge Lewis Yeah, yeah.

0:41 - Jorge Lewis It'll be funny if he doesn't join.

0:46 - Jorge Lewis Try speaking, Vivas.

0:48 - Jorge Lewis I'm speaking now. Yeah, there's an echo. There's an echo?

0:53 - Jorge Lewis Oh, I can speak from your mic.

0:56 - Jorge Lewis Oh, okay. That works.

0:58 - Jorge Lewis Yeah, there's no issues.

1:03 - Unidentified Speaker Cool. Cool.

1:04 - Jorge Lewis Um, okay. Uh, our viewers is joining. I think, I don't know. Why is your discord status idle by the way? Mine?

1:18 - Jorge Lewis Yeah.

1:24 - Chinmay Pandya I do not know. Sometimes I do things which are very, you know, which I have to be embarrassed about later.

1:37 - Biwas bhandari Hello. Hello, everyone. Nice to meet you.

1:39 - Biwas bhandari Hello, Chinmay. Hello, Jorge.

1:41 - Biwas bhandari Hello, Jonas. Hello, Bhai. Do you remember India?

1:44 - Chinmay Pandya Yes, I remember.

2:00 - Jorge Lewis Yes, so the plan is to pair you guys up I Don't know if I think I mentioned this maybe in our first call, but we like to try out pairing we I heard very good things from it from one of my Mentors, pretty much. So we're going to try it out. One of the top companies, engineering companies in the world, does this. So they always put one middle level and then one senior together. And they found that that works the best. So we're going to try that out. One key thing, though, is that we've got to make sure the communication is clear amongst different pairs. So if we have two pairs working on the same project, we have to make sure the two pairs are connected still.

2:40 - Jorge Lewis Anyways, yeah. So you guys want to introduce yourselves to each other?

2:43 - Biwas bhandari Yeah, we already have kind of

2:45 - Jorge Lewis Oh, come on. Oh, bye. It doesn't introduce this whole conversation with side with those eyes.

2:54 - Chinmay Pandya I texted him.

2:57 - Biwas bhandari So we talk.

2:59 - Jorge Lewis Okay, nice. Cool. Cool. Um, Yeah, so we were just going through what Chinmay went through. So we're going through that right now. I guess I could share my screen. We're on an Excalibur. Let me send the link.

3:24 - Jorge Lewis Oh, yeah. That was just to kind of... Restated. So a couple of things that we want to make sure are clear, like for the next few days or just, um, number one, we need more updates, more, more check-ins throughout the day. Um, just to know where things are going, how things are going. Um, and then for schedule, let's try to get that sorted out. So what's your schedule looking like, Am I sharing my screen now?

3:53 - Unidentified Speaker Okay.

3:54 - Biwas bhandari I'll be pretty much free every day.

3:59 - Jorge Lewis So, okay, I did not totally understand your school situation. So you started again already?

4:05 - Biwas bhandari The college started from this week's on days and I wasn't just casually not going and they called me. So I had to go from yesterday. Like I'll be going college from 6 a.m. To 9 a.m. In three hours.

4:21 - Jorge Lewis Okay, every day on weekdays.

4:26 - Jorge Lewis Okay, and then Okay so what time around the day do you think you'll be working, you'll be on the projects?

4:33 - Biwas bhandari During the day I'll be around from 4 11 to 2-3-4 around and at night I'll work 2-3 hours.

4:44 - Jorge Lewis Okay cool cool. Alright let's try to, I'll make a channel where we can just kind of Or after this, let's put the schedule in Google Sheets. I'll set it up, and we can all put the time that we're going to be planning to work so that we can kind of understand each other's schedules a little bit better.

5:05 - Unidentified Speaker Yeah.

5:07 - Jorge Lewis Cool. So yeah, that's cool. Yeah, let's do it.

5:15 - Jorge Lewis So let me share my screen. We can go through this a little bit.

5:21 - Jorge Lewis What did you guys talk about when you guys had a conversation?

5:27 - Chinmay Pandya Actually, I asked him because I asked you about an error for build tools. So I asked if he faced the same error. That was the only conversation.

5:43 - Chinmay Pandya I asked him whether he faced the same error as me and know what he did, but his error was different. He also faced the error, but his error was different. My error was different.

5:53 - Jorge Lewis Yeah, although we have uh So there's a there's a client. Uh, this this group chat here that I'm on On my screen is uh for the clients So I'll invite you guys in a couple like after the four days are done and we can see how things are going I'll most likely invite you guys to this channel, but for now we can discuss all the stuff. Um in the dev channel here which you guys have access to yeah and that way like if you guys have an error maybe if jonas and I have had it as well we can also help so that's the nice thing about working with a lot of people okay so so we were just...

6:36 - Chinmay Pandya you have chat gpt plus three people?

6:38 - Jorge Lewis sorry? For your errors you have chat gpt plus three people All right, so, okay, so where was I going? Okay, so for my graph, it looks like this a little bit.

7:00 - Unidentified Speaker Why is this thing so big?

7:03 - Jorge Lewis So we have the supervisor. A supervisor would decide, or it goes to the router to decide.

7:17 - Jorge Lewis It decides who goes next, whether the code, this would be. Actually, the supervisor calls a tool that updates the database, so there's no collector. The supervisor was going to manage all of it.

7:35 - Jorge Lewis So within this tool, there is fetch check-in.

7:45 - Jorge Lewis There's fetch check-in.

7:49 - Jorge Lewis Update check-in. What else was there? Oh yeah, just terminate.

7:56 - Jorge Lewis This was from before. This is from like the Python, I believe. And so all messages get passed through the supervisor. So if the supervisor, if the user provides data, the supervisor will call update check-in.

8:11 - Jorge Lewis And the supervisor in his prompt was told, if after you've updated the check-in, see if the coach would speak and we'd just give it a couple of reasons like when the coach would speak. And then the coach was connected to a... A...

8:30 - Jorge Lewis Data analyst, is it? Yeah.

8:41 - Jorge Lewis Damn. That's a mad baby.

8:46 - Jorge Lewis Someone has died. So the coach would be able to call on the analyst. I think it would be kind of default, so always, yeah, let's fix this a little bit. So this would always be the case. The coach will always ask the data analyst, hey, are there special insights that I should know about? Whoever has that mic in POC, I'm reading.

9:25 - Jorge Lewis So the supervisor would determine usually to call a tool or to call to pass it on to the coach and the problem with this though is that the coach would usually only give one message and then it depends on what's happening next. So this part, this system was missing kind of really this line. So I think, yeah, so probably the supervisor would need to be told, hey, if, or some condition to make it so that the coach can have a conversation with the user, a back and forth.

10:02 - Jorge Lewis Where's the data collector here?

10:07 - Jorge Lewis I remember, the data collector is the supervisor.

10:19 - Jorge Lewis The problem is just the user can't have a conversation with the coach. You'll have a conversation with the supervisor, which depending on how we determine the roles could work, but...

10:30 - Jorge Lewis Could you name the supervisor collector?

