Hasnain / Jorge - Pair Programming 
Mon, Aug 5, 2024

3:12 - Hasnain sayyed you Hello.

3:36 - Hasnain sayyed Yes, let's start then.

3:46 - Unidentified Speaker You are on mute, I think.

3:50 - Unidentified Speaker Yes, I am.

3:52 - Jorge Lewis Yeah, so let's start.

3:56 - Jorge Lewis you're leading most of this and I'll kind of be chiming in here and there. Yeah, how does that sound? And I'll kind of, if I see you kind of going down the right path in terms of what we want to get done, I'll just let you know.

4:10 - Unidentified Speaker Fine, fine.

4:12 - Hasnain sayyed So first of all, to designing a graph, the most important thing is the working flow. We have to get it in our mind. We have to understand each agent's responsibilities. And we have to track the users, when the role of the users will come, and which agent will speak first, or which agent comes first. At that time. So while reading to the doc, it is mentioned like the flow for the this approach will be linearly for each agent. Like in every example, the flow has been same.

4:52 - Hasnain sayyed While the questions are also replicating the same, like yeah, it will change as per the user, you know, the questions and answers to that particular set. But yeah, we have to do some few short learning for that. So I think the most important thing right now is to design the flow for the graph and the approach that we will be using to design this project.

5:24 - Hasnain sayyed So yeah.

5:29 - Jorge Lewis Can we go over the documents at a high level? The ones that I think are most important are the developer one, which I think is number 6.

5:49 - Jorge Lewis is the most important for us. But I think for the agents, he puts so much content, like it's very comprehensive. So I think we'll be very like, we don't have to ask him a lot of questions. And I think like optimizing the performance of these agents will be really easy because he gives us so much content. Like I could select all and copy this and put in a prompt and the agents I think could do pretty well. Yeah, right.

6:14 - Jorge Lewis I've been looking at, so you've gone through all of them, right? Yeah.

6:21 - Jorge Lewis Okay, so I've gone through the simple...

6:25 - Hasnain sayyed Mostly, I have gone through the important parts which, you know, developers need. Yeah, surely I have gone through everything, but the key points I've also, you know, noted down to my docs. So that seems to be important for developer perspective.

6:42 - Jorge Lewis Yeah, for me, I haven't gone through the number five, which is the interaction between the agents. I skimmed over the number five, but... Haven't gone deep into it. So you're telling me that in that, that's, that's when you were referring to when you said the examples are pretty, like very similar, like the flow is very similar across all users. Yeah. Right.

7:02 - Hasnain sayyed That's the most important, uh, you know, doc for designing the graph, uh, because, uh, we have to track the behavior for each agent. Uh, and you know, when the, their turn is coming.

7:16 - Unidentified Speaker Yeah.

