Meet Meeting 
Wed, Aug 28, 2024

0:03 - Cuan Mulligan ice bath. So yeah, I'm into the place.

0:07 - Will Vincent Parrone I heard ice baths are good for concentration. I'd love to have those too.

0:12 - Cuan Mulligan Yeah, they're full on, but they're good.

0:17 - Will Vincent Parrone Okay. So basically, my goals here for this meeting is to understand the whys and the whats of the LMS. Sure. So that I can work with it properly. Do you have any other agendas we could add in?

0:37 - Cuan Mulligan No. I think let's keep it to that. I think that's a good one.

0:41 - Will Vincent Parrone Okay. So the way I envision it is that I'm going to show a presentation of the specs including the including the LMS part, and then I'll explain it, how I interpreted it on my end. You interject and tell me whether I got it right or I got it wrong, and then we basically end it with me asking you further questions.

1:11 - Unidentified Speaker Sure.

1:13 - Will Vincent Parrone Okay. Sounds good. Let me share my screen then. Entire screen.

1:27 - Will Vincent Parrone Can you see my screen now?

1:29 - Cuan Mulligan I can, yeah.

1:31 - Will Vincent Parrone Okay.

1:35 - Will Vincent Parrone Can you now see my screen?

1:41 - Will Vincent Parrone Yep. Okay. Let me just find the LMS.

1:51 - Will Vincent Parrone Oh, you're already here. Nevermind then. Okay. So, Primarily, the way I understood it is that our management system is... Sorry. Okay, okay. Let me know when you're ready.

2:11 - Cuan Mulligan I don't think they're charging. They're flush. Now they're charging. So they're not going to work. No worries.

2:35 - Will Vincent Parrone Ok.

2:38 - Cuan Mulligan Okay, so let's go.

2:40 - Will Vincent Parrone Okay. So let's begin. In RLMS, it is comprised of several programs, each with its own duration. Like for example, a mindfulness program starting from August 28 up until September 20.

2:59 - Cuan Mulligan I'm going to connect to these. Hold on.

3:03 - Will Vincent Parrone Okay.

3:08 - Cuan Mulligan I just need to change the audio over. Hold on a second.

3:26 - Will Vincent Parrone Hey, can you hear me now? Yes. Weirdly enough, clearer.

3:31 - Cuan Mulligan Yeah, I'm OK. I'm on my headset now, so this is much easier. OK.

3:36 - Will Vincent Parrone Do you want me to restart again?

3:39 - Cuan Mulligan Would it be useful if I gave you the overview?

3:42 - Will Vincent Parrone Actually, even better. Yeah, you give me the overview, and then I ask you questions. I'll just follow you right now.

3:50 - Cuan Mulligan So the point of this is to fundamentally provide content on a daily basis to users over a set period of time.

4:06 - Cuan Mulligan That's basically it. So with that, we can create a program. A program has a start and an end date. A program could have a fixed start date. So let's say we might do a program that has an intake three times a year. So we are running the program three times a year. Or alternatively, it's a static program where if you sign up today, you can start this program. It's your program. You started on Monday.

4:36 - Will Vincent Parrone Okay. Do the users sign in multiple programs?

4:40 - Cuan Mulligan Um, that's a very good question. Yes, because we would have the basic program and we could have an advanced program and a very advanced program and level three, level four, level five, level six. So you can have multiple programs over time. Um, we would have, that's a, that's a good point actually. Um, Let's take this and add it in here. Challenges program also has progression of a one, two, three, four, something like that.

5:26 - Cuan Mulligan But I think you can only do one at a time.

5:29 - Will Vincent Parrone One at a time, at least for our prototype, for the time being. Got it.

5:37 - Cuan Mulligan Yeah. So a program has duration and calendar. Those challenges I'll come back to. I don't know if that's the right place for them. So they can start, that's not the right thing. So they can start at set dates by adapt or, We have a user-driven start, something like that. So does that make sense around the program element?

6:17 - Will Vincent Parrone Yes, I can understand still.

6:19 - Unidentified Speaker OK.

6:23 - Cuan Mulligan Then again, this is an optional sentence. This is optional in that it doesn't have to be mandatory in every program. Um, so in the first eight week program, right, this is all about habit formation. So we will probably have a theme for the week. So week one might be all about habit formation. It doesn't actually really mean anything. Like it doesn't make, there's no rules that the LMS needs to implement because of this. It's just a, it's, it allows the agents to understand where they are in the overall program, what the theme of the week is.

7:04 - Will Vincent Parrone Okay.

7:05 - Cuan Mulligan So it's a grouping construct, that's all it is.

7:10 - Cuan Mulligan A week may have an event, like a live event scheduled, but we will run that event outside the LMS, but we might just be able to talk about it. Like, if someone was looking at the calendar, they would see that there is an event, but the event isn't, we're not asking for the LMS to orchestrate that event, if that makes sense.

7:31 - Will Vincent Parrone Okay.

7:34 - Cuan Mulligan A question for you. If I, as the admin person, want to send everybody a message, like, hey guys, sorry, we're gonna have to shut the service down for Sunday to do a release, something like that, and that message was to go out to everybody's chat, would that be something in the LMS or would that be something in admin?

7:55 - Will Vincent Parrone I think that can be something in admins. Do you want some kind of a notification?

8:03 - Cuan Mulligan Yeah, from the owners, from the founders, the message from us.

8:11 - Cuan Mulligan That's something in admin.

8:14 - Will Vincent Parrone Okay. Can you let me know what's the end goal of this? Why is there an assumption that it is in the LMS, like the notification?

8:24 - Cuan Mulligan I'm asking you if it's in the LMS. I wasn't saying it was. I was asking the question, should it be?

8:31 - Will Vincent Parrone Okay, okay. Misunderstood it. Thank you for clarification. Yeah, but that sounds like an admin thing.

8:57 - Cuan Mulligan Let's put that there for now, okay.

9:02 - Cuan Mulligan So we're clear for now?

9:05 - Will Vincent Parrone Okay, yeah. So we basically just went through weekly themes.

9:11 - Will Vincent Parrone With regards to weekly themes, the question I'd like to ask is when does a week start? Is it up for the admin to decide or is it like we have a set start of always Sunday or something like that?

9:30 - Cuan Mulligan I think that's something that needs to be set in the admin panel for a program.

9:35 - Will Vincent Parrone OK.

9:39 - Will Vincent Parrone So a weekly team will also have its duration, got it.

9:44 - Cuan Mulligan Start day under program.

9:48 - Cuan Mulligan Most likely, certainly for the first 8B program, it's a Monday to Sunday cadence.

9:54 - Unidentified Speaker Mhm.

10:02 - Cuan Mulligan Um.

10:07 - Cuan Mulligan I understand what we have to do here. It's annoying that comments don't go with the boxes.

