Meet Meeting 
Mon, Aug 19, 2024

0:00 - Jorge Lewis Oh, I see. Place.

0:01 - Jonas Lindberg Oh, yeah. They have the most per capita, right? But Texas probably has the most. I don't know. Or China. Wait, no. China is in the state. But yeah. Never mind.

0:15 - Jonas Lindberg Between.

0:15 - Jonas Lindberg Did you say China is a continent?

0:21 - Jorge Lewis They're right. Actually, their economy is starting to, they have deflation right now.

0:28 - Jonas Lindberg Wow. Didn't Japan have like mandatory deflation for like a while?

0:34 - Jorge Lewis Yeah, Japan had a big... I think it's still a big issue. Their population is decreasing. Like, how does that happen? That's just...

0:45 - Jonas Lindberg I mean, do you want the explanation? Because I haven't...

0:48 - Jorge Lewis I know the explanation, but it's just like... Do they just watch? Do they make plans for 10 years and then just watch it and don't change?

0:59 - Jonas Lindberg Like, all the politicians, because it's an age of population, all the old people are voting for the people that give old people benefits, and the young people are getting fucked, so they can't get, like, they aren't in a financial

1:14 - Jorge Lewis position to get children. But I mean, like, do they not see that? Like, we're talking about, like, probably at least 100 people plus working on this, on, like, these things.

1:28 - Jonas Lindberg I mean, they aren't getting the votes.

1:31 - Jorge Lewis Interesting. New York City is the highest with the Bay Area, Tokyo, Singapore, London, Los Angeles. Millionaires total.

1:43 - Jorge Lewis Wow.

1:43 - Unidentified Speaker Okay.

1:46 - Jorge Lewis How's Texas not here? I don't know. My mom was like, Oh, Texas is the most millionaires.

1:53 - Jonas Lindberg Yeah. I finally got the motorbike and it's the exact motorbike I've been looking at getting for like two weeks now. So that's nice.

2:05 - Jorge Lewis We haven't checked up on the wise has been sent, but I don't know if you've, I don't know what that is looking like,

2:13 - Jonas Lindberg It's arriving tomorrow, right?

2:15 - Jorge Lewis Um, Tuesday.

2:18 - Jonas Lindberg Oh, okay. Tuesday.

2:19 - Unidentified Speaker Yeah.

2:20 - Jonas Lindberg I mean, yeah, just, uh, it's fine for now. They're the latest internationally.

2:27 - Jorge Lewis Three Texas cities have the most millionaire billionaires among the U.S.

2:32 - Jonas Lindberg cities. On the way back, I had to follow the car which the other guy was driving, and going 90 down the freeway on my first drive was not what I had planned. But the thing is, my phone was in his car, so I didn't have my phone. So I just had to book it after him. Because otherwise, I had no shot of getting home.

3:00 - Jorge Lewis I'd have to somehow find a corner and ask for help. Was it between Central Festival and Maja, or...?

3:07 - Jonas Lindberg It was going from, like, slightly into Old Town to southeast, like way southeast. Oh, okay. Across the bridge and through a bunch of turns and everything. And on the highway, as noted by the 90K. Yeah.

3:27 - Jonas Lindberg That was up in the highest gear and all the way pulled back.

3:33 - Jorge Lewis Does it have a gearbox, at least?

3:35 - Jonas Lindberg Oh yeah, it's a manual. Or, well, it's semi-auto, so no clutch, but gearing and everything.

3:43 - Jorge Lewis Those ones without gearboxes just...

3:46 - Jonas Lindberg Oh, no, it doesn't have a gearbox. I'm just... That's shifting.

3:51 - Jorge Lewis But like, how do the... No, but like...

3:54 - Jorge Lewis How do they make a stone comfortable? Like, surely... The bolt drivers, you mean?

3:58 - Jonas Lindberg They're just shit. Like, they're actual garbage. Like, when I went to the course, they didn't have enough automatics. And I was the last guy in queue, so they just gave me a semi-auto. And I was like, yeah, I wanted to learn this anyway.

4:14 - Jorge Lewis When you're driving, you don't feel the... Like, when I was driving the car, when I was learning how to drive the car, like, if I'd make a sharp turn, you don't feel it when you're driving. Because you've got your hands, like, on the wheel and it's just like, you're in the way of the turn. But, like, when you're in the back seat, everyone's like...

4:33 - Jonas Lindberg Yeah, but the gear shifting, like, the first was like... Especially when I shifted down, I didn't... It had no gearbox, so the RPM just got translated over and it just... Yeah. It didn't go faster, it just kicked at the same speed. And then I slowly but surely learned how to switch gears with it being better.

5:03 - Jonas Lindberg You're muted, I think.

5:10 - Jonas Lindberg Are you talking to the others?

5:26 - Jonas Lindberg Hello?

5:38 - Jonas Lindberg No audio. Can you hear me?

5:40 - Jonas Lindberg Hello, hello?

5:41 - Jonas Lindberg Hello, hello? Yeah, now I can hear you. You just cut out, and then I saw you just...

5:48 - Jonas Lindberg I was trying to...

5:52 - Jorge Lewis For the Ferraris and the Lamborghinis, the gearshifts, they just press a button and it just looks cool.

6:01 - Jonas Lindberg I've gotten pretty good at getting the smoothest of gearshifts now though. It's interesting.

6:11 - Jonas Lindberg Especially shifting down in here. I have to do the perfect braking before shifting.

6:18 - Jorge Lewis it just reminds me of like like it just I don't know it's just so fun for me like all that stuff like doing like lamborghini uh stops and just like or not limousines um breaks and stuff like that or stops or whatever yeah um yeah one thing before we go into the topic is So for some, so like we have the mindset of the longterm with some of these guys, like investing into them, but like, since we're so inexperienced with hiring people and kind of their culture in general, and we didn't go to the university ourselves. So it's like pretty, and we just, we're too young as well. We haven't met enough people their age to kind of understand. Okay, do they have the potential? Like for Chinmay, for example, I can see he has good potential. But for someone like Cas9, like for example, the Primogen, what's his real name? I never said it, never.

7:30 - Jonas Lindberg But it's out there.

7:37 - Jorge Lewis But anyways, that guy, like no one probably thought he was going to be like, oh, the greatest of greats.

