Meet Meeting 
Thu, Jul 11, 2024

0:18 - Unidentified Speaker We're up.

2:52 - Unidentified Speaker Yeah, how are you?

2:54 - Will Vincent Parrone Good morning, I'm doing good, how are you?

2:58 - Will Vincent Parrone Hey, can you hear me?

3:01 - Will Vincent Parrone Yep, loud and clear, how about me?

3:03 - Eksno Yeah, I can hear you, loud and clear too. You're in Makati, right?

3:11 - Will Vincent Parrone Yep, I'm in Makati right now. Yeah, nice.

3:14 - Eksno I know a little bit of Tagalog, just a bit, I'm counting.

3:22 - Will Vincent Parrone That'S nice.

3:28 - Eksno Do you have access to the repository? Do you have access to the repository? Not yet. Not yet? Let me get you out. Could you send me your username?

3:49 - Will Vincent Parrone Your GitHub username?

3:54 - Will Vincent Parrone This is my GitHub username and the message threads in the call.

4:06 - Will Vincent Parrone If you want, here's my email address.

4:08 - Unidentified Speaker Perfect.

4:10 - Will Vincent Parrone Thank you.

4:20 - Eksno Okay, I have invited you. It's a pending response.

4:26 - Will Vincent Parrone Okay, I'll accept it right now. $15, right? Yeah, $15. Just to... Okay.

4:42 - Will Vincent Parrone How long have you been working in Solana?

4:47 - Will Vincent Parrone I guess around one and a half year already. About one to one and a half years.

4:53 - Eksno That's like basically around when it's released, right? Oh, yeah.

5:01 - Will Vincent Parrone I was I was playing with it when it launched, yeah. At least a few months after it launched. Because I remember I was a Vue fan back then before I fully converted myself to Svelte.

5:20 - Will Vincent Parrone Which style?

5:21 - Unidentified Speaker Vue.

5:26 - Will Vincent Parrone Vue and Nuxt.

5:27 - Will Vincent Parrone Nice. Yeah.

5:28 - Unidentified Speaker Uh, yeah.

5:33 - Eksno Yeah, I can probably introduce myself. I'm Jonas Lindberg, I have been working with George Lewis as co-founder and acting CTO of the company currently. So yeah, I've been coding since I was in 9th grade, got like a trade school for software engineering and I went on to work with a bunch of European oil and gas industry applications after that, including some banking applications and such. Then afterwards, I've been collaborating together with George Lewis since like 2016, I think.

6:17 - Eksno And we've just been having weird projects after projects. We started with a weird hobby, ant collecting or ant keeping, where we wanted to try to produce nests on those. That didn't work out too well. Then we tried game design. Eventually, we found out, OK, let's make some money and started a consultancy. And yeah, now we've got some clients on our working way.

6:51 - Will Vincent Parrone That's nice. I guess for me, I don't have that much of a portfolio compared to yours. I just started when, I guess in 2019. I did some HTML back in high school, but those were like the MySpace days. Remember those? Forgot. 2019,

