Meet Meeting 
Sat, Jul 20, 2024

0:01 - Unidentified Speaker but it smells really bad. Okay. Right.

0:16 - Cuan Mulligan So, thing is, most people, right, are living their life eating, making loads of decisions that eventually their system sort of breaks.

0:46 - Cuan Mulligan And it's not like one cigarette doesn't harm you, but smoking for your life does.

0:56 - Cuan Mulligan We also know, for example, when you hit 75, wherever you are on your muscle mass, nature falls that off a cliff.

1:16 - Cuan Mulligan You can't stop that. But what you can do is choose what level of muscle you have on your body when you are 75. As men, Most men in the world retire at 66.

1:39 - Cuan Mulligan What do you think the age is that they die or have a serious medical event that changes their ability to enjoy life?

1:52 - Jonas Lindberg Personally, I've always heard the figure like 80.

1:55 - Cuan Mulligan The data for America says 70.

2:01 - Cuan Mulligan Wow.

2:02 - Cuan Mulligan So we, we get, we get four years after breaking our balls for 45, 50 years working. Um, but you can change that. Um, the other thing is most people as women, how long do women tend to live after their husbands? Most, most men die way before their wives.

2:30 - Jonas Lindberg I don't know.

2:32 - Cuan Mulligan So women tend to live 15 years longer than men.

2:41 - Cuan Mulligan And if you go to a lot of places, certainly in Northern Europe, um, there's a lot of old women. There isn't a lot of old men, just, just the way, the way it is. That's not true in Japan and stuff like that, but in Europe that is. There's a lot of stuff contributing to all of this, which is people's sort of lack of exercise. The food we eat is probably the two biggest ones.

3:17 - Cuan Mulligan But there's lots of stuff that we can do. And what we're trying to do with the whole purpose of ADAPT is to start people changing their habits so they get that red line. And in theory, they're going to get healthier. So do you guys know the concept of a pension?

3:46 - Cuan Mulligan Yeah. Financially?

3:48 - Cuan Mulligan Yeah. A financial pension.

3:50 - Will Vincent Parrone Yeah. Basically you give money to an entity so that once you retire, you get an allowance, right?

3:59 - Cuan Mulligan A hundred percent. And the younger you start, the better it is for you because it's compound interest over time. I really wish I paid attention more to that when I was younger, but, um, you don't realize that when you're young, you only realize it when you're old. Um, and it's the same for health. So the whole principle of adapt is it's a health pension.

4:27 - Cuan Mulligan People don't realize that once you retire, whenever that retirement event is, 66, whatever it is, but you just have age. So you have your 50s, you have your 60s, you have your 70s, you have your 80s.

4:45 - Cuan Mulligan There's stuff that we need to do all the way here because nature will start withdrawing for you. Your lifestyle will start withdrawing for you as you get older. So while we retire and we have a set age financially, let's say we retire at 65 or 66, the health pension is all the time. So nature is withdrawing from you. And you're accelerating that withdrawal if you have a shit lifestyle and eating shit food and not exercising. And so we sort of have refined the ADAPT message a little bit over the last week. We were speaking to an investor last week and he gave us some feedback and it's made us really think about like, what are we? So we're definitely not a weight loss program, even though you would lose weight. I mean, Interestingly, just looking at the call here, nobody on this call needs to lose weight. Everyone's pretty healthy, which is good.

5:53 - Cuan Mulligan So I just want to pause there. Does that sort of make sense that the whole purpose of ADAPT, and it's this concept of paying into a health pension, and that's what we're trying to help people do?

6:01 - Jonas Lindberg Yeah, absolutely for me. Anyone else that's confused on that theme?

6:13 - Unidentified Speaker Okay.

6:18 - Cuan Mulligan Originally, what we had planned was, we had planned this course 10 to reinforce, to predominantly What are you eating, moving, sleep, mind? So there's four areas that you need to do stuff in, in order to, you know, start changing your life.

6:59 - Cuan Mulligan And one of the challenges is that, so I signed up before I started ADAPT, I signed up with this guy who helps people reverse something what's called pre-diabetes. Um, and, I had basically achieved in a month what most people take a year to do with him, just because I made a decision and I stuck to it. Most people don't have that diligence. They will do a bit and they do it for a day and I'm like, oh, whatever. So his program's not been very much useful to me because I've done everything. He just says, do this and I've done it. And I don't deviate from that where most people would. So originally where we said, right, eat, move, sleep, mind, And our original market we were going to go after was weight loss, but not being a weight loss program. A lot of weight loss programs, what the data says is that if you're this weight here and you come down to this weight here within a year, 95% of the people will have put on the same weight or more within a year.

