Meet Meeting 
Thu, May 23, 2024

0:19 - Jorge Lewis Dude, you should. You can pop on by.

0:22 - Jorge Lewis Oh, yeah.

0:23 - Jorge Lewis Hopefully, by the time the app's live, we can just deliver it in person, you and I. Definitely. That'd be better.

0:54 - Jorge Lewis Okay, I will share my screen. Can you guys see it?

1:15 - Nazif Barassounon Yes, sir.

1:17 - Nazif Barassounon Okay, so this is a login page where I will login as the admin of a particular organization.

1:27 - Jorge Lewis I'm going to take a little credit for that picture that's there of the oak trees.

1:40 - Jared Cairns Oh, cool. Yeah, smart.

1:43 - Nazif Barassounon So after logging in, we are redirected to the actual app where the admin can manage the organization data. That is the vendors, the departments, the accounts, projects, and spending category. And the admin can also add, all of the employees and boss of the organization, as you can see here.

2:18 - Nazif Barassounon That table show them all and you can filter the table by the names, as if for example, or by the role.

2:35 - Nazif Barassounon You can also add a new user.

2:41 - Nazif Barassounon Let's see.

2:46 - Nazif Barassounon I'm gonna...

2:51 - Nazif Barassounon Can you propose, I don't know, can you propose a username? Maybe yours?

2:59 - Jared Cairns Yeah, please man.

3:00 - Nazif Barassounon Yeah, there you go.

3:01 - Unidentified Speaker Okay.

3:02 - Nazif Barassounon And for the email?

3:06 - Jared Cairns Would my real email cause any problems? Let me see if it'll go through. It's just karensjared1 at Gmail. Oh, yeah. It's how my last name is spelled. So it's C-A-I-R-N-S at the beginning.

3:54 - Nazif Barassounon yes and next I can give you some rule here here is the available rule from now employee admin and sign a user can be an admin and also be a signer that will allow the actual boss to manage the account if you want.

4:23 - Nazif Barassounon After that I can select a default department as you requested like molecular biology.

4:35 - Nazif Barassounon Given that the current user is I don't think we should assign to him a supervisor so we can let it as it is. I don't know what you think.

4:50 - Jared Cairns Yeah, sometimes there's people, yeah, if you have admin rights, that's kind of irrelevant if you have a supervisor for pretty much any use case, so I think that's okay. As long as it's okay to leave blank, I think that works.

5:02 - Jared Cairns I guess the one situation would be If this person is submitting a request, so I guess just put in. I guess in the situation this person be submitting a request, they should have a supervisor because their request should go to somebody. I mean, I feel like you would coach most people to just not do that, but in a small organization, sometimes those roles might overlap.

5:29 - Nazif Barassounon OK, so a signer can have another signer, for example, as a supervisor.

5:35 - Jared Cairns Yeah, that would probably be how it would work. Okay. And if I was like in the admin role, you could just, I mean, yeah, I guess you could have a signer to a signer. I don't think that would happen often, but it could.

5:51 - Nazif Barassounon Okay. So let's do that. I know that Sophia Davis is a signer, so I will assign to you.

6:03 - Nazif Barassounon so as a signer should we have an approval threshold too or the signer can just sign the contract that he had yeah so there should always be another level basically no matter what and I'm assuming that's what this is

6:22 - Jared Cairns it's approval threshold or that's if I received something on the second level or more. And then this would just be based off whatever my job title level would be. I would just put like 10,000 in there for now. Okay.

6:40 - Nazif Barassounon So let's submit it. You should get your credential through that email.

6:48 - Jared Cairns Okay, I have it open right now.

6:52 - Jorge Lewis Yeah, here we go. Got it.

6:57 - Nazif Barassounon So the thing is, I'm in the local version of the app.

7:09 - Nazif Barassounon Oh, yeah. No worries.

7:11 - Nazif Barassounon So you can just use the credentials in the live version.

7:16 - Jared Cairns Yeah, that's easy.

7:23 - Nazif Barassounon And of course, after confirming the email, there is actually a link for that.

7:34 - Jared Cairns Try to log in on the library. Oh, here we go.

7:47 - Jared Cairns Okay, yep, that login just worked, so I'm in now.

7:51 - Nazif Barassounon Okay, so in the contract page, you can see all of the contract. My actual user is only an admin, so we don't have the ability to add new contract for now. But you should have the possibility to do it. I can see it, yeah.

8:21 - Nazif Barassounon So at the right, the top right, you can just pop up to the form and add the contract.

8:32 - Nazif Barassounon Yeah, you want me to add one right now?

8:56 - Jared Cairns There we go, that's the kind of bullshit I can catch.

9:20 - Jared Cairns Okay, it's just making me attach something. Let me just save something down.

9:34 - Unidentified Speaker Peace.

10:11 - Jared Cairns me to attach a PDF and I'm just trying to save like a blank.

10:20 - Jorge Lewis Oh, I see what I'm doing wrong.

10:56 - Jared Cairns Okay, I just submitted it now.

10:59 - Unidentified Speaker Okay.

11:03 - Nazif Barassounon It should appear in the list of contract. So at the beginning, we assigned to your account a supervisor called Sophia. So I will just log in as Sophia and see if I can just approve it.

11:45 - Nazif Barassounon of that after so now I'm logged in as Sophia and as you can see there is a toggle here when you can see all the pending approvals when you toggle it I can see your contract here so let's view it I can take a look at your contract here it is if all is good and done I can just sign it because I'm actually a signer so you are it doesn't need to go through many people because I'm a signer so I can just sign it directly The contract is signed you should be able to See it if you refresh the page. Yeah, and that's active for me Okay So you can also check out your email. I think there is a notification when The contract is approved or signed.

13:17 - Nazif Barassounon Oh Yeah, I got it, okay cool, okay OK, so the other use case I want to show you is when you have an employee that is under you and he adds a new contract, you should get also a notification by email saying that you have a new contract to be waiting for approval. Do you want to see the flow?

13:55 - Jared Cairns No, I think it makes sense. I would just see it with me submitting. Do you have an account that shows that same thing? Because I just submitted one to whoever Sophia's email would be. But I'm not too concerned about that. I mean, it seems like it makes sense.

14:16 - Nazif Barassounon Okay. So...

14:23 - Nazif Barassounon Let me login as a admin again.

14:44 - Jorge Lewis Those are some nice oak trees.

14:46 - Unidentified Speaker So this is basically it.

15:13 - Nazif Barassounon In the demo I just made, it was just one user. For the contract approval flow, it was between two users.

15:29 - Nazif Barassounon I was able to sign because I was granted the signer roles. If it was actually just an employee, An email will be sent to each supervisor.

15:49 - Nazif Barassounon And if this supervisor is also an employee, it will just send an email to each supervisor, so on, until it reach and sign. This can just sign and the approval form is completed that way. I don't know if that makes sense.

16:13 - Jared Cairns Yeah, so it basically is following up through whoever your approver or your supervisor is assigned until it reaches somebody who's a signer. And they're basically set up now. Yes. And is there anything? So what is this approval threshold feed off of right now?

16:29 - Nazif Barassounon Is this? Yeah.

16:31 - Nazif Barassounon Is this functional right now?

16:34 - Nazif Barassounon No, no, it's not functional right now. But I think the logic behind it should be kind of, let's say if at the beginning, the contract is set to $10,000 the current approver have a threshold of $6,000 I can have it subtracted to the amount and it will be left another $6,000 right and if the next approver have let's say a threshold of $10,000 and it's only left $5,000, I think we should sign directly the contract without moving it to the next approver, right?

