10 Minute Preliminary Interview between Jorge Lewis and Will Vincent L. Parrone 
Thu, Jun 27, 2024

1:35 - Jorge Lewis Hello. Can you hear me?

1:38 - Jorge Lewis Yes, I can.

1:39 - Jorge Lewis How are you doing, Mo? I'm doing well so far.

1:42 - Jorge Lewis How are you?

1:43 - Jorge Lewis I'm doing great, yeah. Good. Having lunch? I think you're in the Philippines? Yep.

1:51 - Jorge Lewis What time is it for you right now? It's 5 p.m.

1:54 - Will Vincent Parrone Oh, it's close to dinner, actually.

1:56 - Unidentified Speaker Nice.

1:59 - Jorge Lewis I'm in Thailand currently.

2:00 - Jorge Lewis 4pm for me.

2:04 - Unidentified Speaker Okay, I see.

2:05 - Will Vincent Parrone Where in the Philippines are you? I'm currently in Makati, the business district.

2:11 - Unidentified Speaker Okay.

2:12 - Jorge Lewis Nice, nice.

2:14 - Unidentified Speaker Cool.

2:14 - Jorge Lewis Yeah, so just a little call to introduce ourselves. Get to know each other.

2:22 - Jorge Lewis So yeah, I guess I could start us off and then you can follow up.

2:29 - Jorge Lewis So my name is Jorge.

2:31 - Jorge Lewis I've been programming for about six years. I started with game dev, went into some competitive programming, then some machine learning and Python. And then now in the last year, I've done web dev.

2:47 - Jorge Lewis Last year, I started a consultancy, this consultancy with my co-founder Jonas. We started with just making simple websites, but we've pivoted into and kind of evolved into making MVPs and prototypes. But we've gotten a lot of traction for AI ones recently, but we just do all of the above for any startup or entrepreneur. So yeah, that's what we're looking for, someone to help us out with the SvelteKit part and to kind of just help us develop the apps.

3:19 - Unidentified Speaker Okay.

3:23 - Will Vincent Parrone Anything else or should I speak, should I introduce myself now? Yeah, go ahead.

3:29 - Will Vincent Parrone Okay.

3:29 - Will Vincent Parrone So yeah, for my part, hi. I have been a Svelte user for about a year now. I have been an active member in the Svelte Philippines community. I'm also a bit knowledgeable in Python, AI, and a lot of the backend stuff. And I guess I dabbled a bit on project management. So you can actually say that I'm a bit of a generalist in terms of web tech. I know a lot about anything, but not necessarily an expert, except on Svelte. I think I can say that I'm knowledgeable enough in that field.

4:16 - Jorge Lewis Are you in school right now? Or are you graduated? I'm currently...

4:21 - Will Vincent Parrone I don't have any commitments education-wise. I'm looking for work. Okay, cool.

4:29 - Jorge Lewis Are you... So for us, we're looking for someone to work with long-term. We want to really build a team. We want to build a team that everyone's comfortable working with each other, build a long-term relationship. I feel like that way, if everyone enjoys working with each other, and everyone knows each other, then it makes working a lot easier and a lot more enjoyable. Are you only open for short-term or is long-term something you're more interested in?

5:02 - Will Vincent Parrone I'm looking forward with a long-term kind of role too. Assuming the company is great and all. Yeah. I think it's a good fit. Yeah, of course.

5:13 - Jorge Lewis Ooh. Yeah, so I can give you some background regarding our team currently. So it's me and my co-founder Jonas. We were both programmers, but I've taken on a business role recently. And he's taken more of a high level kind of design and everything. And then we have two developers. One is a Python developer who is helping us build the APIs. And the other one is a SvelteKit developer as well. He's, I think, I think he's a SvelteKit expert, I would say. He only does SvelteKit. So yeah, that's our team. We're currently hiring for a two, or I think probably two LangChain developers. So are you familiar with LangChain?

5:58 - Will Vincent Parrone I'm not, can you tell me more about it?

6:01 - Jorge Lewis Yeah, LangChain is a, it's a framework for building like AI applications, pretty much, LLM applications. Oh, okay.

6:10 - Will Vincent Parrone That's, okay. Yes, pretty much just AI developers.

6:14 - Jorge Lewis So we're looking for two of those right now. So with the Svelket developer that we're also trying to hire, we'll have a team of about seven. So almost double.

6:27 - Jorge Lewis So yeah, the company is located, it's based in Hong Kong, but the whole team is remote.

6:33 - Will Vincent Parrone Okay, that's nice. Within the same time zone, I presume. Or less.

6:42 - Unidentified Speaker Everywhere.

