10 Minute Preliminary Interview between Jorge Lewis and Hasnain Sayyed 
Sun, Jul 7, 2024

0:01 - Jorge Lewis Tuesday, so busy week.

0:05 - Jorge Lewis Nice, nice.

0:06 - Jorge Lewis Yeah, what about you?

0:08 - Hasnain sayyed Yeah, I'm doing good. It was a rainy day at my side, so yeah.

0:14 - Jorge Lewis Are you in Pakistan?

0:16 - Jorge Lewis No, no, I'm from India.

0:18 - Jorge Lewis Okay, in Pakistan, it's raining really hard right now.

0:21 - Hasnain sayyed Yeah, yeah. In India, basically, Mumbai is the main attraction of rain.

0:27 - Jorge Lewis Yeah, it sucks. Does it affect the Wi-Fi and the power often?

0:33 - Hasnain sayyed No, no. It's a city area, so it's not been affected much.

0:40 - Jorge Lewis Yeah, so just a quick little call to introduce each other. I know we kind of gave introductions through the interview, but just a one-on-one in person or real-time one, so we can kind of get to feel each other out. Yeah, sure.

0:59 - Jorge Lewis Yeah, so I can start us off just real quick. Once again, my name is Jorge. I'm the CEO of Sartino. We started about a year ago. I myself have about six years of experience programming. We started with making very simple business websites, but transitioned into MVPs and prototypes a couple months ago. So recently we've gained a lot of traction for the AI specific ones and luckily for us, that's something we're That's something we really like to do. We really like making innovative things with things like Lionchain, so that's something we're kind of niching down towards.

1:36 - Jorge Lewis Where we look to go is just continue doing AI projects, looking to take on more clients. That's it.

1:46 - Hasnain sayyed Yeah, great.

1:48 - Jorge Lewis Do you want to just say a little something?

1:55 - Hasnain sayyed Yeah, yeah, sure. So, hi there. My name is Hasnain. Talking about my education, I have completed my Bachelor's in Information Technology. And apart from my studies, I have a key interest in participating in hackathons to solve the real-world problems. And talking about my experience, I have completed two internships. So, the first was with AWS Innovate, where I was working under a project called CodeMate, which is a VS Code extension. So I was working under Lanchain Technology and integrating a vector database as a RAG model. And the second internship was with Mericor, which is a US-based startup. So it was a quite long internship of six months where I was building S2S shoes, which is a sneakers e-commerce platform. Yeah.

2:50 - Unidentified Speaker Cool.

2:50 - Jorge Lewis What do you like to do in your free time?

2:54 - Hasnain sayyed Yeah, actually in the free time I like to upgrade my skill set and read books on medium or daily.dev. I like to explore new things in the technology domain. Nice, nice.

3:07 - Jorge Lewis Do you play any sports? Do you play any video games? Anything?

3:14 - Hasnain sayyed Yeah, yeah. I'm a very great fan of cricket. I like to play cricket in my free time.

