Meet Meeting 
Thu, Jun 27, 2024

0:52 - Unidentified Speaker Hello?

0:55 - Chinmay Pandya Hey man. Hey, how are you? I'm fine, how are you?

1:00 - Jorge Lewis Great, doing great.

1:02 - Jorge Lewis Would it be possible to turn on your camera? It's a lot more human. Yeah, just wait a second.

1:08 - Jorge Lewis No worries, man. Thanks, appreciate it.

2:28 - Unidentified Speaker Can you see me?

2:31 - Jorge Lewis Yep, yep. Cool, cool. Look, you're a handsome boy. Come on. All right. Yeah, I mean, it's good to see you now, and now I can actually see you, so it's a lot more better. It feels like I'm talking to someone. Yeah. It's really lonely in this room here, see? There's no one here, so it's nice to talk to someone. All right, cool. So yeah, so... Is that your office? Yeah, I mean, I'm at a co-working space. It's like people just come here to work.

3:01 - Jorge Lewis Since I'm traveling around, it's no point getting an office, but it's super nice here. It's very peaceful. I get to get a lot of work in, really focused, so it's nice. I've invited you to the GitHub project, the GitHub repo.

3:22 - Jorge Lewis So pretty much what's going on is, like I said in my message, is just that we have a project that we're working on, we're migrating it from Python to TypeScript.

3:33 - Jorge Lewis And I'm only familiar with the Python one. I've started the migration, I've imported, I know TypeScript, but I don't know SDK from BlankChain and TypeScript. And some of the concepts are quite different. So I'm struggling trying to do it on time, and also I figure this would be a great opportunity to see what you're able to do.

3:54 - Chinmay Pandya So can you guide me through the project?

4:03 - Jorge Lewis Just so you know as well, there are two other developers doing the same thing. So we're able to hire all three if you guys are all able to do a great job and we like how we work together. Otherwise, we'll consider it at another time.

4:21 - Jorge Lewis Yeah, for compensation, I still have to decide with Jonas. But I'm thinking I want to be respectful of your guys' time. Although it's kind of a mix between like a technical interview and like a test, I still want to respect your guys' time. So I'll let you know later today if that's okay with you, how we can deal with that.

4:41 - Unidentified Speaker Yeah.

4:44 - Jorge Lewis So for the project, so this is a client's project that we started five weeks ago. It's a chatbot to help Well, there's two aspects. There's the chatbot, and then there's an LMS, Learning Management System, for delivering a course to the user.

5:02 - Jorge Lewis We first started, the tech stack is in SvelteKit. It was with Python using FastAPI as an API, but now we've migrated it to all be within SvelteKit under the same project. I've migrated all the code, but now I just need to connect it up and make it work. So all the, kind of the template is there. But just it's not working. So the main thing of the app, what I've understood, so there's a couple of main things. So first of all, the chatbot has to be able to onboard the user. So this one's kind of simple. Just ask the user, hey, what's your name? How old are you? Male or female? What's your weights? All these simple onboarding. And then the main thing in terms of daily use for the chatbot is going to be doing a check-in. A check-in is where the bot's going to ask the user a bunch of questions regarding things like, how far have you walked or how much have you walked today? How many calories have you eaten? Did you sleep? How long did you sleep? These things, so helping with the health. And then provide coaching on it. So the flow is kind of like the chatbot will say, or the user might say, let's start a check-in. It's 7 p.m. The user says, the day's kind of wrapping up and they say they want to start a check-in. The bot will say, okay, cool, how many minutes did you walk today? The user will say, oh, let's say 30. And the bot will update the database for that. And then there will be a coach agent that says, all right, great job. But then there's also a data analyst agent that will kind of read all the data in the past and try to find patterns.

6:46 - Jorge Lewis find patterns and come to insights for the rest of the team. And then they'll provide some coaching, say how they can improve if they're doing a bad job. If things are doing well, then the coach will just, then the bot will ask for more info. Until they finish all the items, there's like a list of items. You can check it out on the super base in a second.

7:08 - Jorge Lewis Hopefully I haven't gone too specific yet.

7:12 - Jorge Lewis Let me show, Send me your discord by the way. Did you send me your discord already? No.

7:18 - Chinmay Pandya No, I didn't because I actually forgot my password. I had to post. Make a new account. Alright, no worries.

7:28 - Jorge Lewis Okay, so make a new account, send it to me. I'll invite you to a group chat and you can also meet my co-founder and the rest of the team.

7:34 - Chinmay Pandya Yeah, also, I apologize for any disturbance if there's any, because I'm at a new house. We recently shifted, so I do not actually have a room of my own. I do not have a desk. Don't worry, man. All good. All good.

7:47 - Jorge Lewis The mics, the quality's OK. Don't worry. Thank you.

7:55 - Jorge Lewis Yeah, so let me maybe get a screen share.

8:01 - Chinmay Pandya Have you migrated all the code from Python to TypeScript?

8:05 - Jorge Lewis Yeah, so the Python is no longer being used. The TypeScript is being used. We've connected it to the front end. So right now, as of right now, today, you can have a conversation with a chatbot, but it's the graph, the line graph, you're familiar with that graph, right? Yeah. Yeah, the line graph is just the router and then a researcher. It's just those two, just like a dummy graph, right? To get the thing set up. So the rest of the work is making it actually the graph that was made in Python. So I feel like it's just the line graph part. So we've connected it to the database, we've connected it to the front end, so all of that's done, but we just need to do the line graph part, which I'm struggling with. Specifically, in Python, the way tools were called was a little bit different. I was able to modify the state through a tool call, but now I'm not, so I have to kind of go a little bit of a different route. But I was hoping you could, you'd probably have more experience and maybe here and there you'll be able to decide on better designs than I did.

9:13 - Jorge Lewis Yeah, sure.

9:20 - Jorge Lewis Are you making the Github account now? I mean the Discord account now?

9:24 - Chinmay Pandya No, I've logged in actually.

9:28 - Chinmay Pandya Let me send you my username.

10:06 - Jorge Lewis All right, I'm gonna send you a friend request.

10:09 - Jorge Lewis Are you on Windows, by the way, or Linux or Mac? Yeah. I'm using windows.

10:19 - Chinmay Pandya So are you getting the error in your code itself or when you're running the application?

10:25 - Jorge Lewis So there's no error. So the problem that I have is just I wasn't able to reach the output. I wasn't able to reach the behavior I wanted.

10:39 - Jorge Lewis Yeah, once I invite you to the group chat, I can send you the kind of the behavior I was expecting.

10:45 - Jorge Lewis And I haven't gone through, because I started learning the LangChain TypeScript version just two days ago. So I've only had two days to learn it. But the deadline is next Wednesday for delivering the new migrated project.

11:03 - Chinmay Pandya Some of the concepts and the terms have changed when you migrate from Python to JavaScript.

11:08 - Jorge Lewis Yeah, and that's what bothered me because I told the clients, I looked at the, so I knew the Python SDK and I took a look at the documentation for the TypeScript one and I was like, oh, it's quite similar, same concepts. So I told the clients, yeah, we could be done. I told them yesterday. And then in the past few days, when I started learning like chain on TypeScript, things are so different behind the scenes, like under the hood, it's so different. So I was like, ah, well, shit, sorry, boss. We have to move it to next week. Um, but I'm so confused why it's so different because of, um, because it's the same project. Like, um, yeah, so.

11:49 - Chinmay Pandya Yeah, because Python has some libraries to support a kind of particular behavior. And also the lang chain is not fully effective unless you're using Node.js. There are some applications which will only run in a Node environment.

12:05 - Chinmay Pandya Oh, I didn't know that.

12:07 - Chinmay Pandya Yeah, I had once a project where I had to read from a file. It was a project. I had to create a resume scanner, an ATS scanner. Reading from files with JavaScript. There's no built-in support for reading files by language in JavaScript.

12:26 - Jorge Lewis There is in Python, but not in JavaScript. Yeah, I prefer like now that I've worked with both, I prefer the Python one. It's a lot more the Pythonic way feels better. But yeah, when we're now that we're doing a TypeScript, it's a lot more lean, like our team is for each project, we only like to have two developers. So we get rid of all the distance between the API and the front end. So now we just have one project. So one, both developers are able to work very tight. And there's no like, difference between the database schemas, and we don't have to wait for all those things, because we had a lot of issues with that. So we're going to be able to move a lot faster with TypeScript. Hopefully, that's the idea. I sent you a friend request. Did you get it?

13:16 - Unidentified Speaker Yes, I got it.

13:25 - Unidentified Speaker All right, let me invite you.

13:30 - Jorge Lewis So my co-founder Jonas, he's from Norway. He's been doing this. He's been programming for, we started around the same time, like six years ago.

13:40 - Jorge Lewis He's living in Chiang Mai right now. I'm just traveling around. So he's going to be in Thailand. Chiang Mai is in Thailand. So he's going to live in Thailand for maybe another eight months and then move to, I think, the Philippines.

13:57 - Chinmay Pandya Where do you live right now?

14:00 - Jorge Lewis Right now I live in Hong Kong but I've been traveling for the past three months and I'm not going to live in Hong Kong for a while. I'm going back to Hong Kong for like three days next week and then I'll be in the USA for a month and then Mexico for maybe a month and then maybe depends Japan or maybe in Europe.

14:29 - Chinmay Pandya So you move for the client projects?

14:32 - Jorge Lewis No, not specifically for the clients. Just more of, I love traveling. It's like going, like for me, a really nice work, work life is just, I come to work 10 hours and then for the other time, I just, I work out and then I travel around the city. It's really nice.

14:48 - Unidentified Speaker Yeah.

14:49 - Chinmay Pandya If only I could do that. Yeah, I mean, maybe, maybe.

14:53 - Jorge Lewis One of our team members, Nazif, he lives in Benin. We plan on him, if things continue to go well for the business, we plan on bringing him to Thailand and we'll have kind of an in-person office for a couple months. So if things go well between us as well, that's definitely an option. Is that something you're interested in or just, I mean, this is way in the future, but...

15:14 - Chinmay Pandya Sorry, your voice wasn't audible. Can you repeat what you said?

15:18 - Jorge Lewis Yeah, did you hear the first part about how we're planning to bring our other team member to Thailand or?

15:28 - Chinmay Pandya Wait a second, just excuse me for a second. No worries, no worries.

15:54 - Chinmay Pandya Yeah, sorry. This is actually my mom, she was trying to tell me something. All good, all good, don't worry man.

16:04 - Jorge Lewis When I'm back, if I go back home, you'll see a lot of that, just always my family were knocking.

16:10 - Unidentified Speaker Yeah.

16:15 - Jorge Lewis Alright, I sent you an invite, by the way, to the Discord.

16:18 - Chinmay Pandya Yeah, I joined the group.

16:21 - Unidentified Speaker Oh, okay.

16:23 - Jorge Lewis Didn't, uh... Huh, it's not updating. There we go. Alright, so I gave you the staff role. You should be able to see all of the chats. I'm gonna add you to a three-way chat between you, me, and Jonas. One second.

17:05 - Jorge Lewis All right. I'm going to change your nickname on Discord to your real name. Yeah.

17:14 - Chinmay Pandya I don't know why I sent that user. It was a long time ago.

17:17 - Jorge Lewis I mean, my one is, what's my one? My one is PoorHateGeorgia. It has my name. But, um... Oh, you're in the voice channel. All right, cool.

17:28 - Chinmay Pandya Can you hear my voice on Discord or from the Meet?

17:36 - Chinmay Pandya Sorry?

17:38 - Chinmay Pandya Are you speaking from Discord or from the Meet? The Meet, the Google Meet.

17:44 - Unidentified Speaker OK.

17:45 - Chinmay Pandya Should I mute in Discord?

