Meet Meeting 
Wed, May 29, 2024

1:01 - Cuan Mulligan Hello.

3:57 - Unidentified Speaker Can't hear you now.

4:48 - Unidentified Speaker you.

5:07 - Cuan Mulligan you Silence.

6:00 - Cuan Mulligan I tried to call them, but I couldn't get an answer.

6:39 - Unidentified Speaker Yeah.

7:30 - Unidentified Speaker Hello?

7:31 - Jorge Lewis Hey Matt, how are you?

7:33 - Cuan Mulligan Okay, now I can't hear you.

7:38 - Cuan Mulligan Let me confirm my... Okay, are you there?

7:44 - Jorge Lewis Yeah, can you hear me? Yes, I can.

7:49 - Jorge Lewis Can you see me?

7:50 - Cuan Mulligan Yeah, I can see and hear.

7:51 - Unidentified Speaker Perfect.

7:56 - Jorge Lewis Sorry about that. No worries. I think there's a very big line though.

8:18 - Cuan Mulligan Yeah, I think your picture and your audio are very disconnected.

8:31 - Unidentified Speaker Hello?

8:33 - Jorge Lewis Hey, can you hear me? Yeah, I can hear you.

8:37 - Unidentified Speaker Is it in sync? Better.

8:39 - Cuan Mulligan Yeah, I think so. Okay, cool. How's Trix? What part of the world are you still in, Vietnam?

8:50 - Jorge Lewis I'm at my buddy's place again.

8:51 - Unidentified Speaker Nice. Cool.

8:55 - Cuan Mulligan Yeah, so, um, yeah, I wanted just to see whether, um, you know, we're just give you some background. So myself and Arif, we've been in consulting and product development in some form or another using AI, machine learning, more not generative AI, what you're doing, but more on the machine learning data science side for years in consulting and UK government. And we joined a telco in September to try and figure out what's next, like to transform the whole face of telcos. The guy that brought us in and sort of sold us a bit of a dream on our three-year engagement, he got fired in January.

9:46 - Cuan Mulligan They're doing a massive reorganization and we're probably going to be leaving. And so we're trying to figure out what's next. And while we've been doing that, we've been starting to have conversations with people to say, you know, like with you guys, I've gone down the AI rabbit hole for the last four months. And I think a lot of clients don't have a fucking clue what it means, what the opportunities are, what the threats are. And we're doing, we've started, we've offered like in the last week, we've offered five people that we know, five companies. Hey, can we come in for an hour and talk? We'll talk to you about AI, demystify it for you, identify actual applicable business cases, because there's a huge amount of novelty in AI. Like, create a stupid picture. Hey, fun, fun. And then go back to work. There's obviously huge risks with it as well. And most people don't know what to do, and they're really struggling. And so this is an area that we're excelling in, and we're speaking with people about it. We'll be starting our first sort of sessions next week.

