Meet Meeting 
Thu, Jun 27, 2024

1:53 - Unidentified Speaker Bye!

2:00 - Unidentified Speaker Hello?

2:01 - Jorge Lewis I think you're muted.

2:12 - Jorge Lewis Yeah, you're muted. You're muted.

2:18 - Jorge Lewis You're muted, bro.

2:22 - Jorge Lewis Can you hear me?

2:40 - Wassay Shaikh Sorry, sorry, I haven't turned on my microphone, my bad. So I was saying that, is my voice is clear because it's a bit noisy here.

2:50 - Jorge Lewis Yeah, I can hear you fine, yeah. Okay, great.

2:54 - Wassay Shaikh So how are you doing, bro?

2:56 - Jorge Lewis Yeah, good. I'm super stressed, man. I've spent the entire day today trying to get this to work. But I only started learning the TypeScript SDK like yesterday, so having a lot of trouble.

3:09 - Jorge Lewis Our clients is in quite a rush. We told him it would be done today, but we're gonna have to tell him Hey, we weren't able to get it done. So So yeah a bit of a bit of a not so good situation, but you know, I see I can understand So what I can do for you guys Yeah, so, okay. So obviously I don't want you to do this unpaid so I think we'll do is I could we could maybe pay for a The, I think it'll probably take you. So your experience with line chain, right? We're in TypeScript.

3:44 - Wassay Shaikh Uh, actually, uh, I haven't tried in a TypeScript yet, but I'm, uh, familiar with it.

3:54 - Unidentified Speaker Okay.

3:54 - Jorge Lewis Um, yeah, because for me, for me, I used Python for, for the time I've used like chain, but TypeScript is quite different in the way it works. So I've had a lot of trouble myself. So, um, Uh, Jorge, can I ask you one question?

4:17 - Wassay Shaikh Yeah. Uh, what is the exact reason behind migrating from Python to TypeScript? Like, Anything?

4:26 - Jorge Lewis Yeah, so for us, for working with Python, it was too much of a, the gap was too big between our front end team and our back end team. And we always had to interact through the API and the database. It was always disconnecting us. So by working with TypeScript, we're able to be a lot faster in terms of everyday development, but getting started is going to be a bit harder because there's less documentation and we're not used to it. I'm not used to it yet, so.

4:52 - Unidentified Speaker Okay.

4:57 - Unidentified Speaker Makes sense.

4:58 - Wassay Shaikh Totally makes sense. So, uh, okay. Uh, well, I can try my best to, uh, migrate from Python to TypeScript because I understand it. Uh, and mostly the error we get in a TypeScript is related to type safety because it's, it's JavaScript basically with just some extra type. Oh, I mean, wait, wait. So you have experience with Lang chain and JavaScript or no, like not Javascript but you can say the TypeScript because I have tried with TypeScript but not too much just the basic things like calling OpenAI and I haven't even tried RAG on the TypeScript but just to test it that's why I didn't even consider that my TypeScript is very strong with in-line chain but yeah I understand it Okay.

5:59 - Jorge Lewis Yeah. So for us, since we're so tight, I don't know if you'll be able to, I mean, it's not, I thought it was going to be easy to learn the TypeScript version, but it wasn't.

6:10 - Jorge Lewis So I'll let, I'll, I'll let you have a go at it, but cause I thought you had experience with TypeScript in LinkedIn. So I'll let you, I'll let you have a go at it. I'll describe the problem to you and I'll go through the project, but There isn't much I want to compensate for it. Is that alright with you?

6:31 - Wassay Shaikh Well, money is not really a problem here. I'm good without it, even without it. But you can pay me whatever you want, if you want. Otherwise, it's good. We can take it as a test, you can say.

6:44 - Jorge Lewis Yeah, it's funny because we were actually going to have a technical interview doing something similar, but this is going to be live, so now there's pressure.

6:53 - Jorge Lewis Okay, okay.

