Meet Meeting 
Fri, Jul 26, 2024

0:11 - Unidentified Speaker Yes.

0:18 - Jonas Lindberg Yes.

0:38 - Jonas Lindberg Thank you very much.

1:19 - Unidentified Speaker for more.

1:45 - Jonas Lindberg you Hello?

2:08 - Jonas Lindberg Can you hear me?

2:13 - Will Vincent Parrone Hello, hello. Do you hear me?

2:15 - Jonas Lindberg Yeah, I hear you. How's it going?

2:20 - Will Vincent Parrone Okay, doing great. Let me just find my earphones so that I can listen. Better because I can hear you guys.

2:29 - Will Vincent Parrone Yeah no problem.

3:26 - Cuan Mulligan Hey, how's it going?

3:27 - Cuan Mulligan Yeah, I'm just trying to sort out my webcam. Hold on a sec.

3:33 - Will Vincent Parrone Yeah, no problem.

3:37 - Will Vincent Parrone How's the trip to Spain going?

3:52 - Cuan Mulligan Cool. Can you guys see me now?

3:55 - Jonas Lindberg Yeah, I can hear you. The camera seems to be off sync with your voice. It's fine for me.

4:04 - Cuan Mulligan Yeah, you guys are slow as well.

4:10 - Cuan Mulligan Yeah.

4:11 - Cuan Mulligan Cool. I've just woken up, so bear with me.

4:19 - Cuan Mulligan Yeah.

4:22 - Cuan Mulligan What I'm concerned about is that we're getting into a very explicit neutral.

4:31 - Cuan Mulligan saying the conversation will always be exactly these steps and it'll never deviate. That's not what we've talked about as a product here. And I want to check in. Is that where we're going or is that my bad assumption?

4:46 - Jonas Lindberg I think that was more of a bad assumption, because we need an explicit example to be able to work and get to what your vision is. If we're just working with words you say, it's extremely difficult to discern what a session should look at. If you're teaching a human how to do life coaching or teaching a human anything, you need to give a human examples of how it works. If you're going to learn how to do a surgery, it's going to be different every time, but you should learn the procedures. You should learn fundamentally how things work.

5:25 - Jonas Lindberg So I think just examples are the best way to move forward. And it slowed us down a lot that we've just had to work from concepts within our heads. And we've never seen practical examples until what we're beginning to have now.

5:41 - Cuan Mulligan OK. So can we go through? Shall I bring up the moral or do one of you want to bring up, sorry, the figma? Which way do you want to do it?

5:54 - Jonas Lindberg I'm in Figma right now. I think we can follow each other by clicking on the profile picture top right. I'm following you right now.

6:05 - Jonas Lindberg So.

6:06 - Cuan Mulligan Will, are you seeing?

6:08 - Cuan Mulligan This section here. Yeah, you're there. I can see you there. This section here is just setting out all of the components that we would talk about in a diagram. So any questions on this?

6:22 - Jonas Lindberg No questions.

6:25 - Cuan Mulligan Will, you're very low. I can hear Jonas quite well.

6:31 - Jonas Lindberg Yeah, your volume is very low.

6:34 - Will Vincent Parrone OK. How about now? Better?

6:36 - Cuan Mulligan Much better. Much better.

6:38 - Cuan Mulligan OK. No questions from me.

6:41 - Cuan Mulligan So the idea here is at a high level trying to capture the fact that you don't have an existing user. This is a new user. Becomes aware of the website through Instagram, advert, whatever. Or they sign up to the newsletter on the website, they become aware, they've signed up, I shouldn't say becomes, and then on the website, can sign up for a newsletter, or it can just, how do I do that?

7:31 - Cuan Mulligan Yeah.

7:38 - Cuan Mulligan They see, on the website, they see the Discover Why workshop. That pushes them to the mobile.

7:48 - Cuan Mulligan On the mobile, there'll be some invitation to do the Discover Your Why workshop, whatever wording we come up with. Will, you've got a questionnaire. If we start on Discovering Your Why workshop first, is it okay if we still start the workshop?

8:02 - Cuan Mulligan Why would that be a thing, Will?

8:09 - Will Vincent Parrone Oh, this is an earlier... I asked this question because the Discover Your Why question is still being spec'd out in IntelliJ, so...

8:19 - Will Vincent Parrone I remember asking this if we work on the onboarding first while the IntelliAgent is working on the create your Y workshop.

8:28 - Cuan Mulligan So my understanding is just on that JP has changed that now.

8:37 - Jonas Lindberg to a unique value proposition workshop instead of a brand purpose workshop? Yeah. You mean? Yeah. Yeah. That's also where we're a bit misaligned. So do you know if it'll be a unique value proposition workshop or if it'll be a brand purpose workshop?

8:56 - Cuan Mulligan Well, JP said it's a unique value proposition. I think that's what it is. It's his product, don't mind.

9:04 - Jonas Lindberg If the brand workshop is a pound and the value proposition workshop is 5,000 pounds, well, that's a different conversation.

9:08 - Cuan Mulligan Yeah.

9:25 - Cuan Mulligan So fundamentally, no, we're not onboarding. This is about giving people the experience of our product to convert them to a sale. So the answer to that is no.

9:38 - Jonas Lindberg Got it.

9:41 - Jonas Lindberg So just one question I had here is, where in the process would the user tell the program, I already have an account?

9:52 - Cuan Mulligan Sorry, Jonas. I got the first part of that, and then you broke up.

9:55 - Jonas Lindberg Okay. Where in this process would the user tell the program that they've already signed up? Just to get that out of the way.

10:06 - Cuan Mulligan So they haven't signed up yet.

10:10 - Jonas Lindberg Yeah, but the user could also have signed up. When they open the app, if this is how the conversation starts immediately, where will the user be able to tell? Let me make this more clear.

10:27 - Cuan Mulligan So let me, let me, let me, let me finish. Let me finish. So on the mobile app, there's obviously going to be the ability to sign in. I haven't done an existing user workflow yet. This is just a new user workflow. I want to get that lined in.

10:43 - Unidentified Speaker Okay.

10:47 - Jonas Lindberg So what sign in the, before the workshop star starts or where, like where just in between her, what does sign up process be?

10:55 - Cuan Mulligan So, so this is a I'm new to the product.

11:01 - Cuan Mulligan I'm experiencing this to decide whether I sign up or not. Now I could skip all this and just sign up or I can skip all this and sign in.

11:10 - Jonas Lindberg Okay. So you should be able to skip the workshop and just sign up if you want to. It will not, I will not this workshop be essential to, like why one would, like this workshop, the output from this workshop will be used in all conversations and everything moving forward to make the application more efficient, right?

11:36 - Cuan Mulligan Not necessarily more efficient, but more relevant.

11:39 - Jonas Lindberg Yeah. More relevant, more valuable. Yeah.

11:42 - Cuan Mulligan But I don't think we need to be so literal, right? They could be 20 minutes into this workshop and they might need to go out shopping and they stop it. They never finished the workshop. So the next time they come in, there would have to be the option to continue the workshop, sign up, sign in. Maybe they signed up on the website and they're already logged in.

12:04 - Jonas Lindberg The workshop is required before you start the program, right? To finish the workshop.

12:13 - Jonas Lindberg Sorry?

12:15 - Jonas Lindberg Finishing this URY workshop is required before continuing with the program, right?

12:22 - Cuan Mulligan Before continuing with the program, yes, we would need to have it. But it doesn't have to be a precursor to signing up.

12:31 - Will Vincent Parrone OK. So we're going to have, OK, from what I'm hearing, we're going to have a Y workshop where the user can opt in to participate or skip and just sign up, right?

12:45 - Cuan Mulligan Yeah, we don't want to be hard-coding this, that you must do these things in the earlier days. You should be able to drop out of the process and go, hey, this is really cool. Yeah, I want to sign up. Fine.

12:56 - Jonas Lindberg But then after you sign up, do you continue your Y-Workshop? Yeah. Yeah. Technically, that's just kind of more difficult to implement then, because then we have to track when the user signs up and how the program should be continued.

13:16 - Cuan Mulligan Um, my concern, I understand what you're saying, but my concern is, is that I think people might just be messing around with the product and not do a real workshop. Um, in the pre sort of, they're just testing us and they go, ah, this is pretty cool. Okay. Now I'll sign up. They don't know that this is a step one of the actual program.

13:40 - Cuan Mulligan I think there's a different experience when someone hasn't paid for something and when someone has paid for something.

13:48 - Cuan Mulligan So I think once you sign up, we could then ask them, Hey, you know, are you happy to use the, the, you know, the, why the existing one, or do you want to do a new one? Maybe we could do it that way.

14:04 - Cuan Mulligan Yeah.

14:05 - Cuan Mulligan So, okay. Do it that way then. Okay.

14:07 - Jonas Lindberg So, uh, that's possible. It's just, uh, yeah, just with introducing more flows, more like directions where the user can sign off and start this program and all of that, uh, that will increase the scope of it.

14:23 - Jonas Lindberg Well, compared to just having one hard code and stuff where they sign up.

14:26 - Cuan Mulligan So Jonas, once you sign up, it's literally a question. Do you want to use the existing why workshop or do you want to do a new one? You do a new one, you just run the workshop again. That doesn't seem like a colossal feature.

14:47 - Jonas Lindberg From my experience, go on Jonas.

14:51 - Jonas Lindberg Sorry, go on Will. I'll say mine after.

14:57 - Will Vincent Parrone yeah from my experience there would be we would have to invoke this is from a tech a bit technical perspective but we would need to create a way in which the first Y Workshop is already stored in the mobile device's internal storage so that it could be used again.

15:20 - Cuan Mulligan That might be a little difficult. Sorry, Will, can you turn your video off? Or can we all turn our video off? Just because I think my signal is not great and it's struggling.

15:28 - Will Vincent Parrone Oh, OK.

