Dicussing IP in context of Reviews Sysem 
Thu, Aug 29, 2024

0:08 - Jonas Lindberg Test test.

1:36 - Jorge Lewis You want to invite them over?

1:37 - Unidentified Speaker Yes.

1:40 - Jonas Lindberg But are you going to answer what I said in our internal chat?

1:44 - Jonas Lindberg In where?

1:45 - Jonas Lindberg Our admin chat, the one I have to be in.

1:48 - Unidentified Speaker Oh.

2:01 - Jorge Lewis Just both work.

2:04 - Jorge Lewis Okay.

2:06 - Jorge Lewis I talked to David, he said, yeah, there's no really legal concerns.

2:13 - Jonas Lindberg Okay, that's nice.

2:18 - Jonas Lindberg I've sent the link, by the way, so they can join in. Hey, how's it going?

2:30 - Cuan Mulligan Welcome.

2:32 - Jorge Lewis Good morning.

2:37 - Cuan Mulligan How goes it?

2:42 - Jonas Lindberg Is JP joining?

2:44 - Cuan Mulligan Should be, yeah.

2:52 - Jorge Lewis How do you split your calls? Like, your schedule?

3:00 - Jorge Lewis In what regard?

3:02 - Jorge Lewis So for me, having calls every single day, like where there's like 10 minutes between a call, 30 minutes between a call, between a call, it's not very productive. So what I'm trying to do now is, oh, JP's here. Now we can talk about another time. Hey, JP, you there?

3:20 - Jonathan Phillips Morning. Morning. Or evening.

3:26 - Cuan Mulligan Cool.

3:26 - Cuan Mulligan So we've only got 10 minutes, so this obviously feels like a Birmingham issue for you guys. Um, so if you can explain and give me the context, um, obviously from, you know, where my head's at is I don't want to present risk to, to, to my startup and my business. That's, that's the, that's the bit I'm trying to do. And I think, There is, I don't think you're intentionally ever trying to do that, but there might be unintended impacts that we need to explore. So appreciate the transparency as it should be. Yeah.

4:09 - Unidentified Speaker Yeah.

4:09 - Jonas Lindberg You want to lead in Jorge?

4:12 - Jorge Lewis Yes. I mean, our point of view is for this review feature, we'd like to be able to make a number one, make a better version of it. That's, um, that's more modular that we can implement into different projects more easily. Um, but also open source it.

4:31 - Cuan Mulligan So those two things are, are, are separate, um, things. They're not the same. So making something open source or not is, is one question. And then you, you as a company, um, taking this capability that we've created, what's your intention behind creating a modular version? What's the point of doing that? Are you looking to put that out on the market? Are you looking to open source that? What's the intention behind it? Is it to build reputation? Is it to make revenue? What's the purpose behind it?

5:09 - Jorge Lewis So a couple. Number one, open sourcing. We're passionate about the open source community. We feel pride being able to publish things to GitHub. So there's that. But also we'd be reusing it in our projects. For example, REST. There is a version of reviews in there already. Sorry, REST is the Read.AI tool that I use for sales. There's already a version of reviews that we have existing in there since I made it that we'd like to spend some time improving. And since we realize all of our apps use a form of reviews, we can standardize and make a version that's more modular for all of our projects.

5:43 - Jonathan Phillips So can we just define reviews, please? I'm a bit lost with what documents.

5:49 - Jorge Lewis So with LLMs, there's something called few shots, which is where you give it examples to tell it, hey, here's an example. I want you to bathe in this way. And that's very standard across LLMs. And yeah, so that we've pretty much made in.

6:05 - Jorge Lewis For that, we've made a custom interface for providing reviews. We call them reviews since we have an example message and then we can provide, hey, you did a good job here. You didn't do a good job here. Pretty much.

6:17 - Jorge Lewis And it's a way to provide feedback to the system.

6:24 - Jonathan Phillips So from my perspective, I fully understand having worked with software companies for many moons, open source, proprietary, call it what you will, and know exactly what you need as a business in order to enhance your reputation, but also just join in with the community because it feels good to help the community. It feels good to contribute to, let's face it, you get a lot from the open source community given to you. So it's nice to give back because you're taking a lot. So fully understand that. I think the only reservation that we have is ultimately that we create something let's say we create some IP and that IP then gets used by other people to gazumpas basically. So we put all the effort in to create something and then another company sees something and says right okay I'll use that in my project and bang they're up to speed with us yet they haven't thought about it before yet they didn't have a way to implement it before. So all these reservations may be unfounded we may be sort of like what you're trying to propose is something that is not going to harm us at all. But our reservation is immediately defensive, so we want to protect what we have. But that doesn't necessarily mean we're right. So we just have to work through what elements we are sharing and what potential harm they can do to us. So I think that's in a nutshell.

8:01 - Cuan Mulligan So a couple of questions I have, and I like that. I think JP encapsulates perfectly where my concerns lie.

8:13 - Cuan Mulligan The idea of you guys creating a modular version that then gets extended over time and we benefit from, which I think is one of your messages.

8:24 - Cuan Mulligan How does that work in reality? Because if that, you know, a positive upgrade can have all sorts of breaking changes. So there's no guarantee that we could actually take advantage of any new feature because it might- Why would it have breaking changes?

8:39 - Cuan Mulligan Sorry?

8:40 - Jorge Lewis If it has breaking changes, then it doesn't fulfill its purpose. If we're making an improvement, it's to improve. I don't get what you mean.

8:48 - Cuan Mulligan Yeah, but if you've got a review thing in Adapt, in IntelliAgent, in Workshop Builder, in five of your products, let's say we're on eight products, the chances of you making an upgrade to that and it working seamlessly across all eight products is unlikely. So therefore, every time you make a change, every integration, Or maybe I'm misunderstanding how software works these days. But my understanding is, as you'd enhance a core component independently of the applications that they're used in, there is a risk that you add a new capability and it breaks something in the app if it was deployed.

9:28 - Cuan Mulligan It's not like you're deploying to an operating system where it's known. You're deploying to an application. And all those applications are not the same. Sorry, Jonas, your hand's up, mate.

9:39 - Jonas Lindberg So we'd be creating a separate application, which has basically an API that can be called for creating reviews, modifying reviews, and using reviews in those agents. And through our projects, REST, ADAPT, and Workshop Builder now, it's a very similar use case, and like all of them, how it's implemented and used, and those endpoints would remain the same. So that's not really a concern since creating reviews, which have the examples, the properties, they can be optional properties that won't conflict across the projects. And for the time it takes to modify, adapt, or workshop builder to work with the new system, we'd be like implementing that no cost to you.

10:29 - Cuan Mulligan So from your own company point of view, are you going to open source every single thing you build for yourselves?

10:44 - Jorge Lewis The term open source, we like to use the word open source because it's very popular, but most likely business sourcing a lot of things using the business source license. That just prevents other people from using it from a business capacity. For sharing the source code publicly, I'm pretty comfortable for sharing our own code for things we make publicly because I understand that if people want to use my code, the I provide really very little value for my code, because it's so custom to what I'm doing, and to my tech stack, and to the way I do things, that if they wanted to apply in a business sense, they're better off making it themselves. And I understand that from a technical point of view. I've tried using other people's GitHub repositories. It's just not very practical.

11:29 - Unidentified Speaker Yeah.

11:32 - Cuan Mulligan Could we separate out the decision into two stages? And I've got to go in literally a minute. There's the agreement between us and your company to work collaboratively together is one aspect. And I think there is value that myself and JP as consumers of your services and your products could contribute to ideas to evolve this review panel because we're in theory part of your customer base in terms of what we could do. So it would be certainly interesting to be part of that journey to understand how we might extend it and build it and work collaboratively. The second part is about making that open source. My concern is just unilaterally making everything open sources. Do you guys know the origins of Slack and how that came about?

12:24 - Jorge Lewis Not the origins, no. I know Salesforce acquired them, that's about it.

