Meet Meeting 
Sun, Jul 7, 2024

0:04 - Eksno Wow.

0:09 - Eksno Yeah. Um, but yeah, I have, yeah, I have like laundry scheduled at three, but yeah, it should be done with the meeting by then. Just going to watch the interview video as well at the laundry and go over that.

0:32 - Eksno Yeah, I'll see you there. And send a link to Conan here.

0:36 - Unidentified Speaker Silence.

0:36 - Eksno Silence.

1:56 - Eksno I can't hear.

2:24 - Eksno bad lighting, I'm working from the apartment currently.

2:27 - Cuan Mulligan No worries, yeah, well, mine's not exactly better.

2:32 - Eksno You've got like a studio set up almost, a guitar in the background, plants and everything.

2:37 - Cuan Mulligan Yeah, well, we're gonna hopefully launch a podcast next week, so I need to...

2:46 - Cuan Mulligan Yeah, it's all right, it's not perfect, but I don't know, I've got to test the video, the audio, and start doing all the intro, the music, all that shite. It's just, it's interesting. A lot of the stuff you see on AI, oh, it's all going to do everything for you and stuff like that. Well, one, we still can't get printers working properly at home without any problems. I think certain jobs are going to go away. And I think there's just unbelievable opportunity right now.

3:14 - Cuan Mulligan The big consultancies are really, they're making billions of pounds on the back of AI. It's boring shit. It's just selling and fucking copilot and stupid shit. But there's yeah, there's just still there's still mega mega money to be made from it all. Yes, I figure out how to get part of it.

3:37 - Eksno Hey guys. How's it going?

3:44 - Jorge Lewis I'm in Hong Kong now, back home. Here's Marco.

3:50 - Jorge Lewis I just came to do that, so I'm gonna turn my camera off.

3:55 - Unidentified Speaker Okay.

3:58 - Eksno Yeah, so I've read through your documents and yeah, there were a few things I noticed. First off, sorry, do you want to lead with anything before I say my questions?

4:17 - Cuan Mulligan I suppose the thinking, just to give you some thought about why I did what I did and where it came from, I was trying to figure out what the UX starts to look like,

4:32 - Cuan Mulligan I'm happy to show you something but I don't I'm sort of in my head this is a this is a thought experiment as opposed to the solution so in one way I'm like yeah it's a really good idea and another way I almost don't want to show you so that you guys might come up with something and think about totally different but if you think it's fine then I'm happy to show you what I was thinking just so you get an idea of what what I think how Flow and Mural translates into an app. Do you want me to show it to you for a sec?

5:07 - Cuan Mulligan Yeah.

5:09 - Unidentified Speaker Okay.

5:09 - Cuan Mulligan Go ahead. Can you see that?

5:26 - Eksno Yeah.

5:27 - Cuan Mulligan Okay. So the idea here is, obviously I know that wouldn't be there because that would be the cut out of the iPhone stuff like that. So that can't really go there, but you get the idea. So this is sort of like a streak. This is where you are. This would be a persistent banner for the day, which would be a theme for the day or whatever that is. And then you wake up in the morning you would have a message, you'd have some content and video, you've also got input boxes or you've got decisions like, you know, yes, no. I think there are certain things that make sense. It's more easy to do it with a click as opposed to typing. And there's other bits that are better at typing. And I'm not entirely sure where that bit is yet. That's just sort of what it would look like with the, With the keyboard enabled, it pushes it out underneath the banner. And then the idea is maybe if you click on this A, you would have a Eat, Move, Sleep, Mind pop-up, which would give you the chart. But actually, maybe thinking about rather than having a pop-up is moving those four icons in this space up here. So they're persistent. So just sort of playing around with that. And hopefully, that sort of gives you a bit of an idea of where I think this works. I'm struggling to figure out a way or why we would have an LMS page, like an actual sort of the original UX, where you have like a Eat page and a Move page and a sort of traditional content-based page that I'm doing now. I think everything should probably be through this. And I think we probably have two personas of bots. One is the person who's giving you content and leading you through the program, as opposed to somebody who's actually coaching you.

7:20 - Unidentified Speaker OK.

7:21 - Cuan Mulligan But they may be the same thing. I don't know. That's just a question I have. I don't know whether that actually makes things more complex.

